rule,future_distinct_descendant_count,post_perturbation_survival_rate,return_to_same_pattern_rate,branching_without_explosion
92,16.0,1.0,0.9375,1.0
93,16.0,1.0,1.0,1.0
94,16.0,1.0,0.75,1.0
95,11.0,0.625,1.0,0.6875
96,1.0,0.0,1.0,0.0625
97,16.0,1.0,0.3125,1.0
98,16.0,1.0,1.0,1.0
99,16.0,1.0,1.0,1.0
100,13.0,0.875,1.0,0.8125
101,16.0,1.0,0.0,1.0
102,16.0,1.0,1.0,1.0
103,16.0,1.0,0.875,1.0
104,1.0,0.0,1.0,0.0625
105,16.0,1.0,1.0,1.0
106,16.0,0.9375,0.375,1.0
107,16.0,1.0,0.1875,1.0
108,16.0,1.0,1.0,1.0
109,16.0,1.0,0.125,1.0
110,16.0,1.0,0.0,1.0
111,16.0,1.0,0.875,1.0
112,16.0,1.0,1.0,1.0
113,16.0,1.0,0.8125,1.0
114,16.0,1.0,0.9375,1.0
115,15.0,1.0,0.9375,0.9375
116,16.0,1.0,1.0,1.0
117,16.0,1.0,0.875,1.0
118,16.0,1.0,0.9375,1.0
119,15.0,0.875,1.0,0.9375
120,16.0,1.0,0.1875,1.0
121,16.0,1.0,0.1875,1.0
122,16.0,1.0,0.25,1.0
123,13.0,0.875,1.0,0.8125
124,16.0,1.0,0.0625,1.0
125,15.0,1.0,0.875,0.9375
126,16.0,1.0,0.1875,1.0
127,7.0,0.375,1.0,0.4375
128,1.0,0.0,1.0,0.0625
129,16.0,1.0,0.0625,1.0
130,15.0,1.0,1.0,0.9375
131,16.0,1.0,0.125,1.0
132,14.0,0.875,1.0,0.875
133,16.0,1.0,0.0625,1.0
134,16.0,1.0,1.0,1.0
135,16.0,1.0,0.0,1.0
136,1.0,0.0,1.0,0.0625
137,16.0,1.0,0.0625,1.0
138,16.0,1.0,1.0,1.0
139,16.0,1.0,1.0,1.0
140,16.0,0.9375,1.0,1.0
141,16.0,1.0,0.25,1.0
142,15.0,1.0,0.8125,0.9375
143,16.0,1.0,1.0,1.0
144,14.0,0.9375,1.0,0.875
145,16.0,1.0,0.0,1.0
146,16.0,1.0,1.0,1.0
147,16.0,1.0,0.0625,1.0
148,16.0,1.0,1.0,1.0
149,16.0,1.0,0.0,1.0
150,16.0,1.0,1.0,1.0
151,16.0,1.0,0.0625,1.0
152,16.0,1.0,1.0,1.0
153,16.0,1.0,1.0,1.0
154,16.0,1.0,1.0,1.0
155,16.0,1.0,1.0,1.0
156,16.0,1.0,1.0,1.0
157,16.0,1.0,0.0625,1.0
158,16.0,1.0,0.8125,1.0
159,16.0,1.0,1.0,1.0
160,1.0,0.0,1.0,0.0625
161,16.0,1.0,0.0625,1.0
162,16.0,1.0,1.0,1.0
163,16.0,1.0,0.25,1.0
164,9.0,0.75,1.0,0.5625
165,16.0,1.0,1.0,1.0
166,16.0,1.0,1.0,1.0
167,16.0,1.0,0.75,1.0
168,1.0,0.0,1.0,0.0625
169,16.0,1.0,0.9375,1.0
170,16.0,1.0,1.0,1.0
171,16.0,1.0,1.0,1.0
172,15.0,0.875,1.0,0.9375
173,16.0,1.0,1.0,1.0
174,16.0,1.0,1.0,1.0
175,16.0,1.0,1.0,1.0
176,16.0,0.9375,1.0,1.0
177,16.0,1.0,0.1875,1.0
178,16.0,1.0,1.0,1.0
179,16.0,1.0,0.25,1.0
180,16.0,1.0,1.0,1.0
181,16.0,1.0,0.625,1.0
182,16.0,1.0,0.5625,1.0
183,16.0,1.0,0.5625,1.0
