rule,classification,DAR_complete,DAR_asymmetric,localized_component_lifetime_max,recurrence_up_to_shift,motif_material_turnover,frozen_order_index,chaos_index
0,collapse,False,False,4.0,1.0,0.0,1.0,0.0
1,emitter_or_generator,True,False,217.33333333333334,1.0,0.0,0.35000000000000003,0.057790491436414355
2,transported_identity,True,True,176.0,0.9246826171875,0.08437093098958333,0.26653645833333334,0.05090663926837604
3,transported_identity,True,True,258.6666666666667,0.8498331705729166,0.16815185546875,0.144921875,0.09479390726003491
4,frozen_order,True,False,217.33333333333334,1.0,0.0,1.0,0.2136169152850401
5,emitter_or_generator,True,False,260.0,1.0,0.0,0.4109375,0.3178899936485589
6,transported_identity,True,True,196.66666666666666,0.8820597330729166,0.133056640625,0.12578124999999998,0.2440215658588565
7,transported_identity,True,True,215.33333333333334,0.83514404296875,0.18086751302083334,0.12669270833333332,0.0379845886520804
8,collapse,False,False,4.0,1.0,0.0,1.0,0.0
9,transported_identity,True,True,193.33333333333334,0.8382059733072916,0.191558837890625,0.029166666666666664,0.12632117026811773
10,transported_identity,True,True,175.33333333333334,0.88671875,0.12540690104166666,0.177734375,0.08607073217009438
11,transported_identity,True,True,195.33333333333334,0.8384806315104166,0.18257649739583334,0.11666666666666665,0.12082926432291667
12,frozen_order,True,True,260.0,1.0,0.0,1.0,0.2773332395916622
13,emitter_or_generator,True,True,260.0,0.8822530110677084,0.11774698893229167,0.8249999999999998,0.9540483192461116
14,transported_identity,True,True,196.66666666666666,0.8742268880208334,0.14821370442708334,0.12486979166666666,0.3079814503340686
15,transported_identity,False,False,195.33333333333334,0.8473917643229166,0.16776529947916666,0.11666666666666665,0.3202921549479167
16,transported_identity,True,True,176.0,0.92437744140625,0.08310953776041667,0.2623697916666667,0.051183401521398386
17,transported_identity,True,True,259.3333333333333,0.84906005859375,0.1693115234375,0.14583333333333334,0.09382582722901978
18,transported_identity,True,False,189.33333333333334,0.8642985026041666,0.1470947265625,0.3579427083333333,0.14620948849515578
19,emitter_or_generator,True,False,217.33333333333334,1.0,0.0,0.35000000000000003,0.055806477864583336
20,transported_identity,True,True,197.33333333333334,0.8822835286458334,0.13041178385416666,0.12669270833333332,0.2436719789410515
21,transported_identity,True,True,216.0,0.8386637369791666,0.1776123046875,0.12031249999999999,0.03723213675376002
22,transported_identity,True,False,187.33333333333334,0.787445068359375,0.23570760091145834,0.2578125,0.16036946964892146
23,emitter_or_generator,False,False,194.66666666666666,1.0,0.0,0.35000000000000003,0.046427408854166664
24,transported_identity,True,True,175.33333333333334,0.9079996744791666,0.10235595703125,0.1904947916666667,0.07415154360792794
25,transported_identity,True,True,258.6666666666667,0.8514811197916666,0.19305419921875,0.0,0.15346831908651778
26,transported_identity,True,True,172.0,0.852264404296875,0.16157023111979166,0.2295572916666667,0.27607772588707985
27,transported_identity,False,False,258.6666666666667,0.8503824869791666,0.16550699869791666,0.17955729166666665,0.12300332050759517
28,transported_identity,True,True,260.0,0.88006591796875,0.11993408203125,0.40859375000000003,0.9559605707089118
29,emitter_or_generator,False,False,260.0,1.0,0.0,0.35000000000000003,0.35614013671875
30,emitter_or_generator,False,False,237.33333333333334,0.558074951171875,0.4873555501302083,0.0,0.524882134128856
31,transported_identity,True,True,173.33333333333334,0.8604329427083334,0.15350341796875,0.12760416666666666,0.02906849731007081
32,collapse,False,False,26.666666666666668,1.0,0.0,1.0,0.0
33,emitter_or_generator,True,False,260.0,1.0,0.0,0.35000000000000003,0.07352382365879266
34,transported_identity,True,True,196.66666666666666,0.8836466471354166,0.12959798177083334,0.12760416666666666,0.27826046133749227
35,transported_identity,True,True,258.0,0.8595174153645834,0.15871175130208334,0.11848958333333333,0.31490616042758474
36,frozen_order,True,False,174.66666666666666,1.0,0.0,1.0,0.018891148555198956
37,emitter_or_generator,True,False,217.33333333333334,1.0,0.0,0.35000000000000003,0.07871783867319042
38,transported_identity,True,True,175.33333333333334,0.8811848958333334,0.130126953125,0.18229166666666666,0.09295153959188529
39,transported_identity,False,False,258.0,0.86163330078125,0.15506998697916666,0.1768229166666667,0.12267974734256641
40,collapse,False,False,50.0,0.9974568684895834,0.0025431315104166665,0.9348958333333334,0.02523152201401345
41,transported_identity,True,True,200.0,0.8175048828125,0.21262613932291666,0.060156249999999994,0.25915984015864474
42,transported_identity,True,True,196.0,0.8568115234375,0.15688069661458334,0.11666666666666665,0.2952225707770629
43,transported_identity,False,False,195.33333333333334,0.8717854817708334,0.14581298828125,0.12760416666666666,0.3199779698040138
44,frozen_order,True,True,260.0,1.0,0.0,1.0,0.06486540252692023
45,emitter_or_generator,False,False,233.33333333333334,0.5505472819010416,0.5034281412760416,0.0,0.5067849631688229
46,transported_identity,False,False,175.33333333333334,0.84954833984375,0.16748046875,0.11940104166666665,0.10422511162482123
47,transported_identity,True,True,174.66666666666666,0.8466389973958334,0.17399088541666666,0.11940104166666665,0.12327067057291667
48,transported_identity,True,True,196.0,0.8849080403645834,0.12825520833333334,0.12486979166666666,0.277005994422765
49,transported_identity,True,True,260.0,0.8587646484375,0.1588134765625,0.11757812499999999,0.3150302857123299
50,emitter_or_generator,True,False,260.0,1.0,0.0,0.35000000000000003,0.9479166666666666
51,emitter_or_generator,False,False,260.0,1.0,0.0,0.35000000000000003,0.31903076171875
52,transported_identity,True,True,175.33333333333334,0.8807779947916666,0.13287353515625,0.18138020833333335,0.09266272235249502
53,transported_identity,False,False,260.0,0.8630167643229166,0.15401204427083334,0.1786458333333333,0.1237623504128918
54,transported_identity,False,False,260.0,0.7709452311197916,0.23857625325520834,0.19674479166666667,0.41570961528935996
55,emitter_or_generator,True,False,217.33333333333334,1.0,0.0,0.35000000000000003,0.050313313802083336
56,transported_identity,True,True,195.33333333333334,0.86328125,0.152099609375,0.12031249999999999,0.3479913177626231
57,chaotic,False,False,260.0,0.7170308430989584,0.417755126953125,0.004557291666666667,0.8317882376772312
58,transported_identity,False,False,260.0,0.8462422688802084,0.17925008138020834,0.11940104166666665,0.9217420651426892
59,transported_identity,True,True,258.0,0.83868408203125,0.18269856770833334,0.11848958333333333,0.31289450351088083
60,collapse,False,False,172.66666666666666,0.8328857421875,0.1671142578125,0.3841145833333333,0.0
61,transported_identity,True,True,260.0,0.8433430989583334,0.20102945963541666,0.0,0.15362353975587165
62,localized_persistence,True,True,260.0,0.8165791829427084,0.5651753743489584,0.08333333333333333,0.4905545328819083
63,transported_identity,True,True,216.66666666666666,0.8899739583333334,0.12369791666666667,0.16315104166666666,0.0620508737638493
64,collapse,False,False,4.0,1.0,0.0,1.0,0.0
65,transported_identity,True,True,194.66666666666666,0.8373311360677084,0.19707234700520834,0.022786458333333332,0.1273572020902083
66,transported_identity,True,True,176.0,0.9068806966145834,0.10239664713541667,0.18776041666666665,0.07484169651571196
67,transported_identity,True,True,259.3333333333333,0.85260009765625,0.19091796875,0.0,0.1539154591415505
68,frozen_order,True,True,260.0,1.0,0.0,1.0,0.2765895915464003
69,emitter_or_generator,True,True,260.0,0.8819580078125,0.1180419921875,0.8249999999999998,0.9546105329462943
70,transported_identity,True,True,260.0,0.8800455729166666,0.11995442708333333,0.41367187499999997,0.9567007489986054
71,emitter_or_generator,False,False,260.0,1.0,0.0,0.35000000000000003,0.3543904622395833
72,frozen_order,True,False,217.33333333333334,1.0,0.0,1.0,0.0160215052817886
73,transported_identity,True,False,260.0,0.7504984537760416,0.306060791015625,0.03098958333333333,0.4321797297669356
74,transported_identity,True,True,175.33333333333334,0.8659871419270834,0.14735921223958334,0.09023437499999999,0.10035286168572775
75,emitter_or_generator,False,False,244.0,0.5462137858072916,0.516510009765625,0.0,0.49860829138021195
76,frozen_order,True,False,260.0,1.0,0.0,1.0,0.31731725329623606
77,frozen_order,False,False,260.0,1.0,0.0,1.0,0.9478548745579826
78,emitter_or_generator,False,False,260.0,0.8792724609375,0.1207275390625,0.8249999999999998,0.9556671202592218
79,emitter_or_generator,True,True,260.0,0.8812967936197916,0.11870320638020833,0.82421875,0.9568046423778919
80,transported_identity,True,True,175.33333333333334,0.8865152994791666,0.12583414713541666,0.1786458333333333,0.0867265192290958
81,transported_identity,True,True,196.0,0.83685302734375,0.18212890625,0.11666666666666665,0.12209065755208333
82,transported_identity,True,True,181.33333333333334,0.8528035481770834,0.16288248697916666,0.23372395833333334,0.26814689537506076
83,transported_identity,False,False,259.3333333333333,0.8501383463541666,0.16717529296875,0.17499999999999996,0.12255153885422503
84,transported_identity,True,True,195.33333333333334,0.8716837565104166,0.1444091796875,0.12669270833333332,0.30832831889340945
85,transported_identity,False,False,196.0,0.8463338216145834,0.16815185546875,0.12031249999999999,0.3202107747395833
86,emitter_or_generator,False,False,248.66666666666666,0.5576985677083334,0.4881388346354167,0.0,0.5229086084928904
87,transported_identity,True,True,173.33333333333334,0.8590494791666666,0.15336100260416666,0.12486979166666666,0.028925263581152934
88,transported_identity,True,True,174.66666666666666,0.8647054036458334,0.14839680989583334,0.08841145833333332,0.10074703369601262
89,emitter_or_generator,False,False,239.33333333333334,0.5435282389322916,0.5192769368489584,0.0,0.49750960769531694
90,collapse,False,False,128.0,1.0,0.0,1.0,0.0
91,emitter_or_generator,True,False,174.66666666666666,1.0,0.0,0.35000000000000003,0.07118037951865896
92,emitter_or_generator,False,False,260.0,0.8789469401041666,0.12105305989583333,0.8249999999999998,0.9567872336644377
93,emitter_or_generator,True,True,260.0,0.880950927734375,0.119049072265625,0.8249999999999998,0.9593662569820219
94,emitter_or_generator,True,False,238.0,0.97021484375,0.029927571614583332,0.529296875,0.7360834078613836
95,emitter_or_generator,True,False,174.66666666666666,1.0,0.0,0.3990885416666667,0.2795660907326477
96,collapse,False,False,48.666666666666664,0.9970499674479166,0.0029500325520833335,0.9244791666666666,0.033951536021561285
97,transported_identity,True,True,199.33333333333334,0.814788818359375,0.216217041015625,0.060156249999999994,0.25178721619414574
98,transported_identity,True,True,196.0,0.8642171223958334,0.1572265625,0.12031249999999999,0.3465373920995032
99,chaotic,False,False,260.0,0.7185872395833334,0.4185384114583333,0.004557291666666667,0.8320826157372601
100,frozen_order,True,True,260.0,1.0,0.0,1.0,0.06694091207808948
101,emitter_or_generator,False,False,218.0,0.5507914225260416,0.502105712890625,0.0,0.5079449341599772
102,collapse,False,False,173.33333333333334,0.83331298828125,0.16668701171875,0.36731770833333327,0.0
103,transported_identity,True,True,257.3333333333333,0.8402506510416666,0.20481363932291666,0.0009114583333333332,0.15325864232273237
104,frozen_order,True,False,195.33333333333334,1.0,0.0,1.0,0.005874886582229518
105,emitter_or_generator,False,False,260.0,1.0,0.0,0.35000000000000003,0.3198561121594078
106,transported_identity,False,False,196.0,0.7774251302083334,0.24833170572916666,0.05833333333333333,0.2930351478828208
107,transported_identity,True,True,196.0,0.803375244140625,0.23121134440104166,0.0,0.2535277920985684
108,frozen_order,False,False,260.0,1.0,0.0,0.6665364583333334,0.11505652154136424
109,transported_identity,True,False,260.0,0.767974853515625,0.3178812662760417,0.031901041666666664,0.4415683506673207
110,emitter_or_generator,True,True,212.66666666666666,0.5905659993489584,0.4755961100260417,0.08072916666666667,0.3683872634814478
111,transported_identity,True,True,174.0,0.8290201822916666,0.2041015625,0.030078124999999997,0.1272936503834766
112,transported_identity,True,True,196.0,0.8584798177083334,0.15633138020833334,0.12031249999999999,0.29513486814505263
113,transported_identity,False,False,196.0,0.869384765625,0.14687093098958334,0.12395833333333334,0.3193469830844718
114,transported_identity,False,False,260.0,0.8447062174479166,0.18113199869791666,0.11940104166666665,0.9236392798601738
115,transported_identity,True,True,259.3333333333333,0.83856201171875,0.18556722005208334,0.11757812499999999,0.3130524547388703
116,transported_identity,False,False,174.66666666666666,0.85028076171875,0.1650390625,0.11757812499999999,0.10506227170493675
117,transported_identity,True,True,175.33333333333334,0.844482421875,0.1759033203125,0.11848958333333333,0.12331136067708333
118,localized_persistence,True,True,260.0,0.8185831705729166,0.5640869140625,0.0859375,0.4886691483932246
119,transported_identity,True,True,217.33333333333334,0.890625,0.1234130859375,0.16315104166666666,0.06173983407233497
120,transported_identity,False,False,195.33333333333334,0.78643798828125,0.23785400390625,0.059244791666666664,0.2991914096490876
121,transported_identity,True,True,207.33333333333334,0.79815673828125,0.232177734375,0.0,0.26203993568172684
