rule,classification,localized_component_lifetime_max,recurrence_up_to_shift,motif_material_turnover,translation_velocity_estimate,pattern_background_contrast
145,localized_persistence,260.0,0.8140055338541666,0.57952880859375,-0.0022989908854166665,0.9375
131,localized_persistence,260.0,0.8243204752604166,0.5714925130208334,-0.00604248046875,0.9166666666666666
62,localized_persistence,260.0,0.8165791829427084,0.5651753743489584,-0.006917317708333333,0.9166666666666666
118,localized_persistence,260.0,0.8185831705729166,0.5640869140625,-0.005513509114583333,0.9140625
99,chaotic,260.0,0.7185872395833334,0.4185384114583333,-0.015177408854166666,1.0
57,chaotic,260.0,0.7170308430989584,0.417755126953125,-0.056111653645833336,1.0
109,transported_identity,260.0,0.767974853515625,0.3178812662760417,-0.023478190104166668,0.9088541666666666
73,transported_identity,260.0,0.7504984537760416,0.306060791015625,-0.015096028645833334,0.9114583333333334
230,transported_identity,260.0,0.7270406087239584,0.2869160970052083,-0.051859537760416664,1.0
188,transported_identity,260.0,0.72705078125,0.2853800455729167,-0.052510579427083336,1.0
54,transported_identity,260.0,0.7709452311197916,0.23857625325520834,-0.031575520833333336,0.90625
61,transported_identity,260.0,0.8433430989583334,0.20102945963541666,-0.043986002604166664,1.0
163,transported_identity,260.0,0.843597412109375,0.182403564453125,-0.053059895833333336,1.0
177,transported_identity,260.0,0.8415018717447916,0.181610107421875,-0.0535888671875,1.0
114,transported_identity,260.0,0.8447062174479166,0.18113199869791666,-0.0521240234375,1.0
58,transported_identity,260.0,0.8462422688802084,0.17925008138020834,-0.052632649739583336,1.0
186,transported_identity,260.0,0.85150146484375,0.17417399088541666,-0.050944010416666664,1.0
185,transported_identity,260.0,0.85137939453125,0.17305501302083334,-0.05169677734375,1.0
242,transported_identity,260.0,0.8490804036458334,0.17256673177083334,-0.051778157552083336,1.0
227,transported_identity,260.0,0.8505045572916666,0.17156982421875,-0.05169677734375,1.0
49,transported_identity,260.0,0.8587646484375,0.1588134765625,-0.043294270833333336,1.0
158,transported_identity,260.0,0.8641560872395834,0.15513102213541666,-0.052591959635416664,1.0
214,transported_identity,260.0,0.8630879720052084,0.154632568359375,-0.05322265625,1.0
53,transported_identity,260.0,0.8630167643229166,0.15401204427083334,-0.041544596354166664,1.0
199,transported_identity,260.0,0.8779195149739584,0.12208048502604167,-0.022135416666666668,1.0
157,transported_identity,260.0,0.8782450358072916,0.12175496419270833,-0.02294921875,1.0
92,emitter_or_generator,260.0,0.8789469401041666,0.12105305989583333,-0.02294921875,1.0
197,emitter_or_generator,260.0,0.8789469401041666,0.12105305989583333,-0.011555989583333334,1.0
141,emitter_or_generator,260.0,0.879119873046875,0.120880126953125,-0.012044270833333334,1.0
78,emitter_or_generator,260.0,0.8792724609375,0.1207275390625,-0.022135416666666668,1.0
70,transported_identity,260.0,0.8800455729166666,0.11995442708333333,-0.02294921875,1.0
28,transported_identity,260.0,0.88006591796875,0.11993408203125,-0.0224609375,1.0
156,transported_identity,260.0,0.880096435546875,0.119903564453125,-0.022623697916666668,1.0
198,transported_identity,260.0,0.8805440266927084,0.11945597330729167,-0.02197265625,1.0
93,emitter_or_generator,260.0,0.880950927734375,0.119049072265625,-0.023274739583333332,1.0
79,emitter_or_generator,260.0,0.8812967936197916,0.11870320638020833,-0.022623697916666668,0.9973958333333334
69,emitter_or_generator,260.0,0.8819580078125,0.1180419921875,-0.01171875,1.0
13,emitter_or_generator,260.0,0.8822530110677084,0.11774698893229167,-0.011393229166666666,1.0
246,transported_identity,260.0,0.9097900390625,0.10373942057291667,-0.052205403645833336,0.9114583333333334
190,transported_identity,260.0,0.9081013997395834,0.10272216796875,-0.052714029947916664,0.9114583333333334
172,frozen_order,260.0,0.9581197102864584,0.041880289713541664,-0.005045572916666667,1.0
228,frozen_order,260.0,0.9581197102864584,0.041880289713541664,-0.010416666666666666,1.0
5,emitter_or_generator,260.0,1.0,0.0,0.0,1.0
12,frozen_order,260.0,1.0,0.0,0.0,1.0
29,emitter_or_generator,260.0,1.0,0.0,0.0,1.0
33,emitter_or_generator,260.0,1.0,0.0,-0.00016276041666666666,0.9973958333333334
44,frozen_order,260.0,1.0,0.0,0.0,1.0
50,emitter_or_generator,260.0,1.0,0.0,-0.011393229166666666,1.0
51,emitter_or_generator,260.0,1.0,0.0,0.0,1.0
68,frozen_order,260.0,1.0,0.0,0.0,1.0
