perturbation_family,perturbation_strength,kappa,fraction_positive_vs_product,fraction_positive_vs_shuffled,fraction_component_preserving,fraction_non_overfragmented,fraction_estimator_stable,retention_rate,median_Delta_viable_propagation_vs_shuffled,median_Delta_depth_vs_shuffled
noise,mild,center_of_mass,1.0,1.0,0.9555555555555556,1.0,1.0,0.9555555555555556,0.08210697421490654,0.10648342784955195
noise,moderate,center_of_mass,1.0,1.0,0.8,1.0,1.0,0.8,0.09393262035039682,0.055917225833025
potential_shape,mild,center_of_mass,1.0,1.0,0.9333333333333333,1.0,1.0,0.9333333333333333,0.0849403092983797,0.10349846699577359
potential_shape,moderate,center_of_mass,1.0,1.0,0.8444444444444444,1.0,1.0,0.8444444444444444,0.07166434935800434,0.0932215690371368
reference,reference,center_of_mass,1.0,1.0,1.0,1.0,1.0,1.0,0.07812765808071676,0.09753613024360275
time_discretization,mild,center_of_mass,1.0,1.0,0.9333333333333333,1.0,1.0,0.9333333333333333,0.08329271359300887,0.1186116378366554
time_discretization,moderate,center_of_mass,1.0,1.0,0.9555555555555556,1.0,1.0,0.9555555555555556,0.08058189652932347,0.07329394677318357
