variant_id,perturbation_family,perturbation_strength,alpha,T,kappa,metric,mean,std,se,ci_low,ci_high,ci_width,ci_excludes_zero
noise_000,noise,mild,0.45,900,center_of_mass,Delta_viable_propagation_vs_shuffled,0.04942664666431853,0.00829377837690613,0.0006556807519919453,0.048148396899979296,0.050610543292800333,0.002462146392821038,True
noise_000,noise,mild,0.45,900,center_of_mass,Delta_viable_propagation_vs_product,0.04901283457355454,0.008157199563321017,0.0006448832487156328,0.04766697002760784,0.05025471991699056,0.0025877498893827205,True
noise_000,noise,mild,0.45,900,center_of_mass,Delta_depth_vs_shuffled,0.04804190786050338,0.0071572668388878,0.0005658316258119711,0.04698246835526195,0.04913627580014375,0.0021538074448817987,True
noise_000,noise,mild,0.45,900,center_of_mass,Delta_depth_vs_product,0.04705134066752328,0.0067995260697755935,0.0005375497347545965,0.046084866929315474,0.04807600055844467,0.0019911336291291992,True
noise_000,noise,mild,0.45,900,center_of_mass,Delta_robust_reachability_vs_shuffled,0.03270128195032554,0.004037934443955305,0.00031922674713360713,0.032086070789393135,0.03336167669118256,0.001275605901789427,True
noise_000,noise,mild,0.45,900,center_of_mass,Delta_robust_reachability_vs_product,0.032090146393069875,0.0037965700477927363,0.0003001452161849841,0.03151677487272158,0.03264545615852214,0.0011286812858005632,True
noise_000,noise,mild,0.45,900,center_of_mass,component_B_preservation,0.8108467502321155,0.004654688974818788,0.0003679854740025377,0.8101138762295047,0.811601531280375,0.0014876550508703401,True
noise_000,noise,mild,0.45,900,center_of_mass,lower_rank_erasure_score,0.09457662488394214,0.002327344487409384,0.00018399273700126808,0.09422943985958858,0.09493544418254506,0.0007060043229564772,True
noise_000,noise,mild,0.45,900,center_of_mass,singleton_fraction,0.3506934605635454,0.013814169113037107,0.001092105959498632,0.34854143521377684,0.3527463313779627,0.004204896164185845,True
noise_000,noise,mild,0.45,1500,center_of_mass,Delta_viable_propagation_vs_shuffled,0.0685331283580542,0.0072411901354029005,0.0005724663449554058,0.06741500861688142,0.06958501403577762,0.002170005418896198,True
noise_000,noise,mild,0.45,1500,center_of_mass,Delta_viable_propagation_vs_product,0.06862728960432699,0.007847721156153578,0.0006204168323833806,0.06742748514885755,0.06987299392943803,0.002445508780580488,True
noise_000,noise,mild,0.45,1500,center_of_mass,Delta_depth_vs_shuffled,0.10731418919934636,0.007520868932835044,0.0005945768952839664,0.10611173227678239,0.10841480843449743,0.0023030761577150366,True
noise_000,noise,mild,0.45,1500,center_of_mass,Delta_depth_vs_product,0.10658963416078945,0.006981175112219186,0.0005519103524773552,0.1054228679986084,0.10768849948110193,0.0022656314824935353,True
noise_000,noise,mild,0.45,1500,center_of_mass,Delta_robust_reachability_vs_shuffled,0.08032240857017894,0.004577034090469224,0.0003618463163529981,0.07954492586586456,0.08102741483867504,0.001482488972810475,True
noise_000,noise,mild,0.45,1500,center_of_mass,Delta_robust_reachability_vs_product,0.07986508184582762,0.00440620212796787,0.00034834086388647927,0.07918804135173214,0.08056864611028931,0.001380604758557169,True
noise_000,noise,mild,0.45,1500,center_of_mass,component_B_preservation,0.7941005386570705,0.004152297480659245,0.00032826793903655433,0.7934650990397479,0.7947497448873456,0.0012846458475976874,True
noise_000,noise,mild,0.45,1500,center_of_mass,lower_rank_erasure_score,0.1029497306714647,0.0020761487403296265,0.00016413396951827746,0.10266011113833211,0.10327200993477927,0.0006118987964471578,True
noise_000,noise,mild,0.45,1500,center_of_mass,singleton_fraction,0.3943925236758915,0.010902068028069822,0.0008618841543700283,0.3926678909319687,0.39600181500979853,0.003333924077829842,True
noise_000,noise,mild,0.45,2400,center_of_mass,Delta_viable_propagation_vs_shuffled,0.08225881625905959,0.006970136814464402,0.0005510376984174492,0.08117266618212395,0.08334746821018929,0.002174802028065345,True
noise_000,noise,mild,0.45,2400,center_of_mass,Delta_viable_propagation_vs_product,0.0823081777750633,0.006935109149706568,0.0005482685183736602,0.0812729837853512,0.08333227770787992,0.002059293922528724,True
noise_000,noise,mild,0.45,2400,center_of_mass,Delta_depth_vs_shuffled,0.1954118618551303,0.0072141007512944956,0.0005703247411005626,0.1943123576074094,0.1964188555636942,0.002106497956284814,True
noise_000,noise,mild,0.45,2400,center_of_mass,Delta_depth_vs_product,0.19541716342355214,0.006552287571801989,0.0005180038152827086,0.1944582287440675,0.1964604109173914,0.0020021821733238743,True
noise_000,noise,mild,0.45,2400,center_of_mass,Delta_robust_reachability_vs_shuffled,0.15804231826464502,0.0045101770696196666,0.0003565608047665489,0.15732104115980175,0.15874489458092678,0.0014238534211250264,True
noise_000,noise,mild,0.45,2400,center_of_mass,Delta_robust_reachability_vs_product,0.15812083788590972,0.004268717799994611,0.00033747177341215175,0.15744506546774076,0.15876512307414106,0.0013200576064003045,True
noise_000,noise,mild,0.45,2400,center_of_mass,component_B_preservation,0.7526870763140796,0.0032974329537872956,0.0002606849641416149,0.7521945305460586,0.7532048187830306,0.0010102882369720234,True
noise_000,noise,mild,0.45,2400,center_of_mass,lower_rank_erasure_score,0.12365646184296017,0.0016487164768936434,0.0001303424820708071,0.12341723281723257,0.12392254071186856,0.0005053078946359868,True
noise_000,noise,mild,0.45,2400,center_of_mass,singleton_fraction,0.4487980581966059,0.010357687668511317,0.000818847108128371,0.4471529657319269,0.45030415119382466,0.003151185461897743,True
noise_000,noise,mild,0.5,900,center_of_mass,Delta_viable_propagation_vs_shuffled,0.056791366566946465,0.00910999788357042,0.0007202085697848988,0.05529765198385819,0.0582510574342622,0.002953405450404005,True
noise_000,noise,mild,0.5,900,center_of_mass,Delta_viable_propagation_vs_product,0.05672012042080923,0.009405585637875644,0.0007435768335863676,0.05531110190331905,0.05817399429590212,0.002862892392583069,True
noise_000,noise,mild,0.5,900,center_of_mass,Delta_depth_vs_shuffled,0.050680177409960295,0.006749723964771417,0.0005336125326524949,0.049666230878248556,0.05168921930864609,0.0020229884303975335,True
noise_000,noise,mild,0.5,900,center_of_mass,Delta_depth_vs_product,0.050908488030529345,0.007353524186710234,0.0005813471314785406,0.049797349539898866,0.05200859283469994,0.002211243294801074,True
noise_000,noise,mild,0.5,900,center_of_mass,Delta_robust_reachability_vs_shuffled,0.034746027052055393,0.0040076333623372176,0.0003168312362966118,0.03407912275666702,0.035309823453846395,0.001230700697179378,True
noise_000,noise,mild,0.5,900,center_of_mass,Delta_robust_reachability_vs_product,0.03466610426432,0.004217389743923881,0.00033341393428584326,0.03407149647694948,0.035315032590106384,0.001243536113156904,True
noise_000,noise,mild,0.5,900,center_of_mass,component_B_preservation,0.8281439432573914,0.004809637567427171,0.0003802352358245382,0.8274134116764112,0.8288885355638956,0.0014751238874843864,True
noise_000,noise,mild,0.5,900,center_of_mass,lower_rank_erasure_score,0.08592802837130427,0.0024048187837135858,0.00019011761791226913,0.08557476131325993,0.08628607155576293,0.0007113102425029966,True
noise_000,noise,mild,0.5,900,center_of_mass,singleton_fraction,0.3516459046838441,0.014022646343076879,0.0011085875316788458,0.3495359069425519,0.3537951985521037,0.004259291609551796,True
noise_000,noise,mild,0.5,1500,center_of_mass,Delta_viable_propagation_vs_shuffled,0.0806930391045537,0.008217036853002511,0.0006496138018257531,0.07943920808995375,0.08192270833936635,0.0024835002494126013,True
noise_000,noise,mild,0.5,1500,center_of_mass,Delta_viable_propagation_vs_product,0.08116610987244108,0.007817236747858279,0.0006180068282999886,0.07994169565275809,0.08239315798002808,0.0024514623272699904,True
noise_000,noise,mild,0.5,1500,center_of_mass,Delta_depth_vs_shuffled,0.11368097236551575,0.00722240160173128,0.0005709809809479787,0.11266109013485504,0.11482678711190228,0.0021656969770472434,True
noise_000,noise,mild,0.5,1500,center_of_mass,Delta_depth_vs_product,0.11362404852220168,0.006982782124133471,0.0005520373979242594,0.11254784496385706,0.11472161986280588,0.0021737748989488215,True
noise_000,noise,mild,0.5,1500,center_of_mass,Delta_robust_reachability_vs_shuffled,0.08507793842571183,0.004553032819318398,0.00035994884926360054,0.08441224274901592,0.08578057925896336,0.0013683365099474432,True
noise_000,noise,mild,0.5,1500,center_of_mass,Delta_robust_reachability_vs_product,0.08506775703730365,0.004362310299438827,0.0003448709101659459,0.08432779809273028,0.0857809844029677,0.0014531863102374282,True
noise_000,noise,mild,0.5,1500,center_of_mass,component_B_preservation,0.8137988482741395,0.003837852398168503,0.00030340887254379743,0.8132506695556423,0.814414848104691,0.001164178549048711,True
noise_000,noise,mild,0.5,1500,center_of_mass,lower_rank_erasure_score,0.09310057586293023,0.0019189261990842491,0.00015170443627189853,0.09281278238117502,0.09340572339707752,0.0005929410159025011,True
