variant_id,perturbation_family,perturbation_strength,condition,alpha,T,kappa,seed,p_viable,certified_path_mass_survival_to_final_segment,multi_step_transport_depth,transport_survival_mean,certified_transport_density,viable_propagation_index,component_A_preservation,component_B_preservation,lower_rank_erasure_score,singleton_fraction,certified_node_fraction,viable_fiber_fraction,macro_path_entropy,macro_node_entropy,breadth_index,Delta_viable_propagation_vs_product,Delta_viable_propagation_vs_shuffled,Delta_depth_vs_product,Delta_depth_vs_shuffled,Delta_robust_reachability_vs_product,Delta_robust_reachability_vs_shuffled,Delta_breadth_vs_product,Delta_breadth_vs_shuffled,Delta_R,Delta_H_weighted_product,ci_low,ci_high,ci_width,estimator_stable,category,propagation_retained
noise_000,noise,mild,coupled,0.45,900,center_of_mass,79.5,0.998931875,0.6222832576988576,0.6357046187407633,0.7942655407463045,0.4706332098711578,0.2602304672116982,1.0,0.8108467502321156,0.09457662488394215,0.3506934605635454,0.7176872560858112,1.0,7.661365499645639,2.142868042061577,0.5766421126356566,0.04901283457355454,0.04942664666431856,0.04705134066752337,0.04804190786050333,0.03208807570270189,0.03269970488104318,0.00861616170990609,0.008701424303076633,0.1156788262065831,0.1149915730552431,0.048148396899979296,0.050610543292800333,0.002462146392821038,True,Robust propagation retained,True
noise_000,noise,mild,coupled,0.45,1500,center_of_mass,79.5,0.998931875,0.6509444771299887,0.6622977843952358,0.8672917784411602,0.45625587973304976,0.27150214574756687,1.0,0.7941005386570705,0.1029497306714647,0.3943925236758915,0.7217164684391313,1.0,8.428786250774706,2.0596220053120904,0.6344029827012114,0.06862728960432701,0.0685331283580542,0.10658963416078937,0.10731418919934632,0.07986447381909673,0.08032202027699625,0.022492115465855722,0.022518205542533365,0.2992564189161264,0.2992021884994287,0.06741500861688142,0.06958501403577762,0.002170005418896198,True,Robust propagation retained,True
noise_000,noise,mild,coupled,0.45,2400,center_of_mass,79.5,0.998931875,0.704237644817118,0.7139270224119116,0.9215051657235822,0.5081036220821671,0.2692389021777888,1.0,0.7526870763140796,0.12365646184296016,0.4487980581966058,0.7484505823896828,1.0,9.164905286419184,2.019479391374504,0.6898078880250841,0.0823081777750633,0.08225881625905959,0.1954171634235522,0.19541186185513026,0.15812039455148263,0.15804219968564992,0.0458316727002811,0.045684705340589216,0.6070545638221052,0.6090002999593533,0.08117266618212395,0.08334746821018929,0.002174802028065345,True,Robust propagation retained,True
noise_000,noise,mild,coupled,0.5,900,center_of_mass,79.5,0.9988887500000001,0.6262303251698802,0.6381933870218295,0.7985535713631331,0.46774330762703986,0.26852618474601436,1.0,0.8281439432573914,0.08592802837130427,0.3516459046838441,0.7181449841906978,1.0,7.668641672608992,2.1509187023073344,0.5771924807987109,0.05672012042080926,0.0567913665669465,0.050908488030529275,0.050680177409960225,0.03466608797838511,0.03474657767656292,0.009181107229644492,0.009546275631017731,0.12684361401295075,0.12239983301721402,0.05529765198385819,0.0582510574342622,0.002953405450404005,True,Robust propagation retained,True
noise_000,noise,mild,coupled,0.5,1500,center_of_mass,79.5,0.9988887500000001,0.6580212392113742,0.6676295527219193,0.872885009252213,0.4625098154379767,0.28398835210641893,1.0,0.8137988482741395,0.09310057586293023,0.3924592879093556,0.7221251639619533,1.0,8.444154137102242,2.0759825386231263,0.6355626471369757,0.08116610987244105,0.0806930391045537,0.11362404852220176,0.11368097236551578,0.08506627154292079,0.0850766150610745,0.02360605584584563,0.023561063027096707,0.313046543753293,0.3138811694261108,0.07943920808995375,0.08192270833936635,0.0024835002494126013,True,Robust propagation retained,True
noise_000,noise,mild,coupled,0.5,2400,center_of_mass,79.5,0.9988887500000001,0.7144033441028815,0.7221450305680289,0.926208011853865,0.5113536627357876,0.2806812408133309,1.0,0.7699961431700977,0.11500192841495113,0.4490980610319534,0.7418196419512814,1.0,9.189731804009934,2.0458514963717502,0.6916797309742617,0.0932476425517455,0.09375682017148809,0.2055022791460428,0.20530847476343672,0.16634615634880678,0.16625057177608593,0.047562083990779436,0.047619535463854445,0.6326905831520122,0.6318413008512458,0.09276393518142965,0.09474198574930018,0.0019780505678705235,True,Robust propagation retained,True
noise_000,noise,mild,coupled,0.525,900,center_of_mass,79.5,0.998875,0.6282911409545437,0.6396396050795413,0.8008637942043171,0.4685392094401816,0.2733541278478133,1.0,0.8373980909557919,0.08130095452210405,0.35128019488464746,0.719055923210798,1.0,7.6700729723295735,2.1540904262206118,0.5773010723617932,0.06151853244237865,0.061876133058707816,0.052913794761555444,0.05277656480186166,0.03596980423541102,0.03585341758883809,0.00942444782143792,0.009357625951289417,0.12432666690687899,0.1252561033323616,0.06053255041524744,0.063343046034101,0.002810495618853562,True,Robust propagation retained,True
noise_000,noise,mild,coupled,0.525,1500,center_of_mass,79.5,0.998875,0.6607758720690298,0.6697758341028477,0.8753585056161336,0.46049170240962434,0.2887534648827313,1.0,0.8231025760362691,0.0884487119818654,0.39350148887609754,0.720995226208314,1.0,8.450998747369713,2.0834812909054192,0.6360787707208075,0.08591240343896125,0.08576177016835823,0.1164741259746237,0.11654889758750597,0.08711673959236715,0.08719210708250114,0.023938965500559073,0.02399334871009473,0.3187782874521705,0.3178946023667528,0.08443459117200933,0.08708143267657627,0.002646841504566941,True,Robust propagation retained,True
noise_000,noise,mild,coupled,0.525,2400,center_of_mass,79.5,0.998875,0.7190088263528874,0.7259819834640259,0.9282836502925512,0.5149529811316294,0.28702526333182155,1.0,0.777771857985994,0.11111407100700296,0.4471017907028535,0.7347642762940745,1.0,9.200586513197859,2.0578388437840234,0.6924977671010729,0.10030269286693633,0.09989282761819951,0.2099255057486069,0.21006970908682565,0.1699914624961028,0.1700379074676283,0.04835852504145488,0.048267272363321845,0.6412838208589804,0.6419803601690521,0.0986516798636048,0.10099240583236657,0.002340725968761767,True,Robust propagation retained,True
noise_001,noise,moderate,coupled,0.45,900,center_of_mass,79.5,0.998946875,0.668006088153677,0.6707034101502224,0.8162478801371942,0.5378975203687942,0.29349751687438197,1.0,0.7696063331131031,0.1151968334434484,0.3005959657336851,0.7346276525735858,1.0,6.046044492414059,2.0726095553605504,0.4550622467696434,0.08915603504766195,0.08891288038618972,0.023885236051386816,0.024534891146399618,0.015716794849711002,0.016127712102931124,0.007525801488528383,0.00771255875427429,0.10255621512194235,0.10018485454750614,0.08706316310996995,0.09076115626642284,0.003697993156452889,True,Robust propagation retained,True
