variant_id,perturbation_family,perturbation_strength,alpha,T,kappa,component_A_preservation,component_B_preservation,lower_rank_erasure_score,singleton_fraction
noise_006,noise,mild,0.45,1500,center_of_mass,1.0,0.7940966116223382,0.10295169418883085,0.3954976685098869
noise_006,noise,mild,0.45,2400,center_of_mass,1.0,0.7530160511195086,0.12349197444024565,0.45061255007968065
noise_006,noise,mild,0.5,900,center_of_mass,1.0,0.8281087131721154,0.08594564341394223,0.3512010474606237
noise_006,noise,mild,0.5,1500,center_of_mass,1.0,0.8134244752482338,0.09328776237588306,0.3931912049707407
noise_006,noise,mild,0.5,2400,center_of_mass,1.0,0.7696551555606219,0.11517242221968897,0.4485437024532749
noise_006,noise,mild,0.525,900,center_of_mass,1.0,0.8371191184653254,0.08144044076733728,0.3502629124613875
noise_006,noise,mild,0.525,1500,center_of_mass,1.0,0.8230634796323445,0.08846826018382771,0.39534054328427815
noise_006,noise,mild,0.525,2400,center_of_mass,1.0,0.7776427924189797,0.1111786037905101,0.44659938532797294
noise_007,noise,moderate,0.45,900,center_of_mass,1.0,0.7688621716248071,0.11556891418759643,0.30256833110985115
noise_007,noise,moderate,0.45,1500,center_of_mass,1.0,0.7085128927987445,0.14574355360062768,0.3165551197398513
noise_007,noise,moderate,0.45,2400,center_of_mass,1.0,0.5992051923397372,0.20039740383013135,0.32424412702573513
noise_007,noise,moderate,0.5,900,center_of_mass,1.0,0.8184960571132749,0.09075197144336249,0.3037038007674188
noise_007,noise,moderate,0.5,1500,center_of_mass,1.0,0.7773410345503604,0.11132948272481973,0.3169951536734196
noise_007,noise,moderate,0.5,2400,center_of_mass,1.0,0.6642546561695127,0.16787267191524363,0.3274929437394612
noise_007,noise,moderate,0.525,900,center_of_mass,1.0,0.8438074449821527,0.0780962775089237,0.30477939187036374
noise_007,noise,moderate,0.525,1500,center_of_mass,1.0,0.8092531785131785,0.09537341074341073,0.3175065441752061
noise_007,noise,moderate,0.525,2400,center_of_mass,1.0,0.6959708337535024,0.15201458312324878,0.32972631848579936
noise_008,noise,mild,0.45,900,center_of_mass,1.0,0.7841540746751408,0.10792296266242958,0.31360818716429983
noise_008,noise,mild,0.45,1500,center_of_mass,1.0,0.7459624430887056,0.12701877845564713,0.3376146665170587
noise_008,noise,mild,0.45,2400,center_of_mass,1.0,0.6650308580610013,0.16748457096949937,0.3597647006896726
noise_008,noise,mild,0.5,900,center_of_mass,1.0,0.8204239472384535,0.08978802638077325,0.3138782325219339
noise_008,noise,mild,0.5,1500,center_of_mass,1.0,0.7939724881231365,0.10301375593843173,0.339144941701731
noise_008,noise,mild,0.5,2400,center_of_mass,1.0,0.7090411308102785,0.14547943459486068,0.3639994913975995
noise_008,noise,mild,0.525,900,center_of_mass,1.0,0.8397512300031134,0.08012438499844331,0.31474751804170775
noise_008,noise,mild,0.525,1500,center_of_mass,1.0,0.8157829617408823,0.09210851912955885,0.3374156629255055
noise_008,noise,mild,0.525,2400,center_of_mass,1.0,0.7299187939133089,0.13504060304334548,0.36240045610256955
noise_009,noise,moderate,0.45,900,center_of_mass,1.0,0.8206640904767013,0.08966795476164924,0.3729344089739336
noise_009,noise,moderate,0.45,1500,center_of_mass,1.0,0.8086554136795812,0.09567229316020938,0.4249231916231316
noise_009,noise,moderate,0.45,2400,center_of_mass,1.0,0.7779617827239045,0.11101910863804773,0.48726926778165625
noise_009,noise,moderate,0.5,900,center_of_mass,1.0,0.8323781253652915,0.08381093731735421,0.3705287876222211
