syndrome_id,probe_key,flow_mode,group_id,seed,start_index,window,component_count,scored_component_count,component_pass_count,syndrome_component_pass_fraction,syndrome_joint_pass,syndrome_signed_score_mean,syndrome_signed_score_min,syndrome_window_coherence_score,syndrome_direction_stability,decision_hint
SYN_C_low_growth_high_concentration_low_entropy,constraint_profile_hash,constrained_window_flow,anchor_006|baseline=baseline,4541459,0,2->4,3,3,3,1.0,1,0.26783752575186137,0.10399288976949049,1.0,stable_direction,joint_pass
SYN_D_high_turnover_high_entropy_low_bottleneck_control,constraint_profile_hash,constrained_window_flow,anchor_006|baseline=baseline,4541459,0,2->4,3,3,0,0.0,0,-0.07755004740302124,-0.21030923374549138,0.0,mixed_direction,no_component_pass
SYN_E_transition_then_persistence_cascade,constraint_profile_hash,constrained_window_flow,anchor_006|baseline=baseline,4541459,0,2->4,3,2,0,0.0,0,0.12445418365670273,0.11727202327620327,0.0,stable_direction,no_component_pass
SYN_A_low_growth_high_bottleneck_low_offdiag,constraint_profile_hash,one_step_local_flow,anchor_006|baseline=baseline,4541459,0,2->4,3,3,6,2.0,0,0.3919915263165692,-0.081831076778183,2.0,mixed_direction,partial_component_pass
SYN_B_high_turnover_high_offdiag_high_window_delta,constraint_profile_hash,one_step_local_flow,anchor_006|baseline=baseline,4541459,0,2->4,3,3,0,0.0,0,-0.3378611649465643,-0.6258760831683998,0.0,stable_direction,no_component_pass
SYN_C_low_growth_high_concentration_low_entropy,constraint_profile_hash,one_step_local_flow,anchor_006|baseline=baseline,4541459,0,2->4,3,3,3,1.0,1,0.2554513738332048,0.046415286736215845,1.0,stable_direction,joint_pass
SYN_D_high_turnover_high_entropy_low_bottleneck_control,constraint_profile_hash,one_step_local_flow,anchor_006|baseline=baseline,4541459,0,2->4,3,3,0,0.0,0,-0.06755819994928161,-0.238090389889812,0.0,mixed_direction,no_component_pass
SYN_E_transition_then_persistence_cascade,constraint_profile_hash,one_step_local_flow,anchor_006|baseline=baseline,4541459,0,2->4,3,2,0,0.0,0,0.11467127805475649,0.08800926220390776,0.0,stable_direction,no_component_pass
SYN_A_low_growth_high_bottleneck_low_offdiag,constraint_profile_hash,constrained_window_flow,anchor_006|baseline=baseline,4541459,0,4->8,3,3,3,1.0,1,0.38209710361463456,-0.018578332800707663,1.0,mixed_direction,joint_pass
SYN_B_high_turnover_high_offdiag_high_window_delta,constraint_profile_hash,constrained_window_flow,anchor_006|baseline=baseline,4541459,0,4->8,3,3,0,0.0,0,-0.24951737693649398,-0.5775584968990067,0.0,mixed_direction,no_component_pass
