metric_family,metric_name,probe_key,flow_mode,observed_recurrence_rate,control_recurrence_mean,recurrence_excess,control_count,weak_control_flag,control_match_class
window_stability,,,,0.0,0.0,0.0,0,1,weak_control
support_turnover,support_turnover_rate,existing_low,constrained_window_flow,0.25,0.25,0.0,4,0,control_equivalent
support_turnover,new_signature_rate,existing_low,constrained_window_flow,0.25,0.25,0.0,4,0,control_equivalent
support_turnover,lost_signature_rate,existing_low,constrained_window_flow,0.5,0.5,0.0,4,0,control_equivalent
transition_matrix,transition_matrix_entropy,existing_low,constrained_window_flow,0.5,0.5,0.0,4,0,control_equivalent
transition_matrix,row_entropy_mean,existing_low,constrained_window_flow,0.5,0.5,0.0,4,0,control_equivalent
transition_matrix,transition_matrix_sparsity,existing_low,constrained_window_flow,0.25,0.25,0.0,4,0,control_equivalent
transition_matrix,off_diagonal_transform_mass,existing_low,constrained_window_flow,0.5,0.5,0.0,4,0,control_equivalent
bottleneck,frontier_bottleneck_index,existing_low,constrained_window_flow,0.5,0.5,0.0,4,0,control_equivalent
bottleneck,top_k_flow_concentration,existing_low,constrained_window_flow,0.25,0.25,0.0,4,0,control_equivalent
window_stability,window_metric_vector_l2_distance_to_next,existing_low,constrained_window_flow,0.0,0.0,0.0,4,0,no_observed_recurrence
transition_matrix,transition_matrix_js_to_next_window,existing_low,constrained_window_flow,0.0,0.0,0.0,4,0,no_observed_recurrence
support_turnover,signature_distribution_js_to_next_window,existing_low,constrained_window_flow,0.25,0.25,0.0,4,0,control_equivalent
support_turnover,support_turnover_rate,existing_low,one_step_local_flow,0.25,0.25,0.0,4,0,control_equivalent
support_turnover,new_signature_rate,existing_low,one_step_local_flow,0.25,0.25,0.0,4,0,control_equivalent
support_turnover,lost_signature_rate,existing_low,one_step_local_flow,0.5,0.5,0.0,4,0,control_equivalent
transition_matrix,transition_matrix_entropy,existing_low,one_step_local_flow,0.5,0.5,0.0,4,0,control_equivalent
transition_matrix,row_entropy_mean,existing_low,one_step_local_flow,0.5,0.5,0.0,4,0,control_equivalent
transition_matrix,transition_matrix_sparsity,existing_low,one_step_local_flow,0.25,0.25,0.0,4,0,control_equivalent
transition_matrix,off_diagonal_transform_mass,existing_low,one_step_local_flow,0.5,0.5,0.0,4,0,control_equivalent
bottleneck,frontier_bottleneck_index,existing_low,one_step_local_flow,0.5,0.5,0.0,4,0,control_equivalent
bottleneck,top_k_flow_concentration,existing_low,one_step_local_flow,0.25,0.25,0.0,4,0,control_equivalent
window_stability,window_metric_vector_l2_distance_to_next,existing_low,one_step_local_flow,0.0,0.0,0.0,4,0,no_observed_recurrence
transition_matrix,transition_matrix_js_to_next_window,existing_low,one_step_local_flow,0.0,0.0,0.0,4,0,no_observed_recurrence
support_turnover,signature_distribution_js_to_next_window,existing_low,one_step_local_flow,0.25,0.25,0.0,4,0,control_equivalent
window_stability,window_metric_vector_l2_distance_to_previous,existing_low,constrained_window_flow,0.0,0.0,0.0,4,0,no_observed_recurrence
transition_matrix,transition_matrix_js_to_previous_window,existing_low,constrained_window_flow,0.0,0.0,0.0,4,0,no_observed_recurrence
support_turnover,signature_distribution_js_to_previous_window,existing_low,constrained_window_flow,0.0,0.0,0.0,4,0,no_observed_recurrence
window_stability,window_metric_vector_l2_distance_to_previous,existing_low,one_step_local_flow,0.0,0.0,0.0,4,0,no_observed_recurrence
transition_matrix,transition_matrix_js_to_previous_window,existing_low,one_step_local_flow,0.0,0.0,0.0,4,0,no_observed_recurrence
support_turnover,signature_distribution_js_to_previous_window,existing_low,one_step_local_flow,0.0,0.0,0.0,4,0,no_observed_recurrence
support_turnover,support_turnover_rate,full_state_hash,constrained_window_flow,0.0,0.0,0.0,4,0,no_observed_recurrence
support_turnover,new_signature_rate,full_state_hash,constrained_window_flow,0.0,0.0,0.0,4,0,no_observed_recurrence
