flow_mode,metric_rows,effect_rows,mean_no_window_target_rate,non_equivalent_effect_rate
constrained_window_flow,8960,352,0.0026419943384249716,0.17613636363636365
one_step_local_flow,8960,336,0.0026419943384249716,0.17261904761904762
