syndrome_id,probe_key,flow_mode,ablation_kind,component_removed,component_subset_json,full_syndrome_score,ablated_score,best_single_component_score,best_pair_score,single_component_explained_fraction,joint_rate_excess,joint_rate_percentile,decision_class,complete_unit_count
SYN_B_high_turnover_high_offdiag_high_window_delta,constraint_profile_hash,one_step_local_flow,leave_one_component_out,window_delta_high,"[""offdiag_high"", ""turnover_high""]",0.03571428571428571,0.21428571428571427,0.4583333333333333,0.21428571428571427,12.833333333333334,0.02394642857142857,1.0,joint_syndrome_not_single_component_driven,1344
SYN_C_low_growth_high_concentration_low_entropy,constraint_profile_hash,one_step_local_flow,leave_one_component_out,concentration_high,"[""growth_low"", ""transition_entropy_low""]",0.0031887755102040817,0.01211734693877551,0.11352040816326531,0.08354591836734694,35.6,0.002385204081632653,1.0,joint_syndrome_not_single_component_driven,1568
SYN_C_low_growth_high_concentration_low_entropy,constraint_profile_hash,one_step_local_flow,leave_one_component_out,growth_low,"[""concentration_high"", ""transition_entropy_low""]",0.0031887755102040817,0.08354591836734694,0.11352040816326531,0.08354591836734694,35.6,0.002385204081632653,1.0,joint_syndrome_not_single_component_driven,1568
SYN_C_low_growth_high_concentration_low_entropy,constraint_profile_hash,one_step_local_flow,leave_one_component_out,transition_entropy_low,"[""concentration_high"", ""growth_low""]",0.0031887755102040817,0.0031887755102040817,0.11352040816326531,0.08354591836734694,35.6,0.002385204081632653,1.0,joint_syndrome_not_single_component_driven,1568
SYN_D_high_turnover_high_entropy_low_bottleneck_control,constraint_profile_hash,one_step_local_flow,leave_one_component_out,bottleneck_low,"[""transition_entropy_high"", ""turnover_high""]",0.054209183673469385,0.05803571428571429,0.40880102040816324,0.3565051020408163,7.541176470588235,0.018227040816326527,1.0,joint_syndrome_not_single_component_driven,1568
SYN_D_high_turnover_high_entropy_low_bottleneck_control,constraint_profile_hash,one_step_local_flow,leave_one_component_out,transition_entropy_high,"[""bottleneck_low"", ""turnover_high""]",0.054209183673469385,0.07589285714285714,0.40880102040816324,0.3565051020408163,7.541176470588235,0.018227040816326527,1.0,joint_syndrome_not_single_component_driven,1568
SYN_D_high_turnover_high_entropy_low_bottleneck_control,constraint_profile_hash,one_step_local_flow,leave_one_component_out,turnover_high,"[""bottleneck_low"", ""transition_entropy_high""]",0.054209183673469385,0.3565051020408163,0.40880102040816324,0.3565051020408163,7.541176470588235,0.018227040816326527,1.0,joint_syndrome_not_single_component_driven,1568
SYN_A_low_growth_high_bottleneck_low_offdiag,constraint_violation_count_plus_local_tuple,constrained_window_flow,leave_one_component_out,bottleneck_high,"[""growth_low"", ""offdiag_low""]",0.021045918367346938,0.03380102040816327,0.23278061224489796,0.16135204081632654,11.06060606060606,0.01757015306122449,1.0,joint_syndrome_not_single_component_driven,1568
SYN_A_low_growth_high_bottleneck_low_offdiag,constraint_violation_count_plus_local_tuple,constrained_window_flow,leave_one_component_out,growth_low,"[""bottleneck_high"", ""offdiag_low""]",0.021045918367346938,0.16135204081632654,0.23278061224489796,0.16135204081632654,11.06060606060606,0.01757015306122449,1.0,joint_syndrome_not_single_component_driven,1568
SYN_A_low_growth_high_bottleneck_low_offdiag,constraint_violation_count_plus_local_tuple,constrained_window_flow,leave_one_component_out,offdiag_low,"[""bottleneck_high"", ""growth_low""]",0.021045918367346938,0.021683673469387755,0.23278061224489796,0.16135204081632654,11.06060606060606,0.01757015306122449,1.0,joint_syndrome_not_single_component_driven,1568
SYN_B_high_turnover_high_offdiag_high_window_delta,constraint_violation_count_plus_local_tuple,constrained_window_flow,leave_one_component_out,offdiag_high,"[""turnover_high"", ""window_delta_high""]",0.009672619047619048,0.046875,0.32068452380952384,0.08705357142857142,33.15384615384615,0.00546577380952381,0.998,joint_syndrome_not_single_component_driven,1344
SYN_B_high_turnover_high_offdiag_high_window_delta,constraint_violation_count_plus_local_tuple,constrained_window_flow,leave_one_component_out,turnover_high,"[""offdiag_high"", ""window_delta_high""]",0.009672619047619048,0.021577380952380952,0.32068452380952384,0.08705357142857142,33.15384615384615,0.00546577380952381,0.998,joint_syndrome_not_single_component_driven,1344
SYN_B_high_turnover_high_offdiag_high_window_delta,constraint_violation_count_plus_local_tuple,constrained_window_flow,leave_one_component_out,window_delta_high,"[""offdiag_high"", ""turnover_high""]",0.009672619047619048,0.08705357142857142,0.32068452380952384,0.08705357142857142,33.15384615384615,0.00546577380952381,0.998,joint_syndrome_not_single_component_driven,1344
SYN_C_low_growth_high_concentration_low_entropy,constraint_violation_count_plus_local_tuple,constrained_window_flow,leave_one_component_out,concentration_high,"[""growth_low"", ""transition_entropy_low""]",0.022321428571428572,0.029336734693877552,0.2697704081632653,0.21619897959183673,12.085714285714285,0.017839285714285714,1.0,joint_syndrome_not_single_component_driven,1568
SYN_C_low_growth_high_concentration_low_entropy,constraint_violation_count_plus_local_tuple,constrained_window_flow,leave_one_component_out,growth_low,"[""concentration_high"", ""transition_entropy_low""]",0.022321428571428572,0.21619897959183673,0.2697704081632653,0.21619897959183673,12.085714285714285,0.017839285714285714,1.0,joint_syndrome_not_single_component_driven,1568
SYN_C_low_growth_high_concentration_low_entropy,constraint_violation_count_plus_local_tuple,constrained_window_flow,leave_one_component_out,transition_entropy_low,"[""concentration_high"", ""growth_low""]",0.022321428571428572,0.022321428571428572,0.2697704081632653,0.21619897959183673,12.085714285714285,0.017839285714285714,1.0,joint_syndrome_not_single_component_driven,1568
SYN_D_high_turnover_high_entropy_low_bottleneck_control,constraint_violation_count_plus_local_tuple,constrained_window_flow,leave_one_component_out,bottleneck_low,"[""transition_entropy_high"", ""turnover_high""]",0.003826530612244898,0.003826530612244898,0.29528061224489793,0.06377551020408163,77.16666666666666,-0.0007155612244897957,0.432,joint_syndrome_not_single_component_driven,1568
SYN_D_high_turnover_high_entropy_low_bottleneck_control,constraint_violation_count_plus_local_tuple,constrained_window_flow,leave_one_component_out,transition_entropy_high,"[""bottleneck_low"", ""turnover_high""]",0.003826530612244898,0.021683673469387755,0.29528061224489793,0.06377551020408163,77.16666666666666,-0.0007155612244897957,0.432,joint_syndrome_not_single_component_driven,1568
SYN_D_high_turnover_high_entropy_low_bottleneck_control,constraint_violation_count_plus_local_tuple,constrained_window_flow,leave_one_component_out,turnover_high,"[""bottleneck_low"", ""transition_entropy_high""]",0.003826530612244898,0.06377551020408163,0.29528061224489793,0.06377551020408163,77.16666666666666,-0.0007155612244897957,0.432,joint_syndrome_not_single_component_driven,1568
SYN_A_low_growth_high_bottleneck_low_offdiag,constraint_violation_count_plus_local_tuple,one_step_local_flow,leave_one_component_out,bottleneck_high,"[""growth_low"", ""offdiag_low""]",0.021683673469387755,0.036989795918367346,0.24744897959183673,0.16581632653061223,11.411764705882353,0.018135204081632654,1.0,joint_syndrome_not_single_component_driven,1568
SYN_A_low_growth_high_bottleneck_low_offdiag,constraint_violation_count_plus_local_tuple,one_step_local_flow,leave_one_component_out,growth_low,"[""bottleneck_high"", ""offdiag_low""]",0.021683673469387755,0.16581632653061223,0.24744897959183673,0.16581632653061223,11.411764705882353,0.018135204081632654,1.0,joint_syndrome_not_single_component_driven,1568
SYN_A_low_growth_high_bottleneck_low_offdiag,constraint_violation_count_plus_local_tuple,one_step_local_flow,leave_one_component_out,offdiag_low,"[""bottleneck_high"", ""growth_low""]",0.021683673469387755,0.022321428571428572,0.24744897959183673,0.16581632653061223,11.411764705882353,0.018135204081632654,1.0,joint_syndrome_not_single_component_driven,1568
SYN_B_high_turnover_high_offdiag_high_window_delta,constraint_violation_count_plus_local_tuple,one_step_local_flow,leave_one_component_out,offdiag_high,"[""turnover_high"", ""window_delta_high""]",0.009672619047619048,0.047619047619047616,0.3117559523809524,0.08630952380952381,32.230769230769226,0.004940476190476191,0.996,joint_syndrome_not_single_component_driven,1344
SYN_B_high_turnover_high_offdiag_high_window_delta,constraint_violation_count_plus_local_tuple,one_step_local_flow,leave_one_component_out,turnover_high,"[""offdiag_high"", ""window_delta_high""]",0.009672619047619048,0.025297619047619048,0.3117559523809524,0.08630952380952381,32.230769230769226,0.004940476190476191,0.996,joint_syndrome_not_single_component_driven,1344
SYN_B_high_turnover_high_offdiag_high_window_delta,constraint_violation_count_plus_local_tuple,one_step_local_flow,leave_one_component_out,window_delta_high,"[""offdiag_high"", ""turnover_high""]",0.009672619047619048,0.08630952380952381,0.3117559523809524,0.08630952380952381,32.230769230769226,0.004940476190476191,0.996,joint_syndrome_not_single_component_driven,1344
SYN_C_low_growth_high_concentration_low_entropy,constraint_violation_count_plus_local_tuple,one_step_local_flow,leave_one_component_out,concentration_high,"[""growth_low"", ""transition_entropy_low""]",0.02295918367346939,0.029974489795918366,0.27614795918367346,0.22321428571428573,12.027777777777777,0.01856122448979592,1.0,joint_syndrome_not_single_component_driven,1568
SYN_C_low_growth_high_concentration_low_entropy,constraint_violation_count_plus_local_tuple,one_step_local_flow,leave_one_component_out,growth_low,"[""concentration_high"", ""transition_entropy_low""]",0.02295918367346939,0.22321428571428573,0.27614795918367346,0.22321428571428573,12.027777777777777,0.01856122448979592,1.0,joint_syndrome_not_single_component_driven,1568
SYN_C_low_growth_high_concentration_low_entropy,constraint_violation_count_plus_local_tuple,one_step_local_flow,leave_one_component_out,transition_entropy_low,"[""concentration_high"", ""growth_low""]",0.02295918367346939,0.02295918367346939,0.27614795918367346,0.22321428571428573,12.027777777777777,0.01856122448979592,1.0,joint_syndrome_not_single_component_driven,1568
SYN_D_high_turnover_high_entropy_low_bottleneck_control,constraint_violation_count_plus_local_tuple,one_step_local_flow,leave_one_component_out,bottleneck_low,"[""transition_entropy_high"", ""turnover_high""]",0.003826530612244898,0.006377551020408163,0.29910714285714285,0.061224489795918366,78.16666666666667,-0.0006760204081632656,0.444,joint_syndrome_not_single_component_driven,1568
SYN_D_high_turnover_high_entropy_low_bottleneck_control,constraint_violation_count_plus_local_tuple,one_step_local_flow,leave_one_component_out,transition_entropy_high,"[""bottleneck_low"", ""turnover_high""]",0.003826530612244898,0.022321428571428572,0.29910714285714285,0.061224489795918366,78.16666666666667,-0.0006760204081632656,0.444,joint_syndrome_not_single_component_driven,1568
SYN_D_high_turnover_high_entropy_low_bottleneck_control,constraint_violation_count_plus_local_tuple,one_step_local_flow,leave_one_component_out,turnover_high,"[""bottleneck_low"", ""transition_entropy_high""]",0.003826530612244898,0.061224489795918366,0.29910714285714285,0.061224489795918366,78.16666666666667,-0.0006760204081632656,0.444,joint_syndrome_not_single_component_driven,1568
