syndrome_id,probe_key,flow_mode,selection_mode,readiness_allowed,component_rows,scored_component_rows,component_pass_rows,component_pass_rate,mean_signed_z,observed_joint_rate,component_marginal_preserving_control_mean,joint_rate_excess,joint_rate_percentile,marginal_control_replicates,single_component_ablation_decision,control_equivalence_read,stage_a_decision_class
SYN_A_low_growth_high_bottleneck_low_offdiag,constraint_violation_count_plus_local_tuple,constrained_window_flow,preregistered,1,4704,4704,802,0.17049319727891157,0.08285953372795508,0.021045918367346938,0.003475765306122449,0.01757015306122449,1.0,500,joint_syndrome_not_single_component_driven,above_marginal_preserving_controls,syndrome_smoke_joint_positive_above_marginal_controls
SYN_B_high_turnover_high_offdiag_high_window_delta,constraint_violation_count_plus_local_tuple,constrained_window_flow,preregistered,1,4704,4480,842,0.18794642857142857,-0.12999218147773933,0.009672619047619048,0.004206845238095238,0.00546577380952381,0.998,500,joint_syndrome_not_single_component_driven,above_marginal_preserving_controls,syndrome_smoke_joint_positive_above_marginal_controls
SYN_C_low_growth_high_concentration_low_entropy,constraint_violation_count_plus_local_tuple,constrained_window_flow,preregistered,1,4704,4704,889,0.18898809523809523,0.04102652035753027,0.022321428571428572,0.004482142857142857,0.017839285714285714,1.0,500,joint_syndrome_not_single_component_driven,above_marginal_preserving_controls,syndrome_smoke_joint_positive_above_marginal_controls
SYN_D_high_turnover_high_entropy_low_bottleneck_control,constraint_violation_count_plus_local_tuple,constrained_window_flow,preregistered,1,4704,4704,857,0.18218537414965985,-0.06872828690510645,0.003826530612244898,0.0045420918367346935,-0.0007155612244897957,0.432,500,joint_syndrome_not_single_component_driven,marginal_control_equivalent_or_insufficient,syndrome_smoke_control_equivalent
SYN_E_transition_then_persistence_cascade,constraint_violation_count_plus_local_tuple,constrained_window_flow,preregistered,1,4704,2912,553,0.18990384615384615,0.0878794910578401,0.0,0.0,0.0,0.0,,,underdetermined_missing_marginal_preserving_control,syndrome_smoke_insufficient_data
SYN_A_low_growth_high_bottleneck_low_offdiag,constraint_violation_count_plus_local_tuple,one_step_local_flow,preregistered,1,4704,4704,828,0.1760204081632653,0.08918656349546174,0.021683673469387755,0.0035484693877551017,0.018135204081632654,1.0,500,joint_syndrome_not_single_component_driven,above_marginal_preserving_controls,syndrome_smoke_joint_positive_above_marginal_controls
SYN_B_high_turnover_high_offdiag_high_window_delta,constraint_violation_count_plus_local_tuple,one_step_local_flow,preregistered,1,4704,4480,846,0.1888392857142857,-0.13678487615332474,0.009672619047619048,0.004732142857142857,0.004940476190476191,0.996,500,joint_syndrome_not_single_component_driven,above_marginal_preserving_controls,syndrome_smoke_joint_positive_above_marginal_controls
SYN_C_low_growth_high_concentration_low_entropy,constraint_violation_count_plus_local_tuple,one_step_local_flow,preregistered,1,4704,4704,898,0.1909013605442177,0.04323624958241123,0.02295918367346939,0.0043979591836734696,0.01856122448979592,1.0,500,joint_syndrome_not_single_component_driven,above_marginal_preserving_controls,syndrome_smoke_joint_positive_above_marginal_controls
SYN_D_high_turnover_high_entropy_low_bottleneck_control,constraint_violation_count_plus_local_tuple,one_step_local_flow,preregistered,1,4704,4704,858,0.18239795918367346,-0.07560624925315644,0.003826530612244898,0.0045025510204081635,-0.0006760204081632656,0.444,500,joint_syndrome_not_single_component_driven,marginal_control_equivalent_or_insufficient,syndrome_smoke_control_equivalent
SYN_E_transition_then_persistence_cascade,constraint_violation_count_plus_local_tuple,one_step_local_flow,preregistered,1,4704,2912,555,0.19059065934065933,0.0918088657188864,0.0,0.0,0.0,0.0,,,underdetermined_missing_marginal_preserving_control,syndrome_smoke_insufficient_data
