H_cond_viable,H_recoverability_weighted,H_viability_weighted,candidate_C,horizon_T,macro_recoverability_mixing_rate,macro_viability_mixing_rate,start_state,trap_mixing_rate,world_id
0.8483022981464987,0.8483022981464987,0.8483022981464987,checkerboard,2,1.0,1.0,alt,1.0,B_10000_hidden_fake
1.319923008724122,1.319923008724122,1.0638466475451198,checkerboard,3,1.0,1.0,alt,1.0,B_10000_hidden_fake
1.6027034998284382,1.6027034998284382,0.9092854452556768,checkerboard,4,1.0,1.0,alt,1.0,B_10000_hidden_fake
1.515069355240809,1.515069355240809,0.5494853537587366,checkerboard,5,1.0,1.0,alt,1.0,B_10000_hidden_fake
1.5740318287999335,1.5740318287999335,0.45851547172942064,checkerboard,6,1.0,1.0,alt,1.0,B_10000_hidden_fake
1.5080051390709568,1.5080051390709568,0.12006736917282958,checkerboard,8,1.0,1.0,alt,1.0,B_10000_hidden_fake
2.475055636795693,2.475055636795693,0.3147775758876762,checkerboard,10,1.0,1.0,alt,1.0,B_10000_hidden_fake
2.054735753709877,2.054735753709877,2.054735753709877,trap_mixing_adversarial,2,0.5,0.75,start,0.5,B_10000_hidden_fake
2.915556735695248,2.915556735695248,1.5160895025615289,trap_mixing_adversarial,3,0.5,0.75,start,0.5,B_10000_hidden_fake
3.897908925896444,3.897908925896444,0.991196634939894,trap_mixing_adversarial,4,0.5,0.75,start,0.5,B_10000_hidden_fake
4.776259843399393,4.776259843399393,0.5731511812079271,trap_mixing_adversarial,5,0.5,0.75,start,0.5,B_10000_hidden_fake
4.758032090756695,4.758032090756695,0.28091421463827526,trap_mixing_adversarial,6,0.5,0.75,start,0.5,B_10000_hidden_fake
0.0,0.0,0.0,trap_mixing_adversarial,8,0.5,0.75,start,0.5,B_10000_hidden_fake
0.0,0.0,0.0,trap_mixing_adversarial,10,0.5,0.75,start,0.5,B_10000_hidden_fake
2.0812286855388975,2.0812286855388975,2.0812286855388975,trap_mixing_adversarial,2,0.5,0.75,alt,0.5,B_10000_hidden_fake
3.0662266525458266,3.0662266525458266,2.4713524375012725,trap_mixing_adversarial,3,0.5,0.75,alt,0.5,B_10000_hidden_fake
4.313900832742771,4.313900832742771,2.4474690670540356,trap_mixing_adversarial,4,0.5,0.75,alt,0.5,B_10000_hidden_fake
4.927431307294731,4.927431307294731,1.7870807865296532,trap_mixing_adversarial,5,0.5,0.75,alt,0.5,B_10000_hidden_fake
5.579831311899073,5.579831311899073,1.6254048611562,trap_mixing_adversarial,6,0.5,0.75,alt,0.5,B_10000_hidden_fake
4.5348794660140666,4.5348794660140666,0.36106710308403994,trap_mixing_adversarial,8,0.5,0.75,alt,0.5,B_10000_hidden_fake
3.964794429769954,3.964794429769954,0.5042425555781427,trap_mixing_adversarial,10,0.5,0.75,alt,0.5,B_10000_hidden_fake
2.5829133439909846,2.5829133439909846,2.5829133439909846,hash_k34_s1206,2,0.5588235294117647,0.6176470588235294,start,0.5588235294117647,B_10000_hidden_fake
3.5865195600102533,3.5865195600102533,1.8649901712053318,hash_k34_s1206,3,0.5588235294117647,0.6176470588235294,start,0.5588235294117647,B_10000_hidden_fake
4.871132699348168,4.871132699348168,1.2386770526787465,hash_k34_s1206,4,0.5588235294117647,0.6176470588235294,start,0.5588235294117647,B_10000_hidden_fake
5.858519592957978,5.858519592957978,0.7030223511549574,hash_k34_s1206,5,0.5588235294117647,0.6176470588235294,start,0.5588235294117647,B_10000_hidden_fake
5.839263983885195,5.839263983885195,0.34475014560858197,hash_k34_s1206,6,0.5588235294117647,0.6176470588235294,start,0.5588235294117647,B_10000_hidden_fake
0.0,0.0,0.0,hash_k34_s1206,8,0.5588235294117647,0.6176470588235294,start,0.5588235294117647,B_10000_hidden_fake
0.0,0.0,0.0,hash_k34_s1206,10,0.5588235294117647,0.6176470588235294,start,0.5588235294117647,B_10000_hidden_fake
3.1271423438230324,3.1271423438230324,3.1271423438230324,hash_k34_s1206,2,0.5588235294117647,0.6176470588235294,alt,0.5588235294117647,B_10000_hidden_fake
4.3664903049934845,4.3664903049934845,3.5193538121559467,hash_k34_s1206,3,0.5588235294117647,0.6176470588235294,alt,0.5588235294117647,B_10000_hidden_fake
5.9330130645490025,5.9330130645490025,3.3660639205465483,hash_k34_s1206,4,0.5588235294117647,0.6176470588235294,alt,0.5588235294117647,B_10000_hidden_fake
6.831812945225806,6.831812945225806,2.4777619189744953,hash_k34_s1206,5,0.5588235294117647,0.6176470588235294,alt,0.5588235294117647,B_10000_hidden_fake
7.196305152668855,7.196305152668855,2.0962836909724376,hash_k34_s1206,6,0.5588235294117647,0.6176470588235294,alt,0.5588235294117647,B_10000_hidden_fake
6.1677334731212285,6.1677334731212285,0.4910749391299122,hash_k34_s1206,8,0.5588235294117647,0.6176470588235294,alt,0.5588235294117647,B_10000_hidden_fake
6.401566699526569,6.401566699526569,0.8141512528457889,hash_k34_s1206,10,0.5588235294117647,0.6176470588235294,alt,0.5588235294117647,B_10000_hidden_fake
2.504972833587538,2.504972833587538,2.504972833587538,best_of_10_hashes_per_world,2,0.36363636363636365,0.45454545454545453,start,0.36363636363636365,B_10000_hidden_fake
3.558540915250042,3.558540915250042,1.8504412759300217,best_of_10_hashes_per_world,3,0.36363636363636365,0.45454545454545453,start,0.36363636363636365,B_10000_hidden_fake
4.797028312114973,4.797028312114973,1.2198330979696372,best_of_10_hashes_per_world,4,0.36363636363636365,0.45454545454545453,start,0.36363636363636365,B_10000_hidden_fake
5.7634198554991745,5.7634198554991745,0.6916103826599009,best_of_10_hashes_per_world,5,0.36363636363636365,0.45454545454545453,start,0.36363636363636365,B_10000_hidden_fake
5.737756485870694,5.737756485870694,0.3387571429258058,best_of_10_hashes_per_world,6,0.36363636363636365,0.45454545454545453,start,0.36363636363636365,B_10000_hidden_fake
0.0,0.0,0.0,best_of_10_hashes_per_world,8,0.36363636363636365,0.45454545454545453,start,0.36363636363636365,B_10000_hidden_fake
0.0,0.0,0.0,best_of_10_hashes_per_world,10,0.36363636363636365,0.45454545454545453,start,0.36363636363636365,B_10000_hidden_fake
3.108152010109061,3.108152010109061,3.108152010109061,best_of_10_hashes_per_world,2,0.36363636363636365,0.45454545454545453,alt,0.36363636363636365,B_10000_hidden_fake
4.260984716448079,4.260984716448079,3.434317210831904,best_of_10_hashes_per_world,3,0.36363636363636365,0.45454545454545453,alt,0.36363636363636365,B_10000_hidden_fake
5.821429458828917,5.821429458828917,3.3027575456485825,best_of_10_hashes_per_world,4,0.36363636363636365,0.45454545454545453,alt,0.36363636363636365,B_10000_hidden_fake
6.674260725345173,6.674260725345173,2.420620879868187,best_of_10_hashes_per_world,5,0.36363636363636365,0.45454545454545453,alt,0.36363636363636365,B_10000_hidden_fake
6.992466334653276,6.992466334653276,2.0369054432844993,best_of_10_hashes_per_world,6,0.36363636363636365,0.45454545454545453,alt,0.36363636363636365,B_10000_hidden_fake
6.0446843987082195,6.0446843987082195,0.4812777718251484,best_of_10_hashes_per_world,8,0.36363636363636365,0.45454545454545453,alt,0.36363636363636365,B_10000_hidden_fake
6.2824644588752285,6.2824644588752285,0.7990038298797515,best_of_10_hashes_per_world,10,0.36363636363636365,0.45454545454545453,alt,0.36363636363636365,B_10000_hidden_fake
0.9972830305695379,0.9972830305695379,0.9972830305695379,behavioral_quotient_k5,2,0.0,0.4,start,0.0,B_10000_hidden_fake
1.7844886493701815,1.7844886493701815,0.9279340976724944,behavioral_quotient_k5,3,0.0,0.4,start,0.0,B_10000_hidden_fake
2.6233173692141825,2.6233173692141825,0.6670816066197524,behavioral_quotient_k5,4,0.0,0.4,start,0.0,B_10000_hidden_fake
3.3888915877384607,3.3888915877384607,0.40666699052861527,behavioral_quotient_k5,5,0.0,0.4,start,0.0,B_10000_hidden_fake
3.6992143393336336,3.6992143393336336,0.21840161459425775,behavioral_quotient_k5,6,0.0,0.4,start,0.0,B_10000_hidden_fake
0.0,0.0,0.0,behavioral_quotient_k5,8,0.0,0.4,start,0.0,B_10000_hidden_fake
0.0,0.0,0.0,behavioral_quotient_k5,10,0.0,0.4,start,0.0,B_10000_hidden_fake
0.3456552647558555,0.3456552647558555,0.3456552647558555,behavioral_quotient_k5,2,0.0,0.4,alt,0.0,B_10000_hidden_fake
0.6816385742437019,0.6816385742437019,0.5493948565587612,behavioral_quotient_k5,3,0.0,0.4,alt,0.0,B_10000_hidden_fake
1.1055587987108886,1.1055587987108886,0.6272330001461722,behavioral_quotient_k5,4,0.0,0.4,alt,0.0,B_10000_hidden_fake
1.8340119591428101,1.8340119591428101,0.6651594573419144,behavioral_quotient_k5,5,0.0,0.4,alt,0.0,B_10000_hidden_fake
2.1203735932363617,2.1203735932363617,0.6176648277097522,behavioral_quotient_k5,6,0.0,0.4,alt,0.0,B_10000_hidden_fake
2.5998213755213495,2.5998213755213495,0.20699777791900983,behavioral_quotient_k5,8,0.0,0.4,alt,0.0,B_10000_hidden_fake
3.5979591701054283,3.5979591701054283,0.4575884472540083,behavioral_quotient_k5,10,0.0,0.4,alt,0.0,B_10000_hidden_fake
1.1538975215520366,1.1538975215520366,1.1538975215520366,behavioral_quotient_k8,2,0.0,0.25,start,0.0,B_10000_hidden_fake
1.8368415600211947,1.8368415600211947,0.9551576112110213,behavioral_quotient_k8,3,0.0,0.25,start,0.0,B_10000_hidden_fake
2.7298491927141844,2.7298491927141844,0.6941715122524058,behavioral_quotient_k8,4,0.0,0.25,start,0.0,B_10000_hidden_fake
3.515833676350738,3.515833676350738,0.4219000411620885,behavioral_quotient_k8,5,0.0,0.25,start,0.0,B_10000_hidden_fake
3.6002469574034275,3.6002469574034275,0.21255858036509837,behavioral_quotient_k8,6,0.0,0.25,start,0.0,B_10000_hidden_fake
0.0,0.0,0.0,behavioral_quotient_k8,8,0.0,0.25,start,0.0,B_10000_hidden_fake
0.0,0.0,0.0,behavioral_quotient_k8,10,0.0,0.25,start,0.0,B_10000_hidden_fake
1.3782882256488698,1.3782882256488698,1.3782882256488698,behavioral_quotient_k8,2,0.0,0.25,alt,0.0,B_10000_hidden_fake
2.189498912467128,2.189498912467128,1.764717383086915,behavioral_quotient_k8,3,0.0,0.25,alt,0.0,B_10000_hidden_fake
2.9841326415958602,2.9841326415958602,1.6930320411766433,behavioral_quotient_k8,4,0.0,0.25,alt,0.0,B_10000_hidden_fake
3.962789540186285,3.962789540186285,1.4372245104347618,behavioral_quotient_k8,5,0.0,0.25,alt,0.0,B_10000_hidden_fake
3.527206885182661,3.527206885182661,1.0274753656537092,behavioral_quotient_k8,6,0.0,0.25,alt,0.0,B_10000_hidden_fake
2.5527574413600194,2.5527574413600194,0.20325054748108473,behavioral_quotient_k8,8,0.0,0.25,alt,0.0,B_10000_hidden_fake
3.9908394574395203,3.9908394574395203,0.5075549621971581,behavioral_quotient_k8,10,0.0,0.25,alt,0.0,B_10000_hidden_fake
2.0652070816898185,2.0652070816898185,2.0652070816898185,behavioral_quotient_k13,2,0.0,0.15384615384615385,start,0.0,B_10000_hidden_fake
2.819909959514426,2.819909959514426,1.4663531789475017,behavioral_quotient_k13,3,0.0,0.15384615384615385,start,0.0,B_10000_hidden_fake
3.8104888680815083,3.8104888680815083,0.9689666473286551,behavioral_quotient_k13,4,0.0,0.15384615384615385,start,0.0,B_10000_hidden_fake
4.49855096572576,4.49855096572576,0.5398261158870912,behavioral_quotient_k13,5,0.0,0.15384615384615385,start,0.0,B_10000_hidden_fake
4.003441530581218,4.003441530581218,0.2363631879655151,behavioral_quotient_k13,6,0.0,0.15384615384615385,start,0.0,B_10000_hidden_fake
0.0,0.0,0.0,behavioral_quotient_k13,8,0.0,0.15384615384615385,start,0.0,B_10000_hidden_fake
0.0,0.0,0.0,behavioral_quotient_k13,10,0.0,0.15384615384615385,start,0.0,B_10000_hidden_fake
1.8258426063575515,1.8258426063575515,1.8258426063575515,behavioral_quotient_k13,2,0.0,0.15384615384615385,alt,0.0,B_10000_hidden_fake
2.696902138261379,2.696902138261379,2.1736800401108116,behavioral_quotient_k13,3,0.0,0.15384615384615385,alt,0.0,B_10000_hidden_fake
3.5897636671326114,3.5897636671326114,2.0366336348430862,behavioral_quotient_k13,4,0.0,0.15384615384615385,alt,0.0,B_10000_hidden_fake
4.251315365568786,4.251315365568786,1.5418670567844872,behavioral_quotient_k13,5,0.0,0.15384615384615385,alt,0.0,B_10000_hidden_fake
4.549822999146885,4.549822999146885,1.3253634396514877,behavioral_quotient_k13,6,0.0,0.15384615384615385,alt,0.0,B_10000_hidden_fake
4.0688222782489065,4.0688222782489065,0.3239596297941779,behavioral_quotient_k13,8,0.0,0.15384615384615385,alt,0.0,B_10000_hidden_fake
4.980020066463005,4.980020066463005,0.6333589520527649,behavioral_quotient_k13,10,0.0,0.15384615384615385,alt,0.0,B_10000_hidden_fake
0.922918822790058,0.922918822790058,0.922918822790058,predictive_quotient_k5,2,0.0,0.4,start,0.0,B_10000_hidden_fake
1.6174203348334202,1.6174203348334202,0.8410585741133785,predictive_quotient_k5,3,0.0,0.4,start,0.0,B_10000_hidden_fake
2.2373881632867,2.2373881632867,0.5689439288256588,predictive_quotient_k5,4,0.0,0.4,start,0.0,B_10000_hidden_fake
2.5200131540439465,2.5200131540439465,0.30240157848527355,predictive_quotient_k5,5,0.0,0.4,start,0.0,B_10000_hidden_fake
2.517305629359054,2.517305629359054,0.14862172435735857,predictive_quotient_k5,6,0.0,0.4,start,0.0,B_10000_hidden_fake
0.0,0.0,0.0,predictive_quotient_k5,8,0.0,0.4,start,0.0,B_10000_hidden_fake
0.0,0.0,0.0,predictive_quotient_k5,10,0.0,0.4,start,0.0,B_10000_hidden_fake
1.202189433014067,1.202189433014067,1.202189433014067,predictive_quotient_k5,2,0.0,0.4,alt,0.0,B_10000_hidden_fake
1.7824778985130083,1.7824778985130083,1.4366619296146215,predictive_quotient_k5,3,0.0,0.4,alt,0.0,B_10000_hidden_fake
2.3878627909654857,2.3878627909654857,1.3547414611155069,predictive_quotient_k5,4,0.0,0.4,alt,0.0,B_10000_hidden_fake
3.1524544021687335,3.1524544021687335,1.1433321625785562,predictive_quotient_k5,5,0.0,0.4,alt,0.0,B_10000_hidden_fake
3.014680074382334,3.014680074382334,0.8781763056675739,predictive_quotient_k5,6,0.0,0.4,alt,0.0,B_10000_hidden_fake
2.5166092235026443,2.5166092235026443,0.20037242637528052,predictive_quotient_k5,8,0.0,0.4,alt,0.0,B_10000_hidden_fake
3.3408148620793843,3.3408148620793843,0.42488483415925604,predictive_quotient_k5,10,0.0,0.4,alt,0.0,B_10000_hidden_fake
1.6158087557026195,1.6158087557026195,1.6158087557026195,predictive_quotient_k8,2,0.0,0.25,start,0.0,B_10000_hidden_fake
2.195023577500072,2.195023577500072,1.1414122603000376,predictive_quotient_k8,3,0.0,0.25,start,0.0,B_10000_hidden_fake
2.980529280528093,2.980529280528093,0.7579167829119657,predictive_quotient_k8,4,0.0,0.25,start,0.0,B_10000_hidden_fake
3.6550150234693373,3.6550150234693373,0.43860180281632044,predictive_quotient_k8,5,0.0,0.25,start,0.0,B_10000_hidden_fake
3.41069332235176,3.41069332235176,0.20136733375164792,predictive_quotient_k8,6,0.0,0.25,start,0.0,B_10000_hidden_fake
0.0,0.0,0.0,predictive_quotient_k8,8,0.0,0.25,start,0.0,B_10000_hidden_fake
0.0,0.0,0.0,predictive_quotient_k8,10,0.0,0.25,start,0.0,B_10000_hidden_fake
1.789457686884237,1.789457686884237,1.789457686884237,predictive_quotient_k8,2,0.0,0.25,alt,0.0,B_10000_hidden_fake
2.757692095465821,2.757692095465821,2.222676225304121,predictive_quotient_k8,3,0.0,0.25,alt,0.0,B_10000_hidden_fake
3.604359583430441,3.604359583430441,2.0449145515885774,predictive_quotient_k8,4,0.0,0.25,alt,0.0,B_10000_hidden_fake
4.3211194714034535,4.3211194714034535,1.5671836098886045,predictive_quotient_k8,5,0.0,0.25,alt,0.0,B_10000_hidden_fake
3.928288202050852,3.928288202050852,1.1443103532574133,predictive_quotient_k8,6,0.0,0.25,alt,0.0,B_10000_hidden_fake
2.9762120803690464,2.9762120803690464,0.23696600583898347,predictive_quotient_k8,8,0.0,0.25,alt,0.0,B_10000_hidden_fake
3.889958788936516,3.889958788936516,0.49472495877694606,predictive_quotient_k8,10,0.0,0.25,alt,0.0,B_10000_hidden_fake
2.175390398298185,2.175390398298185,2.175390398298185,predictive_quotient_k13,2,0.0,0.15384615384615385,start,0.0,B_10000_hidden_fake
2.873464938095011,2.873464938095011,1.4942017678094057,predictive_quotient_k13,3,0.0,0.15384615384615385,start,0.0,B_10000_hidden_fake
3.8909791802361724,3.8909791802361724,0.9894344745841666,predictive_quotient_k13,4,0.0,0.15384615384615385,start,0.0,B_10000_hidden_fake
4.673438294880671,4.673438294880671,0.5608125953856805,predictive_quotient_k13,5,0.0,0.15384615384615385,start,0.0,B_10000_hidden_fake
4.763303322488639,4.763303322488639,0.28122542815972923,predictive_quotient_k13,6,0.0,0.15384615384615385,start,0.0,B_10000_hidden_fake
0.0,0.0,0.0,predictive_quotient_k13,8,0.0,0.15384615384615385,start,0.0,B_10000_hidden_fake
0.0,0.0,0.0,predictive_quotient_k13,10,0.0,0.15384615384615385,start,0.0,B_10000_hidden_fake
2.1761686419000594,2.1761686419000594,2.1761686419000594,predictive_quotient_k13,2,0.0,0.15384615384615385,alt,0.0,B_10000_hidden_fake
3.2828079055235615,3.2828079055235615,2.645915073638819,predictive_quotient_k13,3,0.0,0.15384615384615385,alt,0.0,B_10000_hidden_fake
4.311481787006317,4.311481787006317,2.4460966341119468,predictive_quotient_k13,4,0.0,0.15384615384615385,alt,0.0,B_10000_hidden_fake
5.11779179707697,5.11779179707697,1.8561207289638755,predictive_quotient_k13,5,0.0,0.15384615384615385,alt,0.0,B_10000_hidden_fake
5.00699613494257,5.00699613494257,1.4585379741087707,predictive_quotient_k13,6,0.0,0.15384615384615385,alt,0.0,B_10000_hidden_fake
4.269905730426722,4.269905730426722,0.3399698942565756,predictive_quotient_k13,8,0.0,0.15384615384615385,alt,0.0,B_10000_hidden_fake
5.096958653470508,5.096958653470508,0.6482312015483791,predictive_quotient_k13,10,0.0,0.15384615384615385,alt,0.0,B_10000_hidden_fake
1.7341616943257452,1.7341616943257452,1.7341616943257452,viability_signature,2,0.0,0.11764705882352941,start,0.0,B_10000_hidden_fake
2.3218986806975574,2.3218986806975574,1.20738731396273,viability_signature,3,0.0,0.11764705882352941,start,0.0,B_10000_hidden_fake
3.178331273604521,3.178331273604521,0.8082157184820598,viability_signature,4,0.0,0.11764705882352941,start,0.0,B_10000_hidden_fake
3.6021421028312375,3.6021421028312375,0.4322570523397485,viability_signature,5,0.0,0.11764705882352941,start,0.0,B_10000_hidden_fake
3.766378707357203,3.766378707357203,0.22236699888236927,viability_signature,6,0.0,0.11764705882352941,start,0.0,B_10000_hidden_fake
0.0,0.0,0.0,viability_signature,8,0.0,0.11764705882352941,start,0.0,B_10000_hidden_fake
0.0,0.0,0.0,viability_signature,10,0.0,0.11764705882352941,start,0.0,B_10000_hidden_fake
2.080160974894706,2.080160974894706,2.080160974894706,viability_signature,2,0.0,0.11764705882352941,alt,0.0,B_10000_hidden_fake
2.880914386324693,2.880914386324693,2.321992337051999,viability_signature,3,0.0,0.11764705882352941,alt,0.0,B_10000_hidden_fake
3.817712373704994,3.817712373704994,2.1659591408854153,viability_signature,4,0.0,0.11764705882352941,alt,0.0,B_10000_hidden_fake
4.239445901181656,4.239445901181656,1.537562239440563,viability_signature,5,0.0,0.11764705882352941,alt,0.0,B_10000_hidden_fake
4.3550323902281285,4.3550323902281285,1.2686209352734539,viability_signature,6,0.0,0.11764705882352941,alt,0.0,B_10000_hidden_fake
2.891488327047296,2.891488327047296,0.2302203005995057,viability_signature,8,0.0,0.11764705882352941,alt,0.0,B_10000_hidden_fake
4.452673735841653,4.452673735841653,0.5662910457243414,viability_signature,10,0.0,0.11764705882352941,alt,0.0,B_10000_hidden_fake
2.6777067335342513,2.6777067335342513,2.6777067335342513,identity,2,0.0,0.0,start,0.0,B_10007_hidden_fake
3.7193797598873792,3.7193797598873792,1.6490916017926767,identity,3,0.0,0.0,start,0.0,B_10007_hidden_fake
5.096648349915746,5.096648349915746,1.066078416059547,identity,4,0.0,0.0,start,0.0,B_10007_hidden_fake
6.09285482739231,6.09285482739231,0.6398716139727404,identity,5,0.0,0.0,start,0.0,B_10007_hidden_fake
6.236472520492433,6.236472520492433,0.3543563686143801,identity,6,0.0,0.0,start,0.0,B_10007_hidden_fake
5.4846665705317825,5.4846665705317825,0.07546901201051733,identity,8,0.0,0.0,start,0.0,B_10007_hidden_fake
0.0,0.0,0.0,identity,10,0.0,0.0,start,0.0,B_10007_hidden_fake
3.1113928720870563,3.1113928720870563,3.1113928720870563,identity,2,0.0,0.0,alt,0.0,B_10007_hidden_fake
4.212642667365265,4.212642667365265,2.8695594097801806,identity,3,0.0,0.0,alt,0.0,B_10007_hidden_fake
5.62755793965065,5.62755793965065,2.1941804731685495,identity,4,0.0,0.0,alt,0.0,B_10007_hidden_fake
6.207151703811866,6.207151703811866,1.5483119209988319,identity,5,0.0,0.0,alt,0.0,B_10007_hidden_fake
6.681320682453105,6.681320682453105,1.1582737535100702,identity,6,0.0,0.0,alt,0.0,B_10007_hidden_fake
