candidate_C,collapse_ratio,condition,early,early_to_late_delta,family,late,metric,mid,start_state
identity,0.0,reversible,0.18656,-0.18656,A,0.0,p_viable,0.041573717333333336,start
identity,0.0,reversible,2.3147852616777396,-2.3147852616777396,A,0.0,H_cond_viable,4.627077155095029,start
identity,0.0,reversible,0.4105720987912857,-0.4105720987912857,A,0.0,H_viability_weighted,0.17774431330634077,start
identity,0.0,reversible,2.3107584389078006,-2.3107584389078006,A,0.0,H_recoverability_weighted,4.612129988448939,start
all_one,0.0,reversible,0.18656,-0.18656,A,0.0,p_viable,0.041573717333333336,start
all_one,0.0,reversible,0.0,0.0,A,0.0,H_cond_viable,0.0,start
all_one,0.0,reversible,0.0,0.0,A,0.0,H_viability_weighted,0.0,start
all_one,0.0,reversible,0.0,0.0,A,0.0,H_recoverability_weighted,0.0,start
random_k,0.0,reversible,0.18656,-0.18656,A,0.0,p_viable,0.041573717333333336,start
random_k,0.0,reversible,2.176180426510302,-2.176180426510302,A,0.0,H_cond_viable,4.35316273064512,start
random_k,0.0,reversible,0.3858622324708919,-0.3858622324708919,A,0.0,H_viability_weighted,0.16698663157297672,start
random_k,0.0,reversible,2.173136764792803,-2.173136764792803,A,0.0,H_recoverability_weighted,4.339586141944763,start
checkerboard,0.0,reversible,0.18656,-0.18656,A,0.0,p_viable,0.041573717333333336,start
checkerboard,0.0,reversible,1.558880682348024,-1.558880682348024,A,0.0,H_cond_viable,3.200172502252622,start
checkerboard,0.0,reversible,0.2786429358288711,-0.2786429358288711,A,0.0,H_viability_weighted,0.11948922684733251,start
checkerboard,0.0,reversible,1.5876852298511446,-1.5876852298511446,A,0.0,H_recoverability_weighted,3.2489017071331436,start
trap_mixing_adversarial,0.0,reversible,0.18656,-0.18656,A,0.0,p_viable,0.041573717333333336,start
trap_mixing_adversarial,0.0,reversible,2.0400761960343923,-2.0400761960343923,A,0.0,H_cond_viable,4.0010368329727735,start
trap_mixing_adversarial,0.0,reversible,0.36195852016576274,-0.36195852016576274,A,0.0,H_viability_weighted,0.15281309977680382,start
trap_mixing_adversarial,0.0,reversible,2.045787694155881,-2.045787694155881,A,0.0,H_recoverability_weighted,4.012773776197147,start
hash_k34_s1206,0.0,reversible,0.18656,-0.18656,A,0.0,p_viable,0.041573717333333336,start
hash_k34_s1206,0.0,reversible,2.3147852616777396,-2.3147852616777396,A,0.0,H_cond_viable,4.627077155095029,start
hash_k34_s1206,0.0,reversible,0.4105720987912857,-0.4105720987912857,A,0.0,H_viability_weighted,0.17774431330634077,start
hash_k34_s1206,0.0,reversible,2.3107584389078006,-2.3107584389078006,A,0.0,H_recoverability_weighted,4.612129988448939,start
best_of_10_hashes_per_world,0.0,reversible,0.18656,-0.18656,A,0.0,p_viable,0.041573717333333336,start
best_of_10_hashes_per_world,0.0,reversible,2.3121975122036487,-2.3121975122036487,A,0.0,H_cond_viable,4.613925571723835,start
best_of_10_hashes_per_world,0.0,reversible,0.4101728460152832,-0.4101728460152832,A,0.0,H_viability_weighted,0.1772958054044792,start
best_of_10_hashes_per_world,0.0,reversible,2.308468729450306,-2.308468729450306,A,0.0,H_recoverability_weighted,4.5991606087400445,start
behavioral_quotient_k5,0.0,reversible,0.18656,-0.18656,A,0.0,p_viable,0.041573717333333336,start
behavioral_quotient_k5,0.0,reversible,1.2042974157831865,-1.2042974157831865,A,0.0,H_cond_viable,2.5234222507486477,start
behavioral_quotient_k5,0.0,reversible,0.21591154408960683,-0.21591154408960683,A,0.0,H_viability_weighted,0.09481518241285417,start
behavioral_quotient_k5,0.0,reversible,1.211856812032287,-1.211856812032287,A,0.0,H_recoverability_weighted,2.552670838921928,start
