point_id,T,seed,lineage_survival_depth,lineage_branching_entropy,lineage_merge_rate,lineage_extinction_rate
phase_000,50,0,0.2512966804979253,1.9999418183670508,0.0,0.7487033195020747
phase_000,50,1,0.2516008999653859,1.9999446747133245,0.0,0.7483991000346141
phase_000,50,2,0.251695570054945,1.9999171818920052,0.0,0.748304429945055
phase_000,50,3,0.2519110493398193,1.9999649202169083,0.0,0.7480889506601807
phase_000,50,10,0.244847592656737,1.9999346942802885,0.0,0.7551524073432629
phase_000,50,4,0.2518375994465582,1.999935041076672,0.0,0.7481624005534417
phase_000,50,5,0.2495466321243523,1.9999336845489453,0.0,0.7504533678756476
phase_000,50,8,0.252078281953585,1.9999265881226904,0.0,0.7479217180464149
phase_000,50,9,0.2522074099722992,1.999945819007756,0.0,0.7477925900277008
phase_000,50,7,0.2509499136442141,1.9999491047604347,0.0,0.7490500863557858
phase_000,50,17,0.2533543975069252,1.9999531731258569,0.0,0.7466456024930748
phase_000,50,6,0.2513572905894519,1.9999350880996931,0.0,0.7486427094105481
phase_000,50,12,0.2484261814418765,1.9999502161102167,0.0,0.7515738185581236
phase_000,50,11,0.2510334137099552,1.999940019603243,0.0,0.7489665862900448
phase_000,50,15,0.2501298476454293,1.999947967756188,0.0,0.7498701523545707
phase_000,50,16,0.2534769917582417,1.9999191557490388,0.0,0.7465230082417582
phase_000,50,13,0.2503019323671497,1.9999445334689252,0.0,0.7496980676328502
phase_000,50,14,0.2494827586206896,1.9999345512848112,0.0,0.7505172413793103
phase_000,50,18,0.2470382220684884,1.999926407058436,0.0,0.7529617779315116
phase_000,50,20,0.2528663793103448,1.9999446212431693,0.0,0.7471336206896552
phase_000,50,22,0.2497614503816793,1.999941425817887,0.0,0.7502385496183206
phase_000,50,21,0.2496096460791117,1.9999487842554535,0.0,0.7503903539208883
phase_000,50,19,0.2516169368747844,1.999954449529252,0.0,0.7483830631252155
phase_000,50,26,0.2513002773925104,1.999966846914356,0.0,0.7486997226074896
phase_000,50,28,0.2510801935706879,1.9999453579417088,0.0,0.7489198064293121
phase_000,50,27,0.2501720578114246,1.9999561219356352,0.0,0.7498279421885754
phase_000,50,24,0.2499570003439972,1.9999373447108115,0.0,0.7500429996560027
phase_000,50,25,0.2504950068870523,1.9999341267022368,0.0,0.7495049931129476
phase_000,50,29,0.2535102739726027,1.9999556168480903,0.0,0.7464897260273973
phase_000,50,23,0.2497838865836791,1.999935795772136,0.0,0.7502161134163209
phase_000,100,1,0.2524271844660194,1.9999346093883743,0.0,0.7475728155339806
phase_000,100,0,0.2495736086175942,1.9999268724911692,0.0,0.7504263913824057
