point_id,T,metric,mean,ci_low,ci_high,n_seeds
collapse_attractor_control,50,p_viable,0.0,0.0,0.0,30
collapse_attractor_control,50,relation_lineage_excess,0.0,0.0,0.0,30
collapse_attractor_control,50,closure_rate,0.0,0.0,0.0,30
collapse_attractor_control,50,recoverable_alternative_count,0.0,0.0,0.0,30
collapse_attractor_control,50,lock_in_index,1.0,1.0,1.0,30
collapse_attractor_control,100,p_viable,0.0,0.0,0.0,30
collapse_attractor_control,100,relation_lineage_excess,0.0,0.0,0.0,30
collapse_attractor_control,100,closure_rate,0.0,0.0,0.0,30
collapse_attractor_control,100,recoverable_alternative_count,0.0,0.0,0.0,30
collapse_attractor_control,100,lock_in_index,1.0,1.0,1.0,30
independent_sites_control,50,p_viable,0.9962444444444445,0.9959163888888889,0.9965841666666665,30
independent_sites_control,50,relation_lineage_excess,0.0,0.0,0.0,30
independent_sites_control,50,closure_rate,0.23885148965129252,0.23825985192491664,0.23937069461828847,30
independent_sites_control,50,recoverable_alternative_count,2988.733333333333,2987.633333333333,2989.5666666666666,30
independent_sites_control,50,lock_in_index,9.249563809226171e-06,9.24539481015739e-06,9.253113967194668e-06,30
independent_sites_control,100,p_viable,0.9917666666666667,0.9913052777777779,0.9923736111111111,30
independent_sites_control,100,relation_lineage_excess,0.0,0.0,0.0,30
independent_sites_control,100,closure_rate,0.25019886427850235,0.2495276760863311,0.2509062314100477,30
independent_sites_control,100,recoverable_alternative_count,2975.3,2973.6316666666667,2976.6400000000003,30
independent_sites_control,100,lock_in_index,9.284093025422041e-06,9.27981109134796e-06,9.288730479839628e-06,30
noise_rich_control,50,p_viable,1.0,1.0,1.0,30
noise_rich_control,50,relation_lineage_excess,-0.017868861111111037,-0.017945616666666598,-0.01778310833333327,30
noise_rich_control,50,closure_rate,0.24960694444444442,0.24905220486111107,0.25022322916666667,30
noise_rich_control,50,recoverable_alternative_count,3000.0,3000.0,3000.0,30
noise_rich_control,50,lock_in_index,3.144458766382605e-07,3.135105545135636e-07,3.1561336838209724e-07,30
noise_rich_control,100,p_viable,1.0,1.0,1.0,30
noise_rich_control,100,relation_lineage_excess,-0.017955249999999957,-0.01801799583333329,-0.017882180034722184,30
noise_rich_control,100,closure_rate,0.24997708333333332,0.24934706597222214,0.25065763888888887,30
noise_rich_control,100,recoverable_alternative_count,3000.0,3000.0,3000.0,30
noise_rich_control,100,lock_in_index,3.146737962185689e-07,3.137844045226217e-07,3.154160774240338e-07,30
phase_000,50,p_viable,0.9651444444444446,0.9639158333333336,0.9663794444444446,30
phase_000,50,relation_lineage_excess,0.0,0.0,0.0,30
phase_000,50,closure_rate,0.2500314497746652,0.24945564945060597,0.2505720486040952,30
phase_000,50,recoverable_alternative_count,2895.4333333333334,2891.1158333333333,2898.8733333333334,30
phase_000,50,lock_in_index,6.066417974109093e-07,5.844906414757666e-07,6.268615017217545e-07,30
phase_000,100,p_viable,0.928911111111111,0.9277188888888889,0.9301022222222222,30
phase_000,100,relation_lineage_excess,0.0,0.0,0.0,30
phase_000,100,closure_rate,0.24973211692958627,0.24909874059168693,0.2503216190481367,30
phase_000,100,recoverable_alternative_count,2786.733333333333,2783.0666666666666,2789.903333333333,30
phase_000,100,lock_in_index,5.43723563778742e-07,5.32877303268562e-07,5.598430075794085e-07,30
phase_001,50,p_viable,0.9343333333333332,0.932903611111111,0.9356291666666666,30
phase_001,50,relation_lineage_excess,0.0,0.0,0.0,30
phase_001,50,closure_rate,0.248741819743338,0.24789514689035028,0.24965344540601017,30
phase_001,50,recoverable_alternative_count,2803.0,2797.8983333333335,2807.175,30
phase_001,50,lock_in_index,6.667866989571686e-07,6.482359665486524e-07,6.897137377418982e-07,30
phase_001,100,p_viable,0.8687444444444442,0.8666552777777777,0.8704566666666665,30
phase_001,100,relation_lineage_excess,0.0,0.0,0.0,30
phase_001,100,closure_rate,0.249627108229098,0.2490489758807518,0.2501742501944478,30
phase_001,100,recoverable_alternative_count,2606.233333333333,2600.0550000000003,2611.4366666666665,30
phase_001,100,lock_in_index,6.377754443692719e-07,6.204977632893203e-07,6.529859202971784e-07,30
phase_002,50,p_viable,0.8780444444444445,0.8754119444444446,0.8808811111111111,30
phase_002,50,relation_lineage_excess,2.7967605816507184e-05,2.4234250869203204e-05,3.1794524588672856e-05,30
phase_002,50,closure_rate,0.2484930121681373,0.24768600920543435,0.24935607070027815,30
phase_002,50,recoverable_alternative_count,2634.133333333333,2627.896666666667,2642.116666666667,30
phase_002,50,lock_in_index,5.789676729293771e-07,5.545963294831219e-07,6.003669059658424e-07,30
phase_002,100,p_viable,0.7618222222222221,0.7593372222222223,0.7640122222222222,30
phase_002,100,relation_lineage_excess,1.8698346391055053e-05,1.6581544357554173e-05,2.0496966450034755e-05,30
phase_002,100,closure_rate,0.24965792645754772,0.24900224725856168,0.250444230427734,30
phase_002,100,recoverable_alternative_count,2285.4666666666667,2278.7599999999998,2292.4225,30
phase_002,100,lock_in_index,5.833113347849404e-07,5.668259475593463e-07,6.01345219565331e-07,30
phase_003,50,p_viable,0.7091111111111114,0.7035925000000001,0.7143761111111112,30
phase_003,50,relation_lineage_excess,0.00210571037748105,0.002049381082047534,0.0021625729367337563,30
phase_003,50,closure_rate,0.25625509143520403,0.255514999376917,0.25692713407814227,30
phase_003,50,recoverable_alternative_count,2127.3,2108.695,2145.0,30
phase_003,50,lock_in_index,6.891150611405495e-07,6.417339872926538e-07,7.449036089698254e-07,30
