point_id,T,p_viable,collapse_rate,recoverable_alternative_count,lock_in_index,classification,estimator_warning
collapse_attractor_control,50,0.0,0.0,0.0,1.0,underconstrained,LOW_VIABILITY
collapse_attractor_control,100,0.0,0.0,0.0,1.0,underconstrained,LOW_VIABILITY
independent_sites_control,50,0.9962444444444445,0.0,2988.733333333333,9.249563809226171e-06,mixed_or_inconclusive,
independent_sites_control,100,0.9917666666666667,0.0,2975.3,9.284093025422041e-06,mixed_or_inconclusive,
noise_rich_control,50,1.0,0.0,3000.0,3.144458766382605e-07,mixed_or_inconclusive,
noise_rich_control,100,1.0,0.0,3000.0,3.1467379621856897e-07,mixed_or_inconclusive,
phase_000,50,0.9651444444444445,0.0,2895.4333333333334,6.066417974109093e-07,mixed_or_inconclusive,
phase_000,100,0.928911111111111,0.0,2786.733333333333,5.437235637787421e-07,mixed_or_inconclusive,
phase_001,50,0.9343333333333333,1.1111111111106668e-05,2803.0,6.667866989571686e-07,mixed_or_inconclusive,
phase_001,100,0.8687444444444445,2.2222222222213336e-05,2606.233333333333,6.37775444369272e-07,mixed_or_inconclusive,
phase_002,50,0.8780444444444445,1.1111111111106668e-05,2634.133333333333,5.789676729293771e-07,viable_slack_candidate,
phase_002,100,0.7618222222222222,4.4444444444436674e-05,2285.4666666666667,5.833113347849405e-07,viable_slack_candidate,
phase_003,50,0.7091111111111111,0.00043333333333327336,2127.3,6.891150611405495e-07,viable_slack_candidate,
phase_003,100,0.4807777777777778,0.0009111111111110733,1442.3333333333333,8.376600055918002e-07,viable_slack_candidate,
phase_004,50,0.9521111111111111,0.0,2856.3333333333335,3.544748739298444e-07,viable_slack_candidate,
phase_004,100,0.9050999999999999,0.0,2715.3,3.003163988863775e-07,viable_slack_candidate,
phase_005,50,0.8220666666666666,4.444444444442667e-05,2466.2,5.29991503431915e-07,viable_slack_candidate,
phase_005,100,0.6706666666666667,0.00012222222222217334,2012.0,5.529576980886297e-07,viable_slack_candidate,
phase_006,50,0.2515111111111111,0.017699999999999997,754.5333333333333,2.2830022476332344e-06,viable_slack_candidate,
phase_006,100,0.0549444444444444,0.04194444444444441,164.83333333333334,1.2757550373332639e-05,viable_slack_candidate,
phase_007,50,0.8749888888888889,1.1111111111106668e-05,2624.9666666666667,4.335200930647339e-07,viable_slack_candidate,
phase_007,100,0.7596777777777778,0.0,2279.0333333333333,4.479130814417148e-07,viable_slack_candidate,
phase_008,50,0.617211111111111,0.0008888888888888666,1851.6,8.127947338811264e-07,viable_slack_candidate,
phase_008,100,0.3629222222222222,0.0019888888888888435,1088.7666666666667,1.1510170213107144e-06,viable_slack_candidate,
phase_009,50,0.7101000000000001,0.00026666666666663665,2130.266666666667,7.243881364253763e-07,viable_slack_candidate,
phase_009,100,0.48956666666666665,0.0006111111111110833,1468.7,7.382536234330703e-07,viable_slack_candidate,
phase_010,50,0.9322111111111112,0.0,2796.633333333333,3.5135761142077e-07,viable_slack_candidate,
phase_010,100,0.865111111111111,2.2222222222213336e-05,2595.3333333333335,2.871560869863727e-07,viable_slack_candidate,
phase_011,50,0.8780222222222223,2.2222222222213336e-05,2634.0333333333333,4.318229928490394e-07,viable_slack_candidate,
phase_011,100,0.7631111111111112,3.333333333333e-05,2289.3333333333335,3.7349894885732826e-07,viable_slack_candidate,
phase_012,50,0.7622666666666666,0.00011111111111108667,2286.766666666667,6.666119815050513e-07,viable_slack_candidate,
phase_012,100,0.5777222222222222,0.0002555555555555034,1733.1666666666667,6.116448836011244e-07,viable_slack_candidate,
phase_013,50,0.5387333333333333,0.00143333333333328,1616.1333333333334,1.0964492548918452e-06,viable_slack_candidate,
phase_013,100,0.25618888888888885,0.0032888888888888733,768.5666666666667,1.6675831047261491e-06,viable_slack_candidate,
phase_014,50,0.19545555555555552,0.024244444444444423,586.3,4.249594584544786e-06,viable_slack_candidate,
phase_014,100,0.027677777777777753,0.05898888888888884,83.03333333333333,4.112218601384076e-05,mixed_or_inconclusive,
phase_015,50,0.8010555555555555,4.444444444442667e-05,2403.1666666666665,5.797847157574475e-07,viable_slack_candidate,
phase_015,100,0.6128111111111111,0.00015555555555552334,1838.4333333333334,5.247088778580775e-07,viable_slack_candidate,
phase_016,50,0.8189,2.2222222222213336e-05,2456.7,4.912824237349958e-07,viable_slack_candidate,
phase_016,100,0.6672444444444444,5.555555555553333e-05,2001.7333333333333,4.300468442892283e-07,viable_slack_candidate,
phase_017,50,0.9937,0.0,2981.1,2.708502509364814e-06,viable_slack_candidate,
phase_017,100,0.9882000000000001,0.0,2964.6,2.496071622716901e-06,viable_slack_candidate,
phase_018,50,0.9882111111111112,0.0,2964.633333333333,5.073766730765122e-06,viable_slack_candidate,
phase_018,100,0.9766888888888889,0.0,2930.0666666666666,4.825601653645765e-06,viable_slack_candidate,
random_stepwise_relation_control,50,0.9335,2.2222222222213336e-05,2800.5,6.631244277095578e-07,mixed_or_inconclusive,
random_stepwise_relation_control,100,0.8688111111111111,2.2222222222213336e-05,2606.4333333333334,6.425236777222652e-07,mixed_or_inconclusive,
relation_lock_in_control,50,0.9853000000000001,1.1111111111106668e-05,2955.9,6.058100504857527e-06,viable_slack_candidate,
relation_lock_in_control,100,0.9662222222222223,0.0,2898.633333333333,6.117674606035747e-06,viable_slack_candidate,
symmetric_transition_control,50,0.617211111111111,0.0008888888888888666,1851.6,8.127947338811264e-07,viable_slack_candidate,
symmetric_transition_control,100,0.3629222222222222,0.0019888888888888435,1088.7666666666667,1.1510170213107144e-06,viable_slack_candidate,
