world,T,n_sites,seed,lineage_survival_depth,lineage_branching_entropy,lineage_merge_rate,lineage_extinction_rate
W1_distinction_only,100,16,13,0.544938627254509,1.2793501492209582,0.0,0.4550613727454909
W1_distinction_only,100,16,12,0.5470905388471178,1.2792542991399527,0.0,0.4529094611528822
W1_distinction_only,100,16,16,0.5469643304914744,1.278493368342792,0.0,0.4530356695085256
W2_asymmetry_only,50,16,1,0.5179158316633266,1.6714332443118705,0.0,0.4820841683366734
W2_asymmetry_only,50,16,2,0.5205218749999999,1.6725196928294874,0.0,0.4794781250000001
W2_asymmetry_only,50,16,0,0.5188957707707708,1.671862688287678,0.0,0.4811042292292292
W2_asymmetry_only,50,16,3,0.5176095941883767,1.6716628929685442,0.0,0.4823904058116233
W1_distinction_only,100,16,17,0.5461184210526315,1.2795605585420708,0.0,0.4538815789473684
W1_distinction_only,100,16,19,0.5456997996995494,1.280440051014664,0.0,0.4543002003004506
W1_distinction_only,100,16,18,0.5486833375062594,1.2789609253773455,0.0,0.4513166624937406
W2_asymmetry_only,50,16,4,0.5188100600600601,1.6717680601150524,0.0,0.4811899399399398
W2_asymmetry_only,50,16,5,0.5188137818909455,1.6718196393489255,0.0,0.4811862181090545
W2_asymmetry_only,50,16,7,0.5188420130195294,1.6723724904483617,0.0,0.4811579869804706
W2_asymmetry_only,50,16,6,0.5182055137844612,1.671970284738789,0.0,0.4817944862155388
W2_asymmetry_only,50,16,8,0.518328953953954,1.671999664611567,0.0,0.481671046046046
W2_asymmetry_only,50,16,9,0.5182738095238095,1.6717405563838732,0.0,0.4817261904761905
W2_asymmetry_only,50,16,10,0.5190086422845691,1.6717506061335052,0.0,0.4809913577154309
W2_asymmetry_only,50,16,11,0.5185180090045023,1.672723580837565,0.0,0.4814819909954977
W2_asymmetry_only,50,16,12,0.5195423771313942,1.6718404630910368,0.0,0.4804576228686058
W2_asymmetry_only,50,16,13,0.51935875,1.671089215936851,0.0,0.48064125
W2_asymmetry_only,50,16,14,0.5179127063531767,1.6724568196842988,0.0,0.4820872936468233
W2_asymmetry_only,50,16,15,0.5191660401002507,1.6716322080508976,0.0,0.4808339598997493
W2_asymmetry_only,50,16,17,0.5192742742742743,1.6725354759289082,0.0,0.4807257257257257
W2_asymmetry_only,50,16,16,0.5188570891783567,1.670579564664038,0.0,0.4811429108216433
W2_asymmetry_only,50,16,18,0.5178533016508253,1.6719157647622247,0.0,0.4821466983491747
W2_asymmetry_only,50,16,19,0.5175432330827068,1.672047546585352,0.0,0.4824567669172932
W2_asymmetry_only,100,16,1,0.5099011671686747,1.671874004018035,0.0,0.4900988328313252
W2_asymmetry_only,100,16,0,0.508734962406015,1.6716665583630244,0.0,0.491265037593985
W2_asymmetry_only,100,16,3,0.5092490577889448,1.6725211187211144,0.0,0.4907509422110552
W2_asymmetry_only,100,16,2,0.5091020331325301,1.6715311538019648,0.0,0.4908979668674699
W2_asymmetry_only,100,16,4,0.5086979689067203,1.6723663936481556,0.0,0.4913020310932797
W2_asymmetry_only,100,16,6,0.5089306322127447,1.6725259516411797,0.0,0.4910693677872553
W2_asymmetry_only,100,16,5,0.5090994488977956,1.67274176451066,0.0,0.4909005511022044
W2_asymmetry_only,100,16,7,0.5091366206030151,1.672068243099489,0.0,0.4908633793969849
W2_asymmetry_only,100,16,8,0.5101194207622867,1.6726068015280822,0.0,0.4898805792377133
W2_asymmetry_only,100,16,9,0.5091326402805612,1.6720520066783755,0.0,0.4908673597194388
W2_asymmetry_only,100,16,10,0.5086616983967935,1.671915720631478,0.0,0.4913383016032064
W2_asymmetry_only,100,16,11,0.5099771073758154,1.671640237562808,0.0,0.4900228926241846
W2_asymmetry_only,100,16,12,0.5096813848469643,1.672341003032993,0.0,0.4903186151530356
W2_asymmetry_only,100,16,13,0.5091408999497236,1.6709724320310668,0.0,0.4908591000502764
W2_asymmetry_only,100,16,14,0.5096118421052631,1.6722548643892614,0.0,0.4903881578947369
W2_asymmetry_only,100,16,15,0.5089984939759037,1.6722622958135287,0.0,0.4910015060240963
W3_relation_only,50,16,1,0.5519386075949366,1.3811968874889915,0.0,0.4480613924050634
W3_relation_only,50,16,0,0.5516361686017163,1.3803629691601855,0.0,0.4483638313982837
W3_relation_only,50,16,2,0.5515590172239109,1.3816316742110442,0.0,0.4484409827760891
W3_relation_only,50,16,3,0.551873106060606,1.3812627567323146,0.0,0.448126893939394
W2_asymmetry_only,100,16,18,0.5090422729553437,1.6716017197247326,0.0,0.4909577270446563
