world,distinction,asymmetry,relation,q,T,n_sites,seed,p_viable,viable_future_entropy,viability_weighted_richness,noncollapse_diversity,state_diversity,distinction_entropy,distinction_survival,nontrivial_future_classes,lineage_survival_depth,lineage_branching_entropy,lineage_merge_rate,lineage_extinction_rate,time_reversal_asymmetry,transition_irreversibility,future_option_gradient,asymmetric_filter_selectivity,mutual_dependence_between_sites,relation_persistence,component_coupling,network_propagation_depth,relational_nonfactorization,relational_excess,relation_shuffle_delta,structured_viable_richness,DAR_branch_score
W0_null_flat,none,symmetric,independent,1,50,16,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W0_null_flat,none,symmetric,independent,1,100,16,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W10_noise_rich_control,rich,noise,independent,4,50,16,9.5,0.028675,5.835123263118526,0.16770249394237152,0.9900375,0.9900375,1.998981444997463,1.0035208333333334,57.35,0.2507667374595174,3.983265875799501,0.0,0.7492332625404825,0.0022727277557541004,0.0011893986967269144,0.00444586063231545,0.45530414164270133,0.8138411165253412,0.0,-0.01625489719999834,0.24949632826824858,0.8138411165253412,3.8761196914378977,0.002671627888666785,0.30477400991193754,1.3716545916525504
W10_noise_rich_control,rich,noise,independent,4,100,16,9.5,0.0035499999999999998,2.6984520242987653,0.010426815597050805,0.9900062500000001,0.9900062500000001,1.9989076007271465,1.0030166666666667,7.1,0.2496013888888889,3.8713135682110176,0.0,0.7503986111111111,0.00459991319444441,0.002098958333333315,0.007049999999999961,0.45815739901259633,0.8899022287125833,0.0,-0.12002604166666667,0.2502362847222222,0.8899022287125833,1.163789266886464,0.022439236111111097,0.01973772460668291,1.1638412554025996
W11_collapse_attractor_control,low,collapse,fixed,2,50,16,9.5,0.0006000000000000001,0.4,0.0006500000000000001,0.5003,0.5003,0.00045905219184857,0.5003124999999999,1.1,0.338296875,0.2980337295919495,0.4,0.6617031250000001,0.0,0.0,0.0,0.005796875599999995,0.1369883233141756,0.486984375,-0.0578125,0.278671875,0.1369883233141756,0.3547180468885217,0.0,0.000930149397272335,0.4762153477114479
W11_collapse_attractor_control,low,collapse,fixed,2,100,16,9.5,0.0,0.0,0.0,0.5,0.5,0.0,0.5000375,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W1_distinction_only,low,symmetric,independent,2,50,16,9.5,0.999325,10.933557564609613,10.926177024104739,1.0,1.0,0.9996551509297135,1.000075,1967.55,0.5925340324444414,1.2795362260822154,0.0,0.40746596755555853,0.0,0.0,0.0,0.04841008676110464,0.3164167304705502,0.0,-0.001272513135067185,0.5023678312891056,0.3164167304705502,9.933902686207578,0.000822176941901825,14.383401292503132,15.292352055418124
W1_distinction_only,low,symmetric,independent,2,100,16,9.5,0.998325,10.933822144109143,10.9155081843227,1.0,1.0,0.9995850133807964,1.000025,1967.25,0.5467776586375633,1.279571114535592,0.0,0.45322234136243666,0.0,0.0,0.0,0.048417910652698334,0.3163536664117975,0.0,0.0006420144696602703,0.501190409683077,0.3163536664117975,9.934235269356227,0.001837205730685255,14.36866764634686,15.231798971396222
W2_asymmetry_only,low,strong,independent,2,50,16,9.5,0.998575,10.933670326611821,10.918091034912404,1.0,1.0,0.9996492002770129,1.000025,1967.25,0.5186625813457645,1.6718860229859414,0.0,0.4813374186542355,0.0,0.0,0.0,0.17631781844440927,0.31640437525643034,0.0,-0.00182424146785855,0.5000039923299082,0.31640437525643034,9.934023196464652,0.00075750739799947,14.372620042907434,15.20768699950963
W2_asymmetry_only,low,strong,independent,2,100,16,9.5,0.99665,10.92973042315615,10.893118092437307,0.9999750000000001,0.9999750000000001,0.9996843242342704,0.9999750000000001,1962.25,0.5093088242955712,1.6720622155023483,0.0,0.4906911757044288,0.0,0.0,0.0,0.17639652440551395,0.3166764519388784,0.0,0.000973742074293712,0.49998672454498516,0.3166764519388784,9.930045636412713,0.002305369022707252,14.34270803798422,15.168693314218668
