control,control_world,metric,full_DAR_value,control_value,control_rejected
noise_rich_control,W10_noise_rich_control,lineage_survival_depth,0.2677034350012585,0.25018406317420316,True
collapse_attractor_control,W11_collapse_attractor_control,lineage_survival_depth,0.2677034350012585,0.1691484375,True
relation_shuffled_control,W8_full_random_relation_control,relational_nonfactorization,0.6606544977704611,0.6634743134559647,False
symmetric_transition_control,W9_full_symmetric_control,time_reversal_asymmetry,0.04039458205291974,0.00015037945970441957,True
independent_sites_control,W1_distinction_only,relational_nonfactorization,0.6606544977704611,0.31638519844117385,True
