world,T,n_sites,seed,time_reversal_asymmetry,transition_irreversibility,future_option_gradient,asymmetric_filter_selectivity
W2_asymmetry_only,50,16,14,0.0,0.0,0.0,0.1765695357673836
W2_asymmetry_only,50,16,15,0.0,0.0,0.0,0.1762055147844611
W2_asymmetry_only,50,16,17,0.0,0.0,0.0,0.1766128638628628
W2_asymmetry_only,50,16,16,0.0,0.0,0.0,0.1757233226432865
W2_asymmetry_only,50,16,18,0.0,0.0,0.0,0.176324413206103
W2_asymmetry_only,50,16,19,0.0,0.0,0.0,0.1763890987443609
W2_asymmetry_only,100,16,1,0.0,0.0,0.0,0.1763124382489959
W2_asymmetry_only,100,16,0,0.0,0.0,0.0,0.17621992581203
W2_asymmetry_only,100,16,3,0.0,0.0,0.0,0.1766061567788944
W2_asymmetry_only,100,16,2,0.0,0.0,0.0,0.1761561882489959
W2_asymmetry_only,100,16,4,0.0,0.0,0.0,0.1765364854533601
W2_asymmetry_only,100,16,6,0.0,0.0,0.0,0.1766027982905168
W2_asymmetry_only,100,16,5,0.0,0.0,0.0,0.1767030946873747
W2_asymmetry_only,100,16,7,0.0,0.0,0.0,0.1763960437135678
W2_asymmetry_only,100,16,8,0.0,0.0,0.0,0.1766414879608826
W2_asymmetry_only,100,16,9,0.0,0.0,0.0,0.1763930996973947
W2_asymmetry_only,100,16,10,0.0,0.0,0.0,0.1763292219418837
W2_asymmetry_only,100,16,11,0.0,0.0,0.0,0.1762101741058705
W2_asymmetry_only,100,16,12,0.0,0.0,0.0,0.1765218901118916
W2_asymmetry_only,100,16,13,0.0,0.0,0.0,0.1759074922016088
W2_asymmetry_only,100,16,14,0.0,0.0,0.0,0.1764818305739348
W2_asymmetry_only,100,16,15,0.0,0.0,0.0,0.1764853172650602
W3_relation_only,50,16,1,0.0,0.0,0.0,0.0741626592278481
W3_relation_only,50,16,0,0.0,0.0,0.0,0.0739374063508329
W3_relation_only,50,16,2,0.0,0.0,0.0,0.074297113462006
W3_relation_only,50,16,3,0.0,0.0,0.0,0.0741780313030303
W2_asymmetry_only,100,16,18,0.0,0.0,0.0,0.1761822639202207
W2_asymmetry_only,100,16,17,0.0,0.0,0.0,0.1768211162882205
W2_asymmetry_only,100,16,16,0.0,0.0,0.0,0.17615215855143
W3_relation_only,50,16,5,0.0,0.0,0.0,0.0740563425866599
W3_relation_only,50,16,4,0.0,0.0,0.0,0.0738681759241658
W2_asymmetry_only,100,16,19,0.0,0.0,0.0,0.1762713042581453
W3_relation_only,50,16,7,0.0,0.0,0.0,0.07370027793857
W3_relation_only,50,16,6,0.0,0.0,0.0,0.0736408389606259
W3_relation_only,50,16,8,0.0,0.0,0.0,0.0738804467953394
W3_relation_only,50,16,9,0.0,0.0,0.0,0.0735083301267036
W3_relation_only,50,16,10,0.0,0.0,0.0,0.0735699807160243
W3_relation_only,50,16,11,0.0,0.0,0.0,0.0736479472474645
W3_relation_only,50,16,13,0.0,0.0,0.0,0.0736247479635627
W3_relation_only,50,16,12,0.0,0.0,0.0,0.0740882660480526
W3_relation_only,50,16,14,0.0,0.0,0.0,0.0738917014048583
W3_relation_only,50,16,15,0.0,0.0,0.0,0.0738876272626262
W3_relation_only,50,16,16,0.0,0.0,0.0,0.0737430424979757
W3_relation_only,50,16,17,0.0,0.0,0.0,0.0739491104147582
W3_relation_only,50,16,18,0.0,0.0,0.0,0.0743384217870837
W3_relation_only,50,16,19,0.0,0.0,0.0,0.0740508098978766
W3_relation_only,100,16,1,0.0,0.0,0.0,0.0736349114859335
W3_relation_only,100,16,0,0.0,0.0,0.0,0.0739120143196721
W3_relation_only,100,16,2,0.0,0.0,0.0,0.0735534541090723
W3_relation_only,100,16,3,0.0,0.0,0.0,0.0738138090653394
W3_relation_only,100,16,4,0.0,0.0,0.0,0.0733240821638591
W3_relation_only,100,16,5,0.0,0.0,0.0,0.0736284554524053
W3_relation_only,100,16,6,0.0,0.0,0.0,0.0734708747864077
W3_relation_only,100,16,7,0.0,0.0,0.0,0.0736014512053388
W3_relation_only,100,16,8,0.0,0.0,0.0,0.0738894191910569
W3_relation_only,100,16,9,0.0,0.0,0.0,0.0735648276190719
W3_relation_only,100,16,10,0.0,0.0,0.0,0.073788161595177
W3_relation_only,100,16,11,0.0,0.0,0.0,0.0732729432290388
W3_relation_only,100,16,12,0.0,0.0,0.0,0.0737304997212276
W3_relation_only,100,16,13,0.0,0.0,0.0,0.0738360865094726
