space,parent_rule_id,control_rule_id,control_type,output_entropy_difference,dependency_degree_difference,activity_density_difference,quiescent_preservation_match,rule_table_hamming_distance,left_right_dependency_preserved,center_dependency_preserved
q3_radius1,q3g3_s1_00043,q3g3_s1_00043_right_neighbor_removed,right_neighbor_removed,0.13492183800074975,1.0,0.18619115481212434,True,0.48148148148148145,True,True
q3_radius1,q3g3_s1_00043,q3g3_s1_00043_left_right_symmetrized_rule,left_right_symmetrized_rule,0.31353528359677907,0.0,0.20229309359644054,True,0.2222222222222222,False,True
q3_radius1,q3g3_s1_00043,q3g3_s1_00043_left_neighbor_removed,left_neighbor_removed,0.0439271036033404,1.0,0.08866479785663883,True,0.4444444444444444,True,True
q3_radius1,q3g3_s1_00043,q3g3_s1_00043_output_histogram_random,output_distribution_matched_random,0.0,0.0,0.5188120643065455,False,0.5925925925925926,True,True
q3_radius1,q3g3_s1_00045,q3g3_s1_00045_center_only_projection,center_only_projection,0.6607173732254816,2.0,0.10832661510365904,True,0.5185185185185185,False,True
q3_radius1,q3g3_s1_00045,q3g3_s1_00045_left_right_symmetrized_rule,left_right_symmetrized_rule,0.22736909212657896,0.0,0.10633013293369786,True,0.25925925925925924,False,True
q3_radius1,q3g3_s1_00045,q3g3_s1_00045_right_neighbor_removed,right_neighbor_removed,0.048520150522488814,1.0,0.010707119054961689,True,0.3333333333333333,True,True
q3_radius1,q3g3_s1_00045,q3g3_s1_00045_left_neighbor_removed,left_neighbor_removed,0.048520150522488814,1.0,0.01782966202307712,True,0.37037037037037035,True,True
q3_radius1,q3g3_s1_00045,q3g3_s1_00045_symbol_phase_only,symbol_phase_only,0.0059492934411848886,2.0,0.3359743630134726,False,0.4444444444444444,False,True
q3_radius1,q3g3_s1_00045,q3g3_s1_00045_output_histogram_random,output_distribution_matched_random,0.0,0.0,0.27322789242393086,True,0.48148148148148145,True,True
q3_radius1,q3g3_s1_00105,q3g3_s1_00105_center_only_projection,center_only_projection,0.5992329553445104,2.0,0.08604055383594267,True,0.5925925925925926,False,True
q3_radius1,q3g3_s1_00105,q3g3_s1_00105_left_neighbor_removed,left_neighbor_removed,0.08200828511633329,1.0,0.0856990504373275,True,0.37037037037037035,True,True
q3_radius1,q3g3_s1_00105,q3g3_s1_00105_left_right_symmetrized_rule,left_right_symmetrized_rule,0.06743371132215614,0.0,0.030159586509223568,True,0.18518518518518517,False,True
q3_radius1,q3g3_s1_00105,q3g3_s1_00105_right_neighbor_removed,right_neighbor_removed,0.06743371132215614,1.0,0.04899282870624189,True,0.48148148148148145,True,True
q3_radius1,q3g3_s1_00105,q3g3_s1_00105_symbol_phase_only,symbol_phase_only,0.5992329553445104,2.0,0.41298456917032167,True,0.48148148148148145,False,True
q3_radius1,q3g3_s1_00105,q3g3_s1_00105_output_histogram_random,output_distribution_matched_random,0.0,0.0,0.1469761759836693,True,0.6296296296296297,True,True
q3_radius1,q3g3_s1_00108,q3g3_s1_00108_symbol_phase_only,symbol_phase_only,1.5061046842206038,2.0,0.48445396101110705,False,0.5925925925925926,False,False
q3_radius1,q3g3_s1_00108,q3g3_s1_00108_center_only_projection,center_only_projection,0.5878088501661143,2.0,0.01457148918166723,True,0.5925925925925926,False,True
q3_radius1,q3g3_s1_00108,q3g3_s1_00108_left_neighbor_removed,left_neighbor_removed,0.024388372536878755,1.0,0.06368819268358611,True,0.4074074074074074,True,True
q3_radius1,q3g3_s1_00108,q3g3_s1_00108_left_right_symmetrized_rule,left_right_symmetrized_rule,0.027670084558491626,0.0,0.010877493994045417,True,0.18518518518518517,False,True
q3_radius1,q3g3_s1_00108,q3g3_s1_00108_right_neighbor_removed,right_neighbor_removed,0.024388372536878755,1.0,0.0581471304989542,True,0.5555555555555556,True,True
q3_radius1,q3g3_s1_00108,q3g3_s1_00108_output_histogram_random,output_distribution_matched_random,0.0,0.0,0.18275689613981777,True,0.7407407407407407,True,True
q3_radius1,q3g3_s1_00110,q3g3_s1_00110_symbol_phase_only,symbol_phase_only,0.6427191765388196,2.0,0.6207854015010762,False,0.5555555555555556,False,True
q3_radius1,q3g3_s1_00110,q3g3_s1_00110_right_neighbor_removed,right_neighbor_removed,0.030521953835826565,1.0,0.22190606090602671,True,0.4074074074074074,True,True
q3_radius1,q3g3_s1_00110,q3g3_s1_00110_center_only_projection,center_only_projection,0.023947490127846915,2.0,0.15992203403247335,True,0.5925925925925926,False,True
q3_radius1,q3g3_s1_00110,q3g3_s1_00110_left_neighbor_removed,left_neighbor_removed,0.20937089543991694,1.0,0.2727648342794377,True,0.4444444444444444,True,True
q3_radius1,q3g3_s1_00110,q3g3_s1_00110_left_right_symmetrized_rule,left_right_symmetrized_rule,0.07444905743916719,0.0,0.334991712861436,True,0.25925925925925924,False,True
q3_radius1,q3g3_s1_00110,q3g3_s1_00110_output_histogram_random,output_distribution_matched_random,0.0,0.0,0.42758023049476634,False,0.7777777777777778,True,True
q3_radius1,q3g3_s1_00114,q3g3_s1_00114_center_only_projection,center_only_projection,0.6494158234789691,2.0,0.6768540549076866,True,0.6296296296296297,False,True
q3_radius1,q3g3_s1_00114,q3g3_s1_00114_right_neighbor_removed,right_neighbor_removed,0.34331721212747257,1.0,0.676821792334841,True,0.48148148148148145,True,True
q3_radius1,q3g3_s1_00114,q3g3_s1_00114_left_neighbor_removed,left_neighbor_removed,0.132191153250792,1.0,0.3119754605358339,True,0.4074074074074074,True,True
q3_radius1,q3g3_s1_00114,q3g3_s1_00114_output_histogram_random,output_distribution_matched_random,0.0,0.0,0.2989690630679165,False,0.8148148148148148,True,True
q3_radius1,q3g3_s1_00114,q3g3_s1_00114_left_right_symmetrized_rule,left_right_symmetrized_rule,0.18002236437028407,0.0,0.5953673820669113,True,0.25925925925925924,False,True
