space,rule_id,stratum,q,radius,table_digest,table_json,active_fraction_mean,active_fraction_final,symbol_entropy_mean,extinction_rate,all_zero_attractor_rate,all_one_attractor_rate,global_fixed_point_rate,global_periodic_rate,localized_component_lifetime_mean,localized_component_lifetime_max,component_size_median,component_size_entropy,persistent_component_count,recurrence_up_to_shift,motif_survival_depth,motif_material_turnover,translation_velocity_estimate,period_estimate,pattern_background_contrast,local_entropy_inside_pattern,local_entropy_outside_pattern,signal_to_background_ratio,exact_static_fraction,global_period_fraction,low_turnover_persistence_fraction,frozen_order_index,activity_entropy,damage_spreading_rate,compressibility_proxy,component_fragmentation_rate,chaos_index,classification,depends_center,relation_degree,relation_complete,self_only,left_right_asymmetry,output_entropy,temporal_irreversibility_proxy,directional_consequence,DAR_complete_structural,DAR_asymmetric_structural,stage1_score,relation_asymmetry_priority,low_artifact_priority
q3_radius1,q3g3_s8_00106,S8_self_only_control,3,1,88d725d26087,"[0,0,0,1,1,1,2,2,2,0,0,0,1,1,1,2,2,2,0,0,0,1,1,1,2,2,2]",0.21781158447265625,0.21781158447265625,0.41389276971021205,0.0,0.0,0.0,1.0,1.0,260.0,260.0,1.5,0.8850395423422814,1.0,1.0,1.015625,0.0,0.0,1.0,1.0,0.21781158447265625,0.7821884155273438,375000053.98730886,1.0,1.0,1.0,1.0,0.41389276971021205,0.289764404296875,0.710235595703125,0.6724358043475905,0.25028408819872705,frozen_order,True,0,False,True,0.0,1.584962500721156,0.0,0.0,False,False,0.0,0.0,0.0
q3_radius1,q3g3_s8_00107,S8_self_only_control,3,1,1b643d8fc959,"[0,0,0,1,1,1,2,2,2,2,0,0,1,0,1,2,2,2,0,0,0,2,1,1,2,2,2]",0.23312817287816148,0.23319244384765625,0.39199527708058807,0.0,0.0,0.0,1.0,1.0,259.984375,260.0,1.75,1.002945188153624,1.0,1.0,1.015625,0.0,0.0,1.0,1.0,0.23312817287816148,0.7668718271218385,375000054.7613798,1.0,1.0,1.0,1.0,0.39199527708058807,0.26528167724609375,0.7347183227539062,0.5678734005935714,0.19502049806106103,frozen_order,True,2,True,False,0.14814814814814814,1.5610150105933087,0.015109184045017598,0.0,False,False,0.0,0.0,0.0
q3_radius1,q3g3_s8_00108,S8_self_only_control,3,1,88d725d26087,"[0,0,0,1,1,1,2,2,2,0,0,0,1,1,1,2,2,2,0,0,0,1,1,1,2,2,2]",0.21611785888671875,0.21611785888671875,0.4086819139930721,0.0,0.0,0.0,1.0,1.0,260.0,260.0,1.5,0.8318315299412788,1.0,1.0,1.015625,0.0,0.0,1.0,1.0,0.21611785888671875,0.7838821411132812,375000053.6320485,1.0,1.0,1.0,1.0,0.4086819139930721,0.28865814208984375,0.7113418579101562,0.6854674666116328,0.24884249368494404,frozen_order,True,0,False,True,0.0,1.584962500721156,0.0,0.0,False,False,0.0,0.0,0.0
q3_radius1,q3g3_s8_00109,S8_self_only_control,3,1,3dd38db2e2ad,"[0,2,0,1,1,1,2,2,2,0,1,0,1,1,1,2,2,2,0,0,0,1,1,1,2,2,0]",0.2381925471561892,0.23827362060546875,0.44424617866677985,0.0,0.0,0.0,1.0,1.0,259.9921875,260.0,2.0,1.1492976289504084,1.0,1.0,1.015625,0.0,0.0,1.0,1.0,0.2381925471561892,0.7618074528438108,375000053.0196572,1.0,1.0,1.0,1.0,0.44424617866677985,0.30268096923828125,0.6973190307617188,0.5222180285057368,0.26570385456234835,frozen_order,True,2,True,False,0.07407407407407407,1.5790132072799712,0.0037535862447710677,0.0,False,False,0.0,0.0,0.0
q3_radius1,q3g3_s8_00113,S8_self_only_control,3,1,4a39be8876a9,"[0,0,0,1,1,1,2,1,2,1,0,2,1,1,1,2,2,2,0,0,0,1,1,1,2,1,2]",0.4499223761057575,0.5365371704101562,0.5700229435551052,0.0,0.0,0.0,1.0,1.0,210.5546875,235.5,6.125,2.339857508404747,0.908203125,0.9163742065429688,0.919921875,0.08362579345703125,-0.0078125,1.0,0.970703125,0.4499223761057575,0.5500776238942424,250000036.8893492,1.0,1.0,0.82421875,0.9384765625,0.5700229435551052,0.22910308837890625,0.7708969116210938,0.29533536438189634,0.1808388011510441,emitter_or_generator,True,2,True,False,0.2962962962962963,1.5448491887169091,0.02530868205777448,0.0,True,True,0.0037489487326461805,0.0123576458224263,0.00018893806670921515
q3_radius1,q3g3_s8_00111,S8_self_only_control,3,1,e15e59378a95,"[0,2,0,1,1,1,2,1,2,0,0,0,1,1,1,2,2,2,0,0,0,1,1,1,2,2,2]",0.39828031072356823,0.48822784423828125,0.610512037229861,0.0,0.0,0.0,0.66015625,1.0,226.3671875,227.0,9.625,2.7674933875827814,1.0,0.9149246215820312,0.88671875,0.08507537841796875,0.0,1.0,1.0,0.39828031072356823,0.6017196892764318,125000054.30275969,0.66015625,1.0,0.66015625,0.66015625,0.610512037229861,0.2423095703125,0.7576904296875,0.3249601567442325,0.19324169219837678,localized_persistence,True,2,True,False,0.14814814814814814,1.5790132072799712,0.0037535862447710677,0.0,False,False,0.021340861056618723,0.06718419221528116,0.005851061620768958
q3_radius1,q3g3_s8_00110,S8_self_only_control,3,1,bf97c5383b0d,"[0,0,0,1,1,1,2,2,1,0,0,0,1,1,1,2,2,2,1,0,0,1,1,1,2,2,2]",0.23787410157199962,0.23795318603515625,0.44222438583915613,0.0,0.0,0.0,1.0,1.0,260.0,260.0,2.0,1.0916523454150497,1.0,1.0,1.015625,0.0,0.0,1.0,1.0,0.23787410157199962,0.7621258984280004,375000055.6448971,1.0,1.0,1.0,1.0,0.44222438583915613,0.31760406494140625,0.6823959350585938,0.5340391603331659,0.27651462456898995,frozen_order,True,2,True,False,0.14814814814814814,1.5677116575334586,0.01088407024131377,0.0,False,False,0.0,0.0,0.0
q3_radius1,q3g3_s8_00112,S8_self_only_control,3,1,2cc15b649344,"[0,2,0,2,1,1,1,2,2,0,0,0,1,1,1,2,2,2,0,0,0,1,1,1,2,2,2]",0.25037737300887647,0.25055694580078125,0.4454585876653258,0.0,0.0,0.0,0.53125,1.0,259.984375,260.0,2.125,1.009915697195156,1.0,1.0,1.015625,0.0,0.0,1.375,1.0,0.25037737300887647,0.7496226269911235,375000055.38237405,0.53125,1.0,1.0,0.6953125,0.4454585876653258,0.2954559326171875,0.7045440673828125,0.4438019561645367,0.26156841717860074,frozen_order,True,2,True,False,0.07407407407407407,1.5790132072799707,0.003753586244771401,0.0,False,False,0.0,0.0,0.0
q3_radius1,q3g3_s8_00116,S8_self_only_control,3,1,83c4a690723d,"[0,0,0,1,1,1,2,2,2,0,0,1,1,1,1,1,2,2,0,0,0,1,1,1,2,1,2]",0.2674678401724374,0.2676849365234375,0.3581411001047379,0.0,0.0,0.0,1.0,1.0,237.0,260.0,1.625,1.1420658853180863,0.91015625,1.0,1.015625,0.0,0.0,1.0,0.958984375,0.2674678401724374,0.7325321598275627,375000037.40850174,1.0,1.0,1.0,1.0,0.3581411001047379,0.22702789306640625,0.7729721069335938,0.5770663615144573,0.1560001062027745,frozen_order,True,2,True,False,0.2222222222222222,1.5448491887169091,0.02530868205777448,0.0,True,True,0.0,0.0,0.0
q3_radius1,q3g3_s8_00114,S8_self_only_control,3,1,88d725d26087,"[0,0,0,1,1,1,2,2,2,0,0,0,1,1,1,2,2,2,0,0,0,1,1,1,2,2,2]",0.2166900634765625,0.2166900634765625,0.4104660744639006,0.0,0.0,0.0,1.0,1.0,260.0,260.0,1.5,0.8772541996264126,1.0,1.0,1.015625,0.0,0.0,1.0,1.0,0.2166900634765625,0.7833099365234375,375000051.8771668,1.0,1.0,1.0,1.0,0.4104660744639006,0.287017822265625,0.712982177734375,0.6776014559568941,0.2477862264629091,frozen_order,True,0,False,True,0.0,1.584962500721156,0.0,0.0,False,False,0.0,0.0,0.0
