space,parent_rule_id,rule_id,control_type,dominant_active_neighborhood,dominant_active_neighborhood_count,mechanism_label,symbol_turnover_by_phase_proxy,phase_sequence_length
q3_radius1,q3g3_s3_00213,q3g3_s3_00213_left_right_symmetrized_rule,left_right_symmetrized_rule,"(0, 2, 0)",7,local-phase-clock-like,0.0,2
q3_radius1,q3g3_s3_00181,q3g3_s3_00112,stratum_null_q3g3_s3_00112,"(0, 1, 0)",439,travelling,0.3382568359375,17
q3_radius1,q3g3_s3_00181,q3g3_s3_00015,stratum_null_q3g3_s3_00015,"(2, 2, 2)",235,emitter-like,0.286376953125,17
q3_radius1,q3g3_s3_00193,q3g3_s3_00193,raw,"(0, 2, 0)",448,travelling,0.263916015625,17
q3_radius1,q3g3_s3_00214,q3g3_s3_00214_center_only_projection,center_only_projection,"(0, 2, 1)",7,local-phase-clock-like,0.0,2
q3_radius1,q3g3_s3_00193,q3g3_s3_00088,stratum_null_q3g3_s3_00088,"(0, 2, 0)",420,travelling,0.305419921875,17
q3_radius1,q3g3_s3_00214,q3g3_s3_00214_right_neighbor_removed,right_neighbor_removed,"(2, 2, 2)",8,local-phase-clock-like,0.0,2
q3_radius1,q3g3_s3_00193,q3g3_s3_00161,stratum_null_q3g3_s3_00161,"(0, 1, 0)",415,travelling,0.0849609375,7
q3_radius1,q3g3_s3_00193,q3g3_s3_00139,stratum_null_q3g3_s3_00139,"(2, 2, 2)",293,emitter-like,0.1934814453125,17
q3_radius1,q3g3_s3_00193,q3g3_s3_00188,stratum_null_q3g3_s3_00188,"(0, 1, 0)",784,travelling,0.1185302734375,17
q3_radius1,q3g3_s3_00214,q3g3_s3_00214_symbol_phase_only,symbol_phase_only,"(0, 1, 0)",7,local-phase-clock-like,0.0,2
q3_radius1,q3g3_s3_00193,q3g3_s3_00193_left_right_symmetrized_rule,left_right_symmetrized_rule,"(0, 2, 0)",838,travelling,0.13427734375,17
q3_radius1,q3g3_s3_00213,q3g3_s3_00213_right_neighbor_removed,right_neighbor_removed,"(0, 2, 0)",244,travelling,0.02001953125,2
q3_radius1,q3g3_s3_00213,q3g3_s3_00213_left_neighbor_removed,left_neighbor_removed,"(0, 2, 0)",275,travelling,0.1011962890625,17
q3_radius1,q3g3_s3_00213,q3g3_s3_00213_symbol_phase_only,symbol_phase_only,"(0, 2, 0)",227,emitter-like,0.0,2
q3_radius1,q3g3_s3_00213,q3g3_s3_00213,raw,"(0, 2, 0)",989,travelling,0.2978515625,17
q3_radius1,q3g3_s3_00223,q3g3_s3_00223_center_only_projection,center_only_projection,"(0, 1, 2)",6,local-phase-clock-like,0.0,2
q3_radius1,q3g3_s3_00213,q3g3_s3_00053,stratum_null_q3g3_s3_00053,"(0, 2, 0)",846,travelling,0.170166015625,17
q3_radius1,q3g3_s3_00223,q3g3_s3_00223_left_neighbor_removed,left_neighbor_removed,"(1, 2, 2)",5,local-phase-clock-like,0.0,2
q3_radius1,q3g3_s3_00213,q3g3_s3_00213_output_histogram_random,output_distribution_matched_random,"(0, 2, 0)",1002,travelling,0.1348876953125,17
q3_radius1,q3g3_s3_00214,q3g3_s3_00214_left_right_symmetrized_rule,left_right_symmetrized_rule,"(0, 1, 0)",51,local-phase-clock-like,0.0,2
q3_radius1,q3g3_s3_00213,q3g3_s3_00181,stratum_null_q3g3_s3_00181,"(1, 1, 1)",532,travelling,0.297119140625,17
q3_radius1,q3g3_s3_00214,q3g3_s3_00214,raw,"(0, 2, 0)",344,travelling,0.048583984375,3
