space,rule_id,parent_rule_id,control_type,stratum,q,radius,active_fraction_mean,active_fraction_final,symbol_entropy_mean,extinction_rate,all_zero_attractor_rate,all_one_attractor_rate,global_fixed_point_rate,global_periodic_rate,localized_component_lifetime_mean,localized_component_lifetime_max,component_size_median,component_size_entropy,persistent_component_count,recurrence_up_to_shift,motif_survival_depth,motif_material_turnover,translation_velocity_estimate,period_estimate,pattern_background_contrast,local_entropy_inside_pattern,local_entropy_outside_pattern,signal_to_background_ratio,exact_static_fraction,global_period_fraction,low_turnover_persistence_fraction,frozen_order_index,activity_entropy,damage_spreading_rate,compressibility_proxy,component_fragmentation_rate,chaos_index,raw_persistence_score,future_distinct_descendant_count,future_distinct_ratio,post_perturbation_survival_rate,collapse_rate,explosion_rate
q3_radius1,q3g3_s1_00013,q3g3_s1_00013,raw,S1_random_unbiased,3,1,0.5338417236645396,0.2254791259765625,0.6283137946649462,0.0,0.0,0.0,0.0,0.0,333.03125,351.0,2.625,1.5429775101739178,1.0,0.9997406005859375,0.685546875,0.0006052652994791666,1.0172526041666666e-05,0.0,1.0,0.5338417236645396,0.4661582763354603,12.514736760999792,0.0,0.0,0.9986979166666667,0.3495442708333333,0.6283137946649462,0.13726806640625,0.86273193359375,0.3014390424272775,0.08554774666512291,0.00030601511181775626,62.0,0.96875,1.0,0.0,0.0
q3_radius1,q3g3_s1_00009,q3g3_s1_00009,raw,S1_random_unbiased,3,1,0.7996595753253939,0.8040720621744792,0.8407724311221747,0.0,0.0,0.0,0.0,0.0,388.0833333333333,388.5,1.75,1.4599713608841394,0.75,0.6963755289713542,0.7587890625,0.3599802652994792,-0.017964680989583332,0.0,1.0,0.7996595753253939,0.20034042467460605,125000142.54483949,0.0,0.0,0.0,0.0,0.8407724311221747,0.3653411865234375,0.6346588134765625,0.1963601490328698,0.3482698713970053,0.08053439509102617,64.0,1.0,1.0,0.0,0.9375
q3_radius1,q3g3_s1_00018,q3g3_s1_00018,raw,S1_random_unbiased,3,1,0.5343381151740934,0.3548736572265625,0.6321023258793135,0.0,0.0,0.0,0.0,0.0,379.1614583333333,381.0,2.5,1.6574115502158928,1.0,1.0,0.744140625,0.0,0.0,0.0,1.0,0.5343381151740934,0.46566188482590665,11.540419459877636,0.0,0.0,1.0,0.35,0.6321023258793135,0.136962890625,0.863037109375,0.2427437778315253,0.08657076196634261,0.0,63.0,0.984375,1.0,0.0,0.0
q3_radius1,q3g3_s1_00026,q3g3_s1_00026,raw,S1_random_unbiased,3,1,0.6593587378389731,0.7485249837239583,0.6191125963086903,0.0,0.0,0.0,0.0,0.0,175.99479166666666,375.5,9.375,3.2769220826529546,0.8828125,0.7295583089192708,0.7333984375,0.46730550130208337,-0.011500040690104166,0.0,0.5377604166666667,0.6593587378389731,0.34064126216102686,171.3733058445282,0.0,0.0,0.2513020833333333,0.08795572916666666,0.6191125963086903,0.4967753092447917,0.5032246907552083,0.19809025405405345,0.40242863666961054,0.04977721781099782,64.0,1.0,1.0,0.0,0.0
q3_radius1,q3g3_s1_00030,q3g3_s1_00030,raw,S1_random_unbiased,3,1,0.6873771662523097,0.6501973470052083,0.9227076727340899,0.0,0.0,0.0,0.0234375,0.6575520833333334,511.24479166666663,513.0,3.0,2.1245978805677277,0.9986979166666667,0.6848246256510417,1.001953125,0.6873728434244792,-0.002787272135416667,3.4375,1.0,0.6873771662523097,0.3126228337476903,94.6611634584979,0.0234375,0.6575520833333334,0.0026041666666666665,0.016145833333333335,0.9227076727340899,0.6641133626302084,0.3358866373697917,0.2483050982688804,0.613473831315513,0.17596160741949046,64.0,1.0,1.0,0.0,0.171875
q3_radius1,q3g3_s1_00043,q3g3_s1_00043,raw,S1_random_unbiased,3,1,0.691944372661707,0.6094818115234375,0.7723909101209618,0.0,0.0,0.0,0.0,0.0,366.4479166666667,493.5,2.0,2.5299566226427057,1.0,0.5044047037760416,0.9638671875,0.5428314208984375,0.00023905436197916652,0.0,1.0,0.691944372661707,0.30805562733829295,30.413855195678224,0.0,0.0,0.0013020833333333333,0.0004557291666666666,0.7723909101209618,0.47956339518229163,0.5204366048177083,0.2457292923577737,0.3763644640895697,0.1681750966947809,64.0,1.0,1.0,0.0,0.0
q3_radius1,q3g3_s1_00045,q3g3_s1_00045,raw,S1_random_unbiased,3,1,0.8899383445774447,0.9080657958984375,0.45036189488954537,0.0,0.0,0.0,0.0,0.0,289.72395833333337,324.0,3.0,2.230753136722174,0.5911458333333333,0.9834187825520833,0.6328125,0.0230255126953125,0.00067138671875,0.0,0.984375,0.8899383445774447,0.11006165542255525,111.72160715845718,0.0,0.0,0.8841145833333334,0.3094401041666667,0.45036189488954537,0.22217305501302081,0.7778269449869792,0.06352497180115334,0.1864245196194,0.00857157916030558,64.0,1.0,1.0,0.0,1.0
q3_radius1,q3g3_s1_00105,q3g3_s1_00105,raw,S1_random_unbiased,3,1,0.9124336664052347,0.9166056315104167,0.4883226901854054,0.0,0.0,0.0,0.0,0.0,378.49479166666663,387.0,3.25,2.094641328829052,0.7356770833333334,0.9686787923177084,0.755859375,0.032343546549479164,-6.103515625e-05,0.0,1.0,0.9124336664052347,0.08756633359476526,173.19387850911238,0.0,0.0,0.8763020833333333,0.30670572916666666,0.4883226901854054,0.23891703287760416,0.7610829671223958,0.08966658236926313,0.2106767554498575,0.00985975109042592,64.0,1.0,1.0,0.0,1.0
q3_radius1,q3g3_s1_00108,q3g3_s1_00108,raw,S1_random_unbiased,3,1,0.4848766859821719,0.32097880045572913,0.7719517680984597,0.12760416666666666,0.12760416666666666,0.0,0.0,0.12760416666666666,447.265625,452.0,2.0,2.1320532834856523,0.8723958333333333,0.706146240234375,0.8828125,0.3864288330078125,-0.007451375325520834,0.25,0.8723958333333333,0.4848766859821719,0.5151233140178282,8.2835569953121,0.0,0.12760416666666666,0.12760416666666666,0.04466145833333333,0.7719517680984597,0.2234039306640625,0.7765960693359375,0.31196642235409444,0.17729116405479212,0.1881187349806266,60.0,0.9375,0.9375,0.0625,0.0
q3_radius1,q3g3_s1_00110,q3g3_s1_00110,raw,S1_random_unbiased,3,1,0.37769038526945253,0.29996744791666663,0.746437770987207,0.0,0.0,0.0,0.0,0.22786458333333334,508.1145833333333,516.0,3.5,1.6702007319272891,1.0,0.6520640055338542,1.0078125,0.3996124267578125,0.0038299560546875,1.375,1.0,0.37769038526945253,0.6223096147305474,114.86932494823455,0.0,0.22786458333333334,0.16015625,0.0560546875,0.746437770987207,0.3096364339192708,0.6903635660807291,0.3184798845748727,0.2740240485492078,0.13399778906456314,64.0,1.0,1.0,0.0,0.0
