metric,coupled_mean,baseline_mean,delta
effective_dimension,2.167100493278768,2.189574477697412,-0.022473984418644122
tube_thickness_mean,2.1167782028516133,1.8412782547788487,0.2754999480727647
A_pred_delta,0.7197050449756291,0.7604010560760869,-0.04069601110045773
component_prediction_balance,0.710682720484005,0.5392559843551781,0.17142673612882697
