kind,world,condition,alpha,T,seed,p_viable_T,tail_viability,kernel_erosion_slope,mean_hazard,late_hazard,tube_thickness_mean,tube_erosion_slope,perturbation_survival_radius,boundary_proximity,restoration_probability,return_to_corridor_time,restoration_half_life,post_perturbation_viability,overshoot_or_absorption_rate,endpoint_variance,mean_pairwise_trajectory_distance,effective_dimension,covariance_spectrum_rank,path_concentration_index,collapse_score,gpu_used,predictive_r2,time_shuffled_r2,A_pred_delta,gaussian_mi_approx,binned_mi_diagnostic,A_self_future_prediction_given_B,B_self_future_prediction_given_A,component_prediction_balance,component_erasure_proxy,joint_vs_product_prediction_delta,joint_vs_shuffled_prediction_delta
multi,F_T_attractive,coupled,0.5,900,89.5,0.9988370370370371,0.9988370370370371,2.2839506172839047e-06,2.2866370985360486e-06,0.0,2.0739150166511537,-0.11065794548226723,1.9523380604055194,0.0003987189238552133,0.9984490442151285,0.0,1.0,1.0,0.0,0.04515627835773754,1.3913483652803633,1.9282728837596046,2.0,0.34150306068277775,0.34150306068277775,1.0,0.8003948960039351,-0.0008805085468868937,0.801275404550822,0.9760159331436393,0.9262817424005286,0.8521820194191403,0.5562605563137266,0.7040785368945863,0.2959214631054136,0.7042212878664335,0.7042212878664335
multi,F_T_attractive,coupled,0.5,1500,89.5,0.9988825925925926,0.9988825925925926,1.7901234567899266e-06,1.792175383887731e-06,0.0,2.1487405909432304,-0.1145883942643801,2.055923394362132,0.00040219709618775386,0.9984281378446939,0.0,1.0,1.0,0.0,0.034849389166467674,1.2939360188113318,2.4106059312820434,3.0,0.2932097338177316,0.2932097338177316,1.0,0.6374644756317138,-0.0009488200608246839,0.6384132956925386,0.6305533049049217,0.8465382512294408,0.6990605768230226,0.4047583690947957,0.705697792271773,0.29430220772822696,0.5519094729589091,0.5519094729589091
multi,F_T_attractive,coupled,0.525,900,89.5,0.9988925925925927,0.9988925925925927,2.160493827160256e-06,2.162623615325159e-06,0.0,2.085251502195994,-0.112870072449247,1.9622045152717167,0.0003970538128163878,0.9984392208320553,0.0,1.0,1.0,0.0,0.04506614692509169,1.3857994231912825,1.9247085028224522,2.0,0.34191901362508126,0.34191901362508126,1.0,0.8006948272387187,-0.0007655492570241084,0.8014603764957429,0.9717190864945926,0.9256209472357863,0.8515635897715886,0.5666485836108526,0.7150849938392639,0.28491500616073606,0.7091060866912205,0.7091060866912205
multi,F_T_attractive,coupled,0.525,1500,89.5,0.9988481481481482,0.9988481481481482,2.098765432098637e-06,2.1010313913093148e-06,0.0,2.1592057016160755,-0.11614112928509708,2.0668573763635423,0.00039903044107586,0.9984363511767457,0.0,1.0,1.0,0.0,0.034834700057076035,1.288113890091578,2.404814655250973,3.0,0.29370800122351337,0.29370800122351337,1.0,0.6368449926376343,-0.0008261105257790185,0.6376711031634134,0.6283607909075528,0.8458048493767145,0.6968995630741119,0.414769122004509,0.7178695589303971,0.28213044106960294,0.5558343425393104,0.5558343425393104
multi,F_T_attractive,independent_alpha0,0.5,900,89.5,0.9988366666666667,0.9988366666666667,7.5925925925921685e-06,7.600877766297498e-06,0.0,1.7357440544499292,-0.02790658525708644,1.6362761159737904,0.00039866474626675777,0.9980680180941415,0.0,1.0,0.9999532696273592,0.0,0.05017020333972237,1.4977829416592916,1.9314744896358913,2.0,0.3411302405104547,0.3411302405104547,1.0,0.819300287630823,-0.0009300388857253341,0.8202303265165483,1.08530332580195,0.9412107143977946,0.8813006165954802,0.3939551247490777,0.5126545081535975,0.48734549184640247,0.6376278706722789,0.6376278706722789
multi,F_T_attractive,independent_alpha0,0.5,1500,89.5,0.9988562962962964,0.9988562962962964,7.345679012345076e-06,7.353292188736656e-06,0.0,1.7631977869404687,-0.03184341312282611,1.6812196685208214,0.00040194097657007496,0.9983744408435999,0.0,1.0,0.999999870525466,0.0,0.029105628395660006,1.341970020532608,2.461995670530531,3.0,0.28885689165216183,0.28885689165216183,1.0,0.6340331180228127,-0.0009336350007047794,0.6349667530235176,0.7085726617395616,0.8703857047802106,0.7373302426603106,0.20169980178276695,0.4643695591224564,0.5356304408775435,0.46951502222153874,0.46951502222153874
multi,F_T_attractive,independent_alpha0,0.525,900,89.5,0.9988481481481482,0.9988481481481482,9.135802469135619e-06,9.145302526453897e-06,0.0,1.735739105939865,-0.027874862154324807,1.6362810048792098,0.0004108965711649439,0.9980483325720406,0.0,1.0,0.9999505784776476,0.0,0.05019348085754442,1.4876510898272197,1.9310926338036856,2.0,0.3411742845623389,0.3411742845623389,1.0,0.8189559638500213,-0.0007830612160141873,0.8197390250660356,1.0860700602327873,0.9413046043066127,0.8810130533244874,0.393629392153687,0.5126163388291994,0.4873836611708005,0.6373212227390872,0.6373212227390872
multi,F_T_attractive,independent_alpha0,0.525,1500,89.5,0.9988503703703704,0.9988503703703704,9.012345679012381e-06,9.022473002364e-06,0.0,1.7630158172713386,-0.03187203088568312,1.6810384743743472,0.0003943666296471,0.9983780806679844,0.0,1.0,0.9999998814529842,0.0,0.029130768258538463,1.3376640260219574,2.4631804916593762,3.0,0.28876059485543193,0.28876059485543193,1.0,0.6339376770787769,-0.000894247468024996,0.6348319245468019,0.7085222207717847,0.8703708091122698,0.7370022734006246,0.20191063235203421,0.46490835895140964,0.5350916410485903,0.4694564528763294,0.4694564528763294
multi,F_T_attractive,product,0.5,900,89.5,0.9988844444444445,0.9988844444444445,8.148148148147765e-06,8.156750288211454e-06,0.0,1.7359204868475595,-0.027879512413508313,1.6364995618661244,0.00039864570038836,0.9980892407415798,0.0,1.0,0.999952123231358,0.0,0.05021076310012071,1.498025463687049,1.931344449520111,2.0,0.34114428343443054,0.34114428343443054,1.0,0.8188777681854036,-0.0008881318827036022,0.8197659000681072,1.0857493761967174,0.9412658601934827,0.8810285511944029,0.3930516145295567,0.5120230633351538,0.4879769366648462,0.6370400828619798,0.6370400828619798
multi,F_T_attractive,product,0.5,1500,89.5,0.9988822222222222,0.9988822222222222,8.765432098765598e-06,8.774776010994315e-06,0.0,1.7633179393079546,-0.0317512124155958,1.6813885748386384,0.0003946747295036395,0.9983737891595427,0.0,1.0,0.9999999307923847,0.0,0.02913894582953713,1.3439005368285708,2.4615061508284675,3.0,0.28889796376706023,0.28889796376706023,1.0,0.634460046225124,-0.0009250709465202767,0.6353851171716443,0.7095161994976968,0.8706468933308847,0.73754503859414,0.20257608700129717,0.46503104840715725,0.5349689515928427,0.4700605627977186,0.4700605627977186
