kind,world,condition,alpha,T,restoration_probability,return_to_corridor_time,restoration_half_life,post_perturbation_viability,overshoot_or_absorption_rate
multi,F_T_attractive,coupled,0.5,900,0.9984490442151285,0.0,1.0,1.0,0.0
multi,F_T_attractive,coupled,0.5,1500,0.9984281378446939,0.0,1.0,1.0,0.0
multi,F_T_attractive,coupled,0.525,900,0.9984392208320553,0.0,1.0,1.0,0.0
multi,F_T_attractive,coupled,0.525,1500,0.9984363511767457,0.0,1.0,1.0,0.0
multi,F_T_attractive,independent_alpha0,0.5,900,0.9980680180941415,0.0,1.0,0.9999532696273592,0.0
multi,F_T_attractive,independent_alpha0,0.5,1500,0.9983744408435999,0.0,1.0,0.999999870525466,0.0
multi,F_T_attractive,independent_alpha0,0.525,900,0.9980483325720406,0.0,1.0,0.9999505784776476,0.0
multi,F_T_attractive,independent_alpha0,0.525,1500,0.9983780806679844,0.0,1.0,0.9999998814529842,0.0
multi,F_T_attractive,product,0.5,900,0.9980892407415798,0.0,1.0,0.999952123231358,0.0
multi,F_T_attractive,product,0.5,1500,0.9983737891595427,0.0,1.0,0.9999999307923847,0.0
multi,F_T_attractive,product,0.525,900,0.99808643171888,0.0,1.0,0.9999534282419417,0.0
multi,F_T_attractive,product,0.525,1500,0.9983944535656638,0.0,1.0,0.9999998370806377,0.0
multi,F_T_attractive,shuffled,0.5,900,0.9980534228493004,0.0,1.0,0.9999513341320886,0.0
multi,F_T_attractive,shuffled,0.5,1500,0.9983801158242146,0.0,1.0,0.9999998867511749,0.0
multi,F_T_attractive,shuffled,0.525,900,0.9980724567363374,0.0,1.0,0.9999525845050812,0.0
multi,F_T_attractive,shuffled,0.525,1500,0.9983724559507555,0.0,1.0,0.9999997589323256,0.0
multi,F_T_attractive,time_shuffled,0.5,900,0.9984477694530679,0.0,1.0,0.9951357675923241,0.0
multi,F_T_attractive,time_shuffled,0.5,1500,0.9984476354003309,0.0,1.0,0.995561432507303,0.0
multi,F_T_attractive,time_shuffled,0.525,900,0.9984346832161214,0.0,1.0,0.9952730639113321,0.0
multi,F_T_attractive,time_shuffled,0.525,1500,0.9984392387005486,0.0,1.0,0.9955646902322769,0.0
single,noise_swamp,noise_swamp,,900,0.9999648142644872,0.0,1.0,0.9991957972447078,0.0
single,open_field,open_field,,900,0.9999994179894179,0.0,1.0,1.0,0.0
single,rigid_attractor,rigid_attractor,,900,0.9999995238095238,0.0,1.0,1.0,0.0
single,sink_trap,sink_trap,,900,0.2793032275132275,0.0,0.2857142857142857,0.0,1.0
