kind,world,condition,alpha,T,tube_thickness_mean,tube_erosion_slope,perturbation_survival_radius,boundary_proximity
multi,F_T_attractive,coupled,0.5,900,2.0739150166511537,-0.11065794548226723,1.9523380604055194,0.0003987189238552133
multi,F_T_attractive,coupled,0.5,1500,2.1487405909432304,-0.1145883942643801,2.055923394362132,0.00040219709618775386
multi,F_T_attractive,coupled,0.525,900,2.085251502195994,-0.112870072449247,1.9622045152717167,0.0003970538128163878
multi,F_T_attractive,coupled,0.525,1500,2.1592057016160755,-0.11614112928509708,2.0668573763635423,0.00039903044107586
multi,F_T_attractive,independent_alpha0,0.5,900,1.7357440544499292,-0.02790658525708644,1.6362761159737904,0.00039866474626675777
multi,F_T_attractive,independent_alpha0,0.5,1500,1.7631977869404687,-0.03184341312282611,1.6812196685208214,0.00040194097657007496
multi,F_T_attractive,independent_alpha0,0.525,900,1.735739105939865,-0.027874862154324807,1.6362810048792098,0.0004108965711649439
multi,F_T_attractive,independent_alpha0,0.525,1500,1.7630158172713386,-0.03187203088568312,1.6810384743743472,0.0003943666296471
multi,F_T_attractive,product,0.5,900,1.7359204868475595,-0.027879512413508313,1.6364995618661244,0.00039864570038836
multi,F_T_attractive,product,0.5,1500,1.7633179393079546,-0.0317512124155958,1.6813885748386384,0.0003946747295036395
multi,F_T_attractive,product,0.525,900,1.7356325580014123,-0.02791543488080298,1.6361764007144504,0.0004010940318946661
multi,F_T_attractive,product,0.525,1500,1.763263205687205,-0.03173832540503802,1.6811279548539055,0.0003882653275994089
multi,F_T_attractive,shuffled,0.5,900,1.735398017697864,-0.027980786044564464,1.6359176774819693,0.0004163395894533056
multi,F_T_attractive,shuffled,0.5,1500,1.7631225592560238,-0.03180640432983632,1.6811562962002224,0.0003888022643844939
multi,F_T_attractive,shuffled,0.525,900,1.7355924215581682,-0.02790928369181019,1.6360865453879039,0.0004033703903006556
multi,F_T_attractive,shuffled,0.525,1500,1.763165863355001,-0.03178992228996418,1.6810192637973362,0.0004008196165029667
multi,F_T_attractive,time_shuffled,0.5,900,2.073776279555427,0.003630751844805976,1.9524041222201454,0.00039816250759180943
multi,F_T_attractive,time_shuffled,0.5,1500,2.1487653851509094,0.004816611799115992,2.0560556451479592,0.0003944088957288578
multi,F_T_attractive,time_shuffled,0.525,900,2.0854165037473043,0.003774413820873533,1.962422184811698,0.00040224139342375886
multi,F_T_attractive,time_shuffled,0.525,1500,2.15938409169515,0.004973487540701172,2.067052793502808,0.0004058417849699134
single,noise_swamp,noise_swamp,,900,2.5219523284170364,0.011871753353625487,2.3114435765478345,3.7566666711350504e-06
single,open_field,open_field,,900,2.7550899439387853,-0.051580682169232055,2.6658818787998624,1.0582010582010584e-07
single,rigid_attractor,rigid_attractor,,900,2.9283284001880223,-0.0716483566496107,2.9802359183629354,0.0
single,sink_trap,sink_trap,,900,0.5450711760256025,0.4269027468230989,-1.0,0.7024946031746032
