cascade_id,distinction_id,decoder_policy_id,total_path_mass,composite_error_mass,first_stage_error_mass,second_stage_error_mass,bound_rhs_error_mass,bound_pass,slack_mass,composite_error_rate,stage_error_rate_sum_same_denominator,theorem_applicability_status,notes
comp_bitflip_0_10_then_0_25,D_A,fixed_declared_target_distinction,6400,1920,640,1600,2240,1,320,3/10,7/20,theorem_applicable_generated_natural_weights,uses same path ensemble denominator; not independently normalized stage errors
comp_bitflip_0_10_then_0_25,D_B,fixed_declared_target_distinction,6400,1920,640,1600,2240,1,320,3/10,7/20,theorem_applicable_generated_natural_weights,uses same path ensemble denominator; not independently normalized stage errors
comp_bitflip_0_10_then_0_25,D_joint,fixed_declared_target_distinction,6400,3264,1216,2800,4016,1,752,51/100,251/400,theorem_applicable_generated_natural_weights,uses same path ensemble denominator; not independently normalized stage errors
comp_bitflip_0_10_then_0_25,D_parity,fixed_declared_target_distinction,6400,2688,1152,2400,3552,1,864,21/50,111/200,theorem_applicable_generated_natural_weights,uses same path ensemble denominator; not independently normalized stage errors
comp_bitflip_0_10_then_0_25,D_trivial,fixed_declared_target_distinction,6400,0,0,0,0,1,0,0,0,theorem_applicable_generated_natural_weights,uses same path ensemble denominator; not independently normalized stage errors
comp_identity_then_marginal_degrade_0_10,D_A,fixed_declared_target_distinction,80,4,0,4,4,1,0,1/20,1/20,theorem_applicable_generated_natural_weights,uses same path ensemble denominator; not independently normalized stage errors
comp_identity_then_marginal_degrade_0_10,D_B,fixed_declared_target_distinction,80,4,0,4,4,1,0,1/20,1/20,theorem_applicable_generated_natural_weights,uses same path ensemble denominator; not independently normalized stage errors
comp_identity_then_marginal_degrade_0_10,D_joint,fixed_declared_target_distinction,80,8,0,8,8,1,0,1/10,1/10,theorem_applicable_generated_natural_weights,uses same path ensemble denominator; not independently normalized stage errors
comp_identity_then_marginal_degrade_0_10,D_parity,fixed_declared_target_distinction,80,8,0,8,8,1,0,1/10,1/10,theorem_applicable_generated_natural_weights,uses same path ensemble denominator; not independently normalized stage errors
comp_identity_then_marginal_degrade_0_10,D_trivial,fixed_declared_target_distinction,80,0,0,0,0,1,0,0,0,theorem_applicable_generated_natural_weights,uses same path ensemble denominator; not independently normalized stage errors
