world,T,metric,mean,ci_low,ci_high,n_seeds
W14_random_stepwise_relation_weak_asymmetry,50,connection_predictive_gain,0.0,0.0,0.0,30
W14_random_stepwise_relation_weak_asymmetry,50,relation_shuffle_delta,0.0,0.0,0.0,30
W14_random_stepwise_relation_weak_asymmetry,50,relation_lineage_survival_depth,0.40056478997395256,0.3992373143703337,0.4018734931585848,30
W14_random_stepwise_relation_weak_asymmetry,50,closure_without_lock_in,0.25451738775490873,0.25392761524203084,0.25557951521333316,30
W14_random_stepwise_relation_weak_asymmetry,50,viable_slack_score,0.6550821777288613,0.6534181996825922,0.6572889429712905,30
W14_random_stepwise_relation_weak_asymmetry,100,relation_identity_persistence,0.0,0.0,0.0,30
W14_random_stepwise_relation_weak_asymmetry,100,connection_predictive_gain,0.0,0.0,0.0,30
W14_random_stepwise_relation_weak_asymmetry,100,relation_shuffle_delta,0.0,0.0,0.0,30
W14_random_stepwise_relation_weak_asymmetry,100,relation_lineage_survival_depth,0.40118981006517374,0.39995634327878576,0.40221840045772395,30
W14_random_stepwise_relation_weak_asymmetry,100,closure_without_lock_in,0.24977966774329066,0.2491889678442093,0.2506505001543784,30
W14_random_stepwise_relation_weak_asymmetry,100,viable_slack_score,0.6509694778084644,0.6497200042101954,0.6528243994235696,30
W15_random_stepwise_relation_strong_asymmetry,50,relation_identity_persistence,0.0,0.0,0.0,30
W15_random_stepwise_relation_strong_asymmetry,50,connection_predictive_gain,0.0,0.0,0.0,30
W15_random_stepwise_relation_strong_asymmetry,50,relation_shuffle_delta,0.0,0.0,0.0,30
W15_random_stepwise_relation_strong_asymmetry,50,relation_lineage_survival_depth,0.39575794884288396,0.3947755751971913,0.3967082562417832,30
W15_random_stepwise_relation_strong_asymmetry,50,closure_without_lock_in,0.24973728985291113,0.24914571950303852,0.2502303520490788,30
W15_random_stepwise_relation_strong_asymmetry,50,viable_slack_score,0.6454952386957953,0.6441849836361685,0.6465021789930986,30
W15_random_stepwise_relation_strong_asymmetry,100,relation_identity_persistence,0.0,0.0,0.0,30
W15_random_stepwise_relation_strong_asymmetry,100,connection_predictive_gain,0.0,0.0,0.0,30
W15_random_stepwise_relation_strong_asymmetry,100,relation_shuffle_delta,0.0,0.0,0.0,30
W15_random_stepwise_relation_strong_asymmetry,100,relation_lineage_survival_depth,0.39524912729408823,0.39415838433585326,0.3965524408424281,30
W15_random_stepwise_relation_strong_asymmetry,100,closure_without_lock_in,0.25035844409365726,0.24982167807240896,0.25092700349818925,30
W15_random_stepwise_relation_strong_asymmetry,100,viable_slack_score,0.6456075713877457,0.6443690323929985,0.646759038921897,30
W16_fixed_but_permuted_relation,50,relation_identity_persistence,0.0,0.0,0.0,30
W16_fixed_but_permuted_relation,50,connection_predictive_gain,0.0,0.0,0.0,30
W16_fixed_but_permuted_relation,50,relation_shuffle_delta,0.0,0.0,0.0,30
W16_fixed_but_permuted_relation,50,relation_lineage_survival_depth,0.42430707307560955,0.42419757908312916,0.42444474642455654,30
W16_fixed_but_permuted_relation,50,closure_without_lock_in,0.24971860004872815,0.24910758090239815,0.25045995972557195,30
W16_fixed_but_permuted_relation,50,viable_slack_score,0.6740256731243378,0.6733216158460125,0.6745484554784122,30
W16_fixed_but_permuted_relation,100,relation_identity_persistence,0.0,0.0,0.0,30
W16_fixed_but_permuted_relation,100,connection_predictive_gain,0.0,0.0,0.0,30
W16_fixed_but_permuted_relation,100,relation_shuffle_delta,0.0,0.0,0.0,30
W16_fixed_but_permuted_relation,100,relation_lineage_survival_depth,0.4258668026239742,0.4257311770934755,0.42599238869728845,30
W16_fixed_but_permuted_relation,100,closure_without_lock_in,0.2497169488969819,0.24851705585878284,0.250802885250382,30
W16_fixed_but_permuted_relation,100,viable_slack_score,0.6755837515209564,0.6744931083142076,0.6765791473631173,30
W17_delayed_relation_memory,50,relation_identity_persistence,0.0,0.0,0.0,30
W17_delayed_relation_memory,50,connection_predictive_gain,0.0,0.0,0.0,30
W17_delayed_relation_memory,50,relation_shuffle_delta,0.0,0.0,0.0,30
W17_delayed_relation_memory,50,relation_lineage_survival_depth,0.37316078405837694,0.37299415596062874,0.3733230080241252,30
W17_delayed_relation_memory,50,closure_without_lock_in,0.245876509347351,0.24532577298635866,0.24635849219989803,30
W17_delayed_relation_memory,50,viable_slack_score,0.6190372934057281,0.618397095369541,0.6197791119291838,30
W17_delayed_relation_memory,100,relation_identity_persistence,0.0,0.0,0.0,30
W17_delayed_relation_memory,100,connection_predictive_gain,0.0,0.0,0.0,30
W17_delayed_relation_memory,100,relation_shuffle_delta,0.0,0.0,0.0,30
W17_delayed_relation_memory,100,relation_lineage_survival_depth,0.37401425711859887,0.3739063400367119,0.3741314330090786,30
W17_delayed_relation_memory,100,closure_without_lock_in,0.24954899093553123,0.24889353441646245,0.25015076322311464,30
W17_delayed_relation_memory,100,viable_slack_score,0.6235632480541301,0.6230158034177138,0.624252712544489,30
W18_relation_lock_in,50,relation_identity_persistence,0.08589432250221365,0.08468140150346962,0.08694884871577446,30
