world,distinction,asymmetry,relation,q,T,seed,p_viable,edge_influence_early,edge_influence_middle,edge_influence_late,edge_influence_rank_correlation_early_late,relation_identity_persistence,future_prediction_self_only,future_prediction_self_plus_true_relation,future_prediction_self_plus_shuffled_relation,connection_predictive_gain,relation_shuffle_delta,relation_lineage_survival_depth,relation_lineage_branching_entropy,relation_lineage_extinction_rate,relation_lineage_merge_rate,relation_lineage_shuffle_delta,closure_rate,lineage_recurrence_rate,recoverable_alternative_count,branching_after_closure,lock_in_index,closure_without_lock_in,viable_slack_score
W0_null_flat,none,symmetric,independent,1,50,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
W0_null_flat,none,symmetric,independent,1,100,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
W10_noise_rich_control,rich,noise,independent,4,50,14.5,0.9952222222222222,0.0,0.0,0.0,0.0,0.0,0.26892325643460074,0.26892325643460074,0.2869130919223614,0.0,-0.017989835487760605,0.25002528005842684,3.9997731704588313,0.7499747199415732,0.0,-6.91206923610812e-06,0.25031843395224473,0.0,2985.6666666666665,0.9999815282529732,0.0003349344270378567,0.2502299650030121,0.4822654095736783
W10_noise_rich_control,rich,noise,independent,4,100,14.5,0.9908333333333333,0.0,0.0,0.0,0.0,0.0,0.2690270408080115,0.2690270408080115,0.2870077959032865,0.0,-0.017980755095274966,0.25002539653872025,3.9997731460896255,0.7499746034612796,0.0,-1.3543131569363316e-06,0.24993689500359048,0.0,2972.5,0.9999783325649388,0.00033641835800216,0.24984741266178634,0.4818920541052316
W11_collapse_attractor_control,low,collapse,fixed,2,50,14.5,8.888888888887999e-05,0.0,0.0,0.0,0.0,0.0,0.23329166666666667,0.23329166666666667,0.23329166666666667,0.0,0.0,0.1945625,0.1878901291747685,0.8054375,0.7666666666666667,-0.0014166666666666633,0.23333333333333334,0.0,0.23333333333333334,0.0787010155439699,1.0,0.0,0.1945625
W11_collapse_attractor_control,low,collapse,fixed,2,100,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
W12_stable_relation_weak_asymmetry,rich,weak,modular_directed,4,50,14.5,0.9075444444444444,0.0,0.0,0.0,0.0,0.0,0.8523689240862822,0.8523689240862822,0.8523689240862822,0.0,0.0,0.48486386244356644,3.7758141775691514,0.5151361375564335,0.0,0.170961260180215,0.26568898640123007,0.0,2722.633333333333,0.9999576057470237,0.00036730741018904,0.2655801055028847,0.7504439679464511
W12_stable_relation_weak_asymmetry,rich,weak,modular_directed,4,100,14.5,0.8141333333333333,0.0,0.0,0.0,0.0,0.0,0.8532872359486491,0.8532872359486491,0.8532872359486491,0.0,0.0,0.49026421212792465,3.766651418466814,0.5097357878720754,0.0,0.17460804866333815,0.25030384446106063,0.0,2442.3333333333335,0.9999590745870185,0.00043692522626746,0.25018430174839634,0.740448513876321
W13_stable_relation_strong_asymmetry,rich,strong,modular_directed,4,50,14.5,0.9496444444444445,0.0,0.0,0.0,0.0,0.0,0.7381273282474594,0.7381273282474594,0.7381273282474594,0.0,0.0,0.42562939292724983,3.8093731813756464,0.5743706070727501,0.0,0.1280752626280019,0.2493365028894166,0.0,2848.9333333333334,0.9999618557543903,0.00035101263499644,0.249239486966285,0.6748688798935348
W13_stable_relation_strong_asymmetry,rich,strong,modular_directed,4,100,14.5,0.8973,0.0,0.0,0.0,0.0,0.0,0.7386266583637551,0.7386266583637551,0.7386266583637551,0.0,0.0,0.4272272924527465,3.8064572767373877,0.5727727075472535,0.0,0.12862140951086787,0.25015850491236985,0.0,2691.9,0.999972370536422,0.0003714985471133633,0.2500586582066096,0.6772859506593562
