world,distinction,asymmetry,relation,q,T,seed,p_viable,edge_influence_early,edge_influence_middle,edge_influence_late,edge_influence_rank_correlation_early_late,relation_identity_persistence,future_prediction_self_only,future_prediction_self_plus_true_relation,future_prediction_self_plus_shuffled_relation,connection_predictive_gain,relation_shuffle_delta,relation_lineage_survival_depth,relation_lineage_branching_entropy,relation_lineage_extinction_rate,relation_lineage_merge_rate,relation_lineage_shuffle_delta,closure_rate,lineage_recurrence_rate,recoverable_alternative_count,branching_after_closure,lock_in_index,closure_without_lock_in,viable_slack_score
W14_random_stepwise_relation_weak_asymmetry,rich,weak,random_stepwise,4,50,14.5,0.8572777777777778,0.0,0.0,0.0,0.0,0.0,0.8377941600092706,0.8377941600092706,0.8377941600092706,0.0,0.0,0.40056478997395256,3.9111696761228,0.5994352100260474,0.0,0.07281588565790234,0.2546377435330731,0.0,2571.8,0.9999291916448326,0.00040175314286840664,0.2545173877549088,0.6550821777288615
W14_random_stepwise_relation_weak_asymmetry,rich,weak,random_stepwise,4,100,14.5,0.7189333333333334,0.0,0.0,0.0,0.0,0.0,0.8379136838856652,0.8379136838856652,0.8379136838856652,0.0,0.0,0.4011898100651738,3.910429388698471,0.5988101899348262,0.0,0.0719566033535367,0.24991295636949243,0.0,2156.766666666667,0.9999457356293227,0.00047912641231758,0.24977966774329066,0.6509694778084645
W15_random_stepwise_relation_strong_asymmetry,rich,strong,random_stepwise,4,50,14.5,0.9100222222222222,0.0,0.0,0.0,0.0,0.0,0.7240486953163809,0.7240486953163809,0.7240486953163809,0.0,0.0,0.39575794884288396,3.8909038612660516,0.6042420511571159,0.0,0.08638615630952486,0.24983907444982942,0.0,2730.0666666666666,0.9999589361221806,0.0003663045805566967,0.24973728985291116,0.6454952386957953
W15_random_stepwise_relation_strong_asymmetry,rich,strong,random_stepwise,4,100,14.5,0.8283444444444444,0.0,0.0,0.0,0.0,0.0,0.7239505059012892,0.7239505059012892,0.7239505059012892,0.0,0.0,0.3952491272940883,3.891181482127668,0.6047508727059117,0.0,0.08612741713580827,0.2504715811087275,0.0,2485.0333333333333,0.9999507989917448,0.00040245597483888,0.25035844409365726,0.6456075713877457
W16_fixed_but_permuted_relation,rich,strong,fixed_permuted,4,50,14.5,0.9495222222222223,0.0,0.0,0.0,0.0,0.0,0.7383914459136317,0.7383914459136317,0.7383914459136317,0.0,0.0,0.4243070730756096,3.8074162255247166,0.5756929269243903,0.0,0.12682998436257648,0.24981377846855454,0.0,2848.5666666666666,0.9999700660928632,0.00035105907823142,0.24971860004872817,0.6740256731243378
W16_fixed_but_permuted_relation,rich,strong,fixed_permuted,4,100,14.5,0.8985333333333333,0.0,0.0,0.0,0.0,0.0,0.739026175136394,0.739026175136394,0.739026175136394,0.0,0.0,0.42586680262397425,3.8044707546646985,0.5741331973760258,0.0,0.12667039851391876,0.24981587345659634,0.0,2695.6,0.9999749399562478,0.0003709880874361267,0.24971694889698187,0.6755837515209563
W17_delayed_relation_memory,rich,strong,delayed_memory,4,50,14.5,0.9749666666666668,0.0,0.0,0.0,0.0,0.0,0.738684307020476,0.738684307020476,0.738684307020476,0.0,0.0,0.37316078405837694,3.9099266488066773,0.626839215941623,0.0,0.08102588998071093,0.24597187253755373,0.0,2924.866666666667,0.9999655606486283,0.0003532784275560033,0.24587650934735103,0.6190372934057281
W17_delayed_relation_memory,rich,strong,delayed_memory,4,100,14.5,0.9488222222222222,0.0,0.0,0.0,0.0,0.0,0.7391403727284873,0.7391403727284873,0.7391403727284873,0.0,0.0,0.37401425711859887,3.90880639886116,0.6259857428814011,0.0,0.08105573265188278,0.24964380194861627,0.0,2846.4666666666667,0.9999715328535264,0.00035131750876719,0.24954899093553123,0.6235632480541302
W18_relation_lock_in,rich,lock_in,modular_directed,4,50,14.5,0.6675777777777778,0.236338730998797,0.054993488079997474,0.013685778894064813,0.8447246870802397,0.08589432250221364,0.8745693933027403,0.9727225838098178,0.880750719163905,0.09815319050707756,0.09197186464591275,0.9725517270638531,2.2008894007768323,0.027448272936146913,0.0,0.6283333419466529,0.9399983331837174,0.0,310.6666666666667,0.9999129871071376,0.010701784506505687,0.9298579817324801,2.08027589594446
W18_relation_lock_in,rich,lock_in,modular_directed,4,100,14.5,0.6585777777777777,0.14037938672551703,0.007277045102741253,0.0004638619625845867,0.577397115907776,0.028507443206936194,0.9376012374413614,0.9864855730119654,0.940710333262399,0.04888433557060399,0.045775239749566425,0.9862964923966671,2.1009877978481186,0.013703507603332889,0.0,0.635459564105835,0.9941325337024749,0.0,169.83333333333334,0.999943009610866,0.011097102509068495,0.9830446380263436,2.0436238133795133
W1_distinction_only,low,symmetric,independent,2,50,14.5,0.9990222222222223,0.0,0.0,0.0,0.0,0.0,0.9515685778282669,0.9515685778282669,0.9515685778282669,0.0,0.0,0.9515685778282669,1.2796505749202178,0.04843142217173306,0.0,0.42385449338061204,0.5399648226802327,0.07820512820512818,2931.133333333333,0.9999841987334206,0.0008230083296198199,0.539511875369605,1.4910804531978719
W1_distinction_only,low,symmetric,independent,2,100,14.5,0.9982444444444444,0.0,0.0,0.0,0.0,0.0,0.9516130365843521,0.9516130365843521,0.9516130365843521,0.0,0.0,0.9516130365843521,1.2794587828945894,0.048386963415647785,0.0,0.4235560685305291,0.5024704276365068,0.04379084967320261,2928.4333333333334,0.9999686449964489,0.00090158099723878,0.5020016155577172,1.4536146521420694
W2_asymmetry_only,low,strong,independent,2,50,14.5,0.9984555555555555,0.0,0.0,0.0,0.0,0.0,0.8152109129683146,0.8152109129683146,0.8152109129683146,0.0,0.0,0.8152109129683146,1.6903968824148228,0.1847890870316854,0.0,0.29574091442868444,0.49999120701094707,0.04999999999999996,2929.3,0.9999823142900452,0.0009014065209925765,0.49953165270456645,1.3147425656728808
W2_asymmetry_only,low,strong,independent,2,100,14.5,0.9969555555555555,0.0,0.0,0.0,0.0,0.0,0.81516321372894,0.81516321372894,0.81516321372894,0.0,0.0,0.81516321372894,1.6904988696153291,0.18483678627106007,0.0,0.29557097094411533,0.500324544577097,0.03529411764705882,2925.9333333333334,0.9999839024980942,0.0009138609661176166,0.499859266601825,1.3150224803307649
W3_relation_only,low,symmetric,fixed,2,50,14.5,0.9891444444444445,0.0,0.0,0.0,0.0,0.0,0.9261024528841107,0.9261024528841107,0.9261024528841107,0.0,0.0,0.6028554458927772,1.9685382419903115,0.39714455410722277,0.0,0.0638687920312388,0.508438678614596,0.05769230769230766,2859.1,0.9999710560313173,0.0010559397426927067,0.5078870650509795,1.1107425109437565
W3_relation_only,low,symmetric,fixed,2,100,14.5,0.9770333333333333,0.0,0.0,0.0,0.0,0.0,0.9263010292342713,0.9263010292342713,0.9263010292342713,0.0,0.0,0.6055639170478987,1.9672049214104315,0.3944360829521013,0.0,0.0656962752031379,0.4989755642138363,0.03594771241830065,2821.6666666666665,0.9999750780368396,0.0010917215589218733,0.4984183192287233,1.103982236276622
W7_full_DAR,rich,strong,modular_directed,4,50,14.5,0.9495111111111111,0.0,0.0,0.0,0.0,0.0,0.7381101601056688,0.7381101601056688,0.7381101601056688,0.0,0.0,0.42565445603723023,3.80938915345251,0.5743455439627697,0.0,0.12804208040715617,0.24898699452661838,0.0,2848.5333333333333,0.999965969718237,0.00035106800090215336,0.24889111691549334,0.6745455729527237
W7_full_DAR,rich,strong,modular_directed,4,100,14.5,0.8993777777777777,0.0,0.0,0.0,0.0,0.0,0.738634493795659,0.738634493795659,0.738634493795659,0.0,0.0,0.4272508347992886,3.8064080186808615,0.5727491652007114,0.0,0.1287214404413444,0.24995491695188038,0.0,2698.133333333333,0.9999688780195413,0.00037064257747875,0.24985450099472706,0.6771053357940158
W8_full_random_relation_control,rich,strong,random_stepwise,4,50,14.5,0.9114333333333333,0.0,0.0,0.0,0.0,0.0,0.7238107822081101,0.7238107822081101,0.7238107822081101,0.0,0.0,0.3947453508976971,3.891889611684138,0.6052546491023029,0.0,0.08632175923594508,0.2499639005874054,0.0,2734.266666666667,0.9999596502601392,0.0003778339971074533,0.24985939762817128,0.6446047485258685
W8_full_random_relation_control,rich,strong,random_stepwise,4,100,14.5,0.8312222222222222,0.0,0.0,0.0,0.0,0.0,0.7239847352299724,0.7239847352299724,0.7239847352299724,0.0,0.0,0.3955543658301943,3.8908883259838034,0.6044456341698056,0.0,0.08646761092310438,0.2501924957246638,0.0,2493.6666666666665,0.9999562189287521,0.00040104961298244,0.2500812164189329,0.6456355822491272
W9_full_symmetric_control,rich,symmetric,modular_directed,4,50,14.5,0.9206888888888888,0.0,0.0,0.0,0.0,0.0,0.9100698994560206,0.9100698994560206,0.9100698994560206,0.0,0.0,0.48573582410938104,3.7877263779461385,0.5142641758906189,0.0,0.1666236538314975,0.3212802520152,0.0,2762.0,0.9999605740639429,0.00038611493246682333,0.3211435356863956,0.8068793597957767
W9_full_symmetric_control,rich,symmetric,modular_directed,4,100,14.5,0.8409888888888889,0.0,0.0,0.0,0.0,0.0,0.911044200640256,0.911044200640256,0.911044200640256,0.0,0.0,0.49720018894546025,3.7693055750805162,0.5027998110545397,0.0,0.17555250051637492,0.270763522626797,0.0,2522.866666666667,0.999947974612457,0.00043589736855159,0.27063145312579545,0.7678316420712558
