world,T,seed,edge_influence_early,edge_influence_middle,edge_influence_late,edge_influence_rank_correlation_early_late,relation_identity_persistence
W3_relation_only,100,5,0.0,0.0,0.0,0.0,0.0
W3_relation_only,100,4,0.0,0.0,0.0,0.0,0.0
W3_relation_only,100,6,0.0,0.0,0.0,0.0,0.0
W3_relation_only,100,7,0.0,0.0,0.0,0.0,0.0
W3_relation_only,100,8,0.0,0.0,0.0,0.0,0.0
W3_relation_only,100,9,0.0,0.0,0.0,0.0,0.0
W3_relation_only,100,10,0.0,0.0,0.0,0.0,0.0
W3_relation_only,100,11,0.0,0.0,0.0,0.0,0.0
W3_relation_only,100,12,0.0,0.0,0.0,0.0,0.0
W3_relation_only,100,13,0.0,0.0,0.0,0.0,0.0
W3_relation_only,100,14,0.0,0.0,0.0,0.0,0.0
W3_relation_only,100,17,0.0,0.0,0.0,0.0,0.0
W3_relation_only,100,15,0.0,0.0,0.0,0.0,0.0
W3_relation_only,100,16,0.0,0.0,0.0,0.0,0.0
W3_relation_only,100,19,0.0,0.0,0.0,0.0,0.0
W3_relation_only,100,18,0.0,0.0,0.0,0.0,0.0
W3_relation_only,100,21,0.0,0.0,0.0,0.0,0.0
W3_relation_only,100,20,0.0,0.0,0.0,0.0,0.0
W3_relation_only,100,22,0.0,0.0,0.0,0.0,0.0
W3_relation_only,100,23,0.0,0.0,0.0,0.0,0.0
W7_full_DAR,50,0,0.0,0.0,0.0,0.0,0.0
W7_full_DAR,50,2,0.0,0.0,0.0,0.0,0.0
W7_full_DAR,50,1,0.0,0.0,0.0,0.0,0.0
W7_full_DAR,50,3,0.0,0.0,0.0,0.0,0.0
W7_full_DAR,50,4,0.0,0.0,0.0,0.0,0.0
W7_full_DAR,50,5,0.0,0.0,0.0,0.0,0.0
W3_relation_only,100,24,0.0,0.0,0.0,0.0,0.0
W3_relation_only,100,26,0.0,0.0,0.0,0.0,0.0
W3_relation_only,100,25,0.0,0.0,0.0,0.0,0.0
W3_relation_only,100,27,0.0,0.0,0.0,0.0,0.0
W3_relation_only,100,28,0.0,0.0,0.0,0.0,0.0
W3_relation_only,100,29,0.0,0.0,0.0,0.0,0.0
W7_full_DAR,50,7,0.0,0.0,0.0,0.0,0.0
W7_full_DAR,50,6,0.0,0.0,0.0,0.0,0.0
