world,T,seed,future_prediction_self_only,future_prediction_self_plus_true_relation,future_prediction_self_plus_shuffled_relation,connection_predictive_gain,relation_shuffle_delta
W1_distinction_only,50,12,0.9517789263087696,0.9517789263087696,0.9517789263087696,0.0,0.0
W1_distinction_only,50,16,0.9515721907302434,0.9515721907302434,0.9515721907302434,0.0,0.0
W1_distinction_only,50,19,0.9517460781041388,0.9517460781041388,0.9517460781041388,0.0,0.0
W1_distinction_only,50,24,0.9516725058391724,0.9516725058391724,0.9516725058391724,0.0,0.0
W1_distinction_only,50,18,0.9514536048064084,0.9514536048064084,0.9514536048064084,0.0,0.0
W1_distinction_only,50,23,0.9512883461153716,0.9512883461153716,0.9512883461153716,0.0,0.0
W1_distinction_only,50,27,0.9517136894824708,0.9517136894824708,0.9517136894824708,0.0,0.0
W1_distinction_only,50,20,0.951531948615282,0.951531948615282,0.951531948615282,0.0,0.0
W1_distinction_only,50,28,0.951658044058745,0.951658044058745,0.951658044058745,0.0,0.0
W1_distinction_only,50,22,0.951698247078464,0.951698247078464,0.951698247078464,0.0,0.0
W1_distinction_only,50,26,0.951675700466978,0.951675700466978,0.951675700466978,0.0,0.0
W1_distinction_only,50,21,0.9517385680907876,0.9517385680907876,0.9517385680907876,0.0,0.0
W1_distinction_only,50,25,0.951642058725392,0.951642058725392,0.951642058725392,0.0,0.0
W1_distinction_only,50,29,0.9515184228076028,0.9515184228076028,0.9515184228076028,0.0,0.0
W1_distinction_only,100,4,0.9516381469115192,0.9516381469115192,0.9516381469115192,0.0,0.0
W1_distinction_only,100,1,0.951649282376502,0.951649282376502,0.951649282376502,0.0,0.0
W1_distinction_only,100,0,0.9516851450483494,0.9516851450483494,0.9516851450483494,0.0,0.0
W1_distinction_only,100,2,0.9517251583861288,0.9517251583861288,0.9517251583861288,0.0,0.0
W1_distinction_only,100,5,0.951640364061456,0.951640364061456,0.951640364061456,0.0,0.0
W1_distinction_only,100,3,0.9517299181696726,0.9517299181696726,0.9517299181696726,0.0,0.0
W1_distinction_only,100,12,0.9513930899064172,0.9513930899064172,0.9513930899064172,0.0,0.0
W1_distinction_only,100,6,0.9515836811352254,0.9515836811352254,0.9515836811352254,0.0,0.0
W1_distinction_only,100,9,0.9518204796122994,0.9518204796122994,0.9518204796122994,0.0,0.0
W1_distinction_only,100,10,0.951362554293351,0.951362554293351,0.951362554293351,0.0,0.0
W1_distinction_only,100,8,0.9516232899566234,0.9516232899566234,0.9516232899566234,0.0,0.0
W1_distinction_only,100,13,0.9516014190317196,0.9516014190317196,0.9516014190317196,0.0,0.0
W1_distinction_only,100,16,0.9517842842842842,0.9517842842842842,0.9517842842842842,0.0,0.0
W1_distinction_only,100,11,0.9515747078464108,0.9515747078464108,0.9515747078464108,0.0,0.0
W1_distinction_only,100,7,0.9515257843791722,0.9515257843791722,0.9515257843791722,0.0,0.0
W1_distinction_only,100,14,0.9516494737721348,0.9516494737721348,0.9516494737721348,0.0,0.0
W1_distinction_only,100,15,0.9516216216216216,0.9516216216216216,0.9516216216216216,0.0,0.0
W1_distinction_only,100,17,0.9516165664662658,0.9516165664662658,0.9516165664662658,0.0,0.0
W2_asymmetry_only,50,0,0.8150993322203672,0.8150993322203672,0.8150993322203672,0.0,0.0
W2_asymmetry_only,50,1,0.8155779166666666,0.8155779166666666,0.8155779166666666,0.0,0.0
W2_asymmetry_only,50,2,0.8152888146911519,0.8152888146911519,0.8152888146911519,0.0,0.0
W1_distinction_only,100,19,0.9516662491649968,0.9516662491649968,0.9516662491649968,0.0,0.0
W2_asymmetry_only,50,4,0.8160624164438502,0.8160624164438502,0.8160624164438502,0.0,0.0
W1_distinction_only,100,18,0.9515613514868024,0.9515613514868024,0.9515613514868024,0.0,0.0
W1_distinction_only,100,21,0.9515705395923822,0.9515705395923822,0.9515705395923822,0.0,0.0
W2_asymmetry_only,50,3,0.8149974941530238,0.8149974941530238,0.8149974941530238,0.0,0.0
W1_distinction_only,100,22,0.9515505932486632,0.9515505932486632,0.9515505932486632,0.0,0.0
W1_distinction_only,100,20,0.9515765859766278,0.9515765859766278,0.9515765859766278,0.0,0.0
