target,T,metric,mean,ci_low,ci_high,n_seeds
middle_r075_a075_l050,100,relation_slack_excess,0.0038810442184780956,0.003643584532840254,0.004113806076847246,50
middle_r075_a075_l050,100,relation_shuffle_delta,0.0038810442184780956,0.003627397428150875,0.004110623891081874,50
middle_r075_a075_l050,100,dynamic_lock_in_index,0.0,0.0,0.0,50
noise_rich_control,50,future_distinct_ratio,0.91884,0.9180037,0.9198257,50
noise_rich_control,50,asymmetric_slack_delta,0.000427999999999986,-0.0007807000000000037,0.001996199999999988,50
noise_rich_control,50,relation_slack_excess,0.00093303499999995,0.0008791647499999422,0.000995160499999952,50
noise_rich_control,50,relation_shuffle_delta,0.00093303499999995,0.0008792343749999442,0.000984574374999944,50
noise_rich_control,50,dynamic_lock_in_index,0.0,0.0,0.0,50
noise_rich_control,100,future_distinct_ratio,0.9189076543308662,0.9177651802760552,0.9202130999999999,50
noise_rich_control,100,asymmetric_slack_delta,-8.834566913383585e-05,-0.0015727172834566932,0.0013768913582716364,50
noise_rich_control,100,relation_slack_excess,0.0009080799999999501,0.0008681399999999424,0.0009464008124999519,50
noise_rich_control,100,relation_shuffle_delta,0.0009080799999999501,0.000859641124999944,0.0009503986249999698,50
noise_rich_control,100,dynamic_lock_in_index,0.0,0.0,0.0,50
optional_r075_a050_l100,50,future_distinct_ratio,0.9968299392719584,0.996294625205007,0.9973600999425906,50
optional_r075_a050_l100,50,asymmetric_slack_delta,-0.0006686723387257719,-0.0014067765086820043,9.217388956056929e-05,50
optional_r075_a050_l100,50,relation_slack_excess,0.014732489238360364,0.013725056980742485,0.015852714743107524,50
optional_r075_a050_l100,50,relation_shuffle_delta,0.014732489238360364,0.013788108462900689,0.015703731975997885,50
optional_r075_a050_l100,50,dynamic_lock_in_index,4.692082111436946e-10,0.0,1.4076246334310839e-09,50
optional_r075_a050_l100,100,future_distinct_ratio,0.9995636286893338,0.9990718105423988,1.0,50
optional_r075_a050_l100,100,asymmetric_slack_delta,-0.000436371310666232,-0.001003885987769946,0.0,50
optional_r075_a050_l100,100,relation_slack_excess,0.021559604686585097,0.020820695268009726,0.02228661771302118,50
optional_r075_a050_l100,100,relation_shuffle_delta,0.021559604686585097,0.02090871451999176,0.022435747760474203,50
optional_r075_a050_l100,100,dynamic_lock_in_index,0.0,0.0,0.0,50
optional_r075_a100_l050,50,future_distinct_ratio,0.9689855929332373,0.9676797446704172,0.9700770930701431,50
optional_r075_a100_l050,50,asymmetric_slack_delta,-0.013337249302049636,-0.015129029892787686,-0.011744617368832044,50
optional_r075_a100_l050,50,relation_slack_excess,0.005489578403213887,0.004932483584198081,0.0059755212196164085,50
optional_r075_a100_l050,50,relation_shuffle_delta,0.005489578403213887,0.004930675385871646,0.005970630942706864,50
optional_r075_a100_l050,50,dynamic_lock_in_index,0.0,0.0,0.0,50
optional_r075_a100_l050,100,future_distinct_ratio,0.9738391274537502,0.9728858864599292,0.9746142965570489,50
optional_r075_a100_l050,100,asymmetric_slack_delta,-0.01578390798381646,-0.01689339009243582,-0.0145816056273259,50
optional_r075_a100_l050,100,relation_slack_excess,0.0035371965740608542,0.0032365930314419973,0.003849666069856021,50
optional_r075_a100_l050,100,relation_shuffle_delta,0.0035371965740608542,0.003271095116559915,0.003809232368240228,50
optional_r075_a100_l050,100,dynamic_lock_in_index,0.0,0.0,0.0,50
