T,budget,coarse_name,completed,cv,exact_I,mean_CV,mean_I,rank_stability_across_sample_budgets,start,std_I
3,300,region,,0.13219866598777574,0.8787060834518097,,0.8155588398873883,,open,0.10781579066765073
3,1000,region,,0.03629573620221642,0.8787060834518097,,0.8341072716687123,,open,0.030274537496838047
3,3000,region,,0.030720985421580548,0.8787060834518097,,0.8651155295742986,,open,0.026577201572034963
4,300,region,,0.043292324994220435,1.1314554835568846,,1.0620812330757803,,open,0.045979965912579066
4,1000,region,,0.04468234504277871,1.1314554835568846,,1.06376130216976,,open,0.0475313495467048
4,3000,region,,0.050768895242379694,1.1314554835568846,,1.0741078020648853,,open,0.05453126648205486
5,300,region,,0.03821310448544589,1.3600405980397912,,1.165720461691935,,open,0.04454579780345613
5,1000,region,,0.038462352811446256,1.3600405980397912,,1.1617421356649784,,open,0.044683335897869464
5,3000,region,,0.02490535381943678,1.3600405980397912,,1.243077121541532,,open,0.03095927553683887
3,300,region,,0.09428565505057057,1.0891636254163304,,0.9686258433312386,,loop,0.09132752213739717
3,1000,region,,0.013265192365981006,1.0891636254163304,,1.043094077910428,,loop,0.013836843599297408
3,3000,region,,0.009837023428377363,1.0891636254163304,,1.0541276941088926,,loop,0.010369478823450583
4,300,region,,0.11174613855835414,1.2627122400461241,,1.107842515458455,,loop,0.1237971232332561
4,1000,region,,0.05755155291357551,1.2627122400461241,,1.3016380304423398,,loop,0.07491128998332454
4,3000,region,,0.013555013041271798,1.2627122400461241,,1.2346820254444202,,loop,0.016736130956722994
5,300,region,,0.13640721615986795,1.3915246918770787,,1.3675950159478234,,loop,0.1865498289595528
5,1000,region,,0.019650456397905795,1.3915246918770787,,1.341667448545752,,loop,0.02636437769813782
5,3000,region,,0.05884803228060119,1.3915246918770787,,1.3238565471736068,,loop,0.07790635282295764
3,300,region,,0.023156337341076277,0.3967625419083254,,0.547561209123565,,dead_branch,0.012679512073352885
3,1000,region,,0.1392727006670421,0.3967625419083254,,0.6158384944730917,,dead_branch,0.08576949029999276
3,3000,region,,0.11024834270051836,0.3967625419083254,,0.5484799054744712,,dead_branch,0.060469000583097426
4,300,region,,1.414213562373095,0.8305236914828463,,0.34657359027997264,,dead_branch,0.4901290717342735
4,1000,region,,0.3767051408893159,0.8305236914828463,,0.6943319930945776,,dead_branch,0.2615584312826524
4,3000,region,,0.12875209446722993,0.8305236914828463,,0.656028220531426,,dead_branch,0.0844650074230309
5,300,region,,1.4142135623730954,0.6019239717322895,,0.23104906018664842,,dead_branch,0.32675271448951576
5,1000,region,,0.0,0.6019239717322895,,0.0,,dead_branch,0.0
5,3000,region,,0.1607629080681054,0.6019239717322895,,0.4798359098044776,,dead_branch,0.07713981625567294
3,300,region,,0.0,0.0,,0.0,,rigid_attractor,0.0
3,1000,region,,0.0,0.0,,0.0,,rigid_attractor,0.0
3,3000,region,,0.0,0.0,,0.0,,rigid_attractor,0.0
4,300,region,,0.0,0.0,,0.0,,rigid_attractor,0.0
4,1000,region,,0.0,0.0,,0.0,,rigid_attractor,0.0
4,3000,region,,0.0,0.0,,0.0,,rigid_attractor,0.0
5,300,region,,0.0,0.0,,0.0,,rigid_attractor,0.0
5,1000,region,,0.0,0.0,,0.0,,rigid_attractor,0.0
5,3000,region,,0.0,0.0,,0.0,,rigid_attractor,0.0
3,300,viability_signature,,0.009304093162855548,1.1844417976011339,,1.1980227716060468,,open,0.011146515478245073
3,1000,viability_signature,,0.015056902857180506,1.1844417976011339,,1.1926122911537058,,open,0.017957047414180822
4,300,viability_signature,,0.02954241874823378,1.7908246454059518,,1.709816557252921,,open,0.05051211671702923
3,3000,viability_signature,,0.014286747578285379,1.1844417976011339,,1.1870791713579558,,open,0.01695950047663129
4,1000,viability_signature,,0.001733293741559258,1.7908246454059518,,1.7776124053351723,,open,0.0030811244570855528
5,300,viability_signature,,0.06047814232048996,2.3245342324307168,,2.0715694665399806,,open,0.12528467302418642
