witness_id,carrier_id,channel_id,source_count,edge_count,global_target_support_size,global_target_support,global_target_weight_signature,global_target_entropy_bits,per_source_support_count_signature,per_source_entropy_bits_signature,viable_target_count_multiset,frontier_morphology_signature
same_frontier_morphology_different_loss_profile_v0,X2_vn,preserve_declared_v,4,8,4,00;01;10;11,00:2;01:2;10:2;11:2,2.000000,00:2;01:2;10:2;11:2,00:1.000000;01:1.000000;10:1.000000;11:1.000000,0;0;2;2,support:00:2;01:2;10:2;11:2|entropy:00:1.000000;01:1.000000;10:1.000000;11:1.000000|viable_target_multiset:0;0;2;2
same_frontier_morphology_different_loss_profile_v0,X2_vn,flip_declared_v,4,8,4,00;01;10;11,00:2;01:2;10:2;11:2,2.000000,00:2;01:2;10:2;11:2,00:1.000000;01:1.000000;10:1.000000;11:1.000000,0;0;2;2,support:00:2;01:2;10:2;11:2|entropy:00:1.000000;01:1.000000;10:1.000000;11:1.000000|viable_target_multiset:0;0;2;2
