world,T,relation_conditioned_lineage,self_only_lineage,independent_lineage,noncommutative_relation_lineage_excess,commutative_delta,random_order_delta
W0_null_flat,50,0.0,0.0,0.0,-1.0,-0.3058663792677646,-0.34947487332001753
W0_null_flat,100,0.0,0.0,0.0,-1.0,-0.3058663792677646,-0.34947487332001753
W10_noise_rich_control,50,0.3038141,0.264614345,0.30373908499999996,-0.6961859,-0.002052279267764634,-0.045660773320017556
W10_noise_rich_control,100,0.30402022,0.26461558999999996,0.3040292225,-0.69597978,-0.0018461592677646022,-0.045454653320017524
W11_collapse_attractor_control,50,0.0,0.0,0.0,-1.0,-0.3058663792677646,-0.34947487332001753
W11_collapse_attractor_control,100,0.0,0.0,0.0,-1.0,-0.3058663792677646,-0.34947487332001753
W1_distinction_only,50,0.26465542204261633,0.26465542204261633,0.2785455305472355,-0.7353445779573837,-0.04121095722514828,-0.0848194512774012
W1_distinction_only,100,0.26469927362620943,0.26469927362620943,0.27859831583943295,-0.7353007263737905,-0.04116710564155518,-0.0847755996938081
W2_relation_without_history,50,0.0,0.0,0.0,-1.0,-0.3058663792677646,-0.34947487332001753
W2_relation_without_history,100,0.0,0.0,0.0,-1.0,-0.3058663792677646,-0.34947487332001753
W3_bias_asymmetry_only,50,0.0,0.0,0.0,-1.0,-0.3058663792677646,-0.34947487332001753
W3_bias_asymmetry_only,100,0.0,0.0,0.0,-1.0,-0.3058663792677646,-0.34947487332001753
W4_commutative_relation_history,50,0.3057836777212834,0.26460298629993134,0.31978107370619424,-0.6942163222787165,-8.270154648121197e-05,-0.043691195598734134
W4_commutative_relation_history,100,0.30594908081424577,0.26460609700559695,0.31966867824357814,-0.6940509191857542,8.270154648115646e-05,-0.043525792505771765
W5_noncommutative_relation_history,50,0.3061260435507862,0.2646181486016546,0.3505745212139908,-0.6938739564492138,0.00025966428302159894,-0.04334882976923132
W5_noncommutative_relation_history,100,0.30594932763819477,0.2646315289425128,0.3500870742587132,-0.6940506723618052,8.294837043015812e-05,-0.043525545681822764
W6_noncommutative_no_relation_control,50,1.0,0.26465396525505946,0.3490041563898987,0.0,0.6941336207322354,0.6505251266799825
W6_noncommutative_no_relation_control,100,1.0,0.2646036949353126,0.34949754404834793,0.0,0.6941336207322354,0.6505251266799825
W7_reversible_history_control,50,0.37100892948207287,0.3282076467781668,0.3531950560932444,-0.6289910705179271,0.06514255021430826,0.021534056162055337
W7_reversible_history_control,100,0.3723571164799689,0.3288659439341001,0.35407907000834854,-0.6276428835200312,0.06649073721220428,0.022882243159951354
W8_random_order_history_control,50,0.349948400375815,0.2646594714152382,0.3100082121164463,-0.650051599624185,0.04408202110805037,0.00047352705579745136
W8_random_order_history_control,100,0.3490013462642201,0.26471078540745513,0.3098234919913829,-0.6509986537357799,0.04313496699645547,-0.00047352705579745136
W9_lock_in_history_control,50,0.7039347022770815,0.7547350072231093,0.7071190987257963,-0.29606529772291845,0.39806832300931694,0.354459828957064
W9_lock_in_history_control,100,0.7041456993525071,0.7547325008264238,0.7073246503361039,-0.29585430064749285,0.39827932008474254,0.3546708260324896
