condition,alpha,T,kappa,singleton_fraction,macro_node_count,macro_edge_count,p_viable,estimator_warning
independent_alpha0,0.525,900,joint_basin,0.38679696382177836,4.68125,44.50625,0.9988625000000001,
independent_alpha0,0.525,1500,basin_transition_profile,0.3873444270012186,14.3875,67.34375,0.9988625000000001,
independent_alpha0,0.525,1500,boundary_v2_regime_sequence,0.09663683338934145,4.0,39.2375,0.9988625000000001,
independent_alpha0,0.525,1500,center_of_mass,0.35190232091748375,10.48125,136.6125,0.9988625000000001,
independent_alpha0,0.525,1500,joint_basin,0.3873444270012186,4.64375,38.38125,0.9988625000000001,
independent_alpha0,0.525,2400,basin_transition_profile,0.3510450144990442,13.5375,57.09375,0.9988625000000001,
independent_alpha0,0.525,2400,boundary_v2_regime_sequence,0.08610901638168111,4.0,34.1625,0.9988625000000001,
independent_alpha0,0.525,2400,center_of_mass,0.38619046978094196,10.46875,134.14375,0.9988625000000001,
independent_alpha0,0.525,2400,joint_basin,0.3510450144990442,4.6375,33.16875,0.9988625000000001,
product,0.45,900,basin_transition_profile,0.39095806575646896,15.05,76.6375,0.9988718750000001,
product,0.45,900,boundary_v2_regime_sequence,0.12901880157997564,4.0,45.9375,0.9988718750000001,
product,0.45,900,center_of_mass,0.33000215393393184,10.4875,132.11875,0.9988718750000001,
product,0.45,900,joint_basin,0.39095806575646896,4.7,44.1375,0.9988718750000001,
product,0.45,1500,basin_transition_profile,0.38034482135993153,14.3625,67.4875,0.9988718750000001,
product,0.45,1500,boundary_v2_regime_sequence,0.09645959020200186,4.0,39.225,0.9988718750000001,
product,0.45,1500,center_of_mass,0.35124521466324554,10.48125,136.35625,0.9988718750000001,
product,0.45,1500,joint_basin,0.38034482135993153,4.675,38.40625,0.9988718750000001,
product,0.45,2400,basin_transition_profile,0.35442958419433424,13.675,57.525,0.9988718750000001,
product,0.45,2400,boundary_v2_regime_sequence,0.0867730897049411,4.0,34.20625,0.9988718750000001,
product,0.45,2400,center_of_mass,0.3863646914662557,10.46875,133.89375,0.9988718750000001,
product,0.45,2400,joint_basin,0.35442958419433424,4.65,33.41875,0.9988718750000001,
product,0.5,900,basin_transition_profile,0.39095806575646896,15.05,76.6375,0.9988718750000001,
product,0.5,900,boundary_v2_regime_sequence,0.12901880157997564,4.0,45.9375,0.9988718750000001,
product,0.5,900,center_of_mass,0.33000215393393184,10.4875,132.11875,0.9988718750000001,
product,0.5,900,joint_basin,0.39095806575646896,4.7,44.1375,0.9988718750000001,
product,0.5,1500,basin_transition_profile,0.38034482135993153,14.3625,67.4875,0.9988718750000001,
product,0.5,1500,boundary_v2_regime_sequence,0.09645959020200186,4.0,39.225,0.9988718750000001,
product,0.5,1500,center_of_mass,0.35124521466324554,10.48125,136.35625,0.9988718750000001,
product,0.5,1500,joint_basin,0.38034482135993153,4.675,38.40625,0.9988718750000001,
product,0.5,2400,basin_transition_profile,0.35442958419433424,13.675,57.525,0.9988718750000001,
product,0.5,2400,boundary_v2_regime_sequence,0.0867730897049411,4.0,34.20625,0.9988718750000001,
product,0.5,2400,center_of_mass,0.3863646914662557,10.46875,133.89375,0.9988718750000001,
product,0.5,2400,joint_basin,0.35442958419433424,4.65,33.41875,0.9988718750000001,
product,0.525,900,basin_transition_profile,0.39095806575646896,15.05,76.6375,0.9988718750000001,
product,0.525,900,boundary_v2_regime_sequence,0.12901880157997564,4.0,45.9375,0.9988718750000001,
product,0.525,900,center_of_mass,0.33000215393393184,10.4875,132.11875,0.9988718750000001,
product,0.525,900,joint_basin,0.39095806575646896,4.7,44.1375,0.9988718750000001,
product,0.525,1500,basin_transition_profile,0.38034482135993153,14.3625,67.4875,0.9988718750000001,
product,0.525,1500,boundary_v2_regime_sequence,0.09645959020200186,4.0,39.225,0.9988718750000001,
product,0.525,1500,center_of_mass,0.35124521466324554,10.48125,136.35625,0.9988718750000001,
product,0.525,1500,joint_basin,0.38034482135993153,4.675,38.40625,0.9988718750000001,
product,0.525,2400,basin_transition_profile,0.35442958419433424,13.675,57.525,0.9988718750000001,
product,0.525,2400,boundary_v2_regime_sequence,0.0867730897049411,4.0,34.20625,0.9988718750000001,
product,0.525,2400,center_of_mass,0.3863646914662557,10.46875,133.89375,0.9988718750000001,
product,0.525,2400,joint_basin,0.35442958419433424,4.65,33.41875,0.9988718750000001,
shuffled,0.45,900,basin_transition_profile,0.39459392354631956,15.23125,77.00625,0.99889375,
shuffled,0.45,900,boundary_v2_regime_sequence,0.1319113513604172,4.0,46.04375,0.99889375,
shuffled,0.45,900,center_of_mass,0.3332775849643398,10.50625,132.59375,0.99889375,
shuffled,0.45,900,joint_basin,0.39459392354631956,4.675,44.54375,0.99889375,
shuffled,0.45,1500,basin_transition_profile,0.3851195961128364,14.275,67.19375,0.99889375,
shuffled,0.45,1500,boundary_v2_regime_sequence,0.098862017664085,4.0,39.21875,0.99889375,
shuffled,0.45,1500,center_of_mass,0.3495460436274822,10.5,136.5,0.99889375,
shuffled,0.45,1500,joint_basin,0.3851195961128364,4.66875,38.2375,0.99889375,
shuffled,0.45,2400,basin_transition_profile,0.35008256919222497,13.6375,57.5625,0.99889375,
shuffled,0.45,2400,boundary_v2_regime_sequence,0.08764367021660856,4.0,34.0625,0.99889375,
shuffled,0.45,2400,center_of_mass,0.38574473436726275,10.49375,134.1,0.99889375,
shuffled,0.45,2400,joint_basin,0.35008256919222497,4.65,33.39375,0.99889375,
shuffled,0.5,900,basin_transition_profile,0.39459392354631956,15.23125,77.00625,0.99889375,
shuffled,0.5,900,boundary_v2_regime_sequence,0.13191135136041718,4.0,46.04375,0.99889375,
shuffled,0.5,900,center_of_mass,0.3332775849643398,10.50625,132.59375,0.99889375,
shuffled,0.5,900,joint_basin,0.39459392354631956,4.675,44.54375,0.99889375,
shuffled,0.5,1500,basin_transition_profile,0.3851195961128364,14.275,67.19375,0.99889375,
shuffled,0.5,1500,boundary_v2_regime_sequence,0.098862017664085,4.0,39.21875,0.99889375,
shuffled,0.5,1500,center_of_mass,0.3495460436274822,10.5,136.5,0.99889375,
shuffled,0.5,1500,joint_basin,0.3851195961128364,4.66875,38.2375,0.99889375,
shuffled,0.5,2400,basin_transition_profile,0.35008256919222497,13.6375,57.5625,0.99889375,
shuffled,0.5,2400,boundary_v2_regime_sequence,0.08764367021660856,4.0,34.0625,0.99889375,
shuffled,0.5,2400,center_of_mass,0.38574473436726275,10.49375,134.1,0.99889375,
shuffled,0.5,2400,joint_basin,0.35008256919222497,4.65,33.39375,0.99889375,
shuffled,0.525,900,basin_transition_profile,0.39459392354631956,15.23125,77.00625,0.99889375,
shuffled,0.525,900,boundary_v2_regime_sequence,0.1319113513604172,4.0,46.04375,0.99889375,
shuffled,0.525,900,center_of_mass,0.3332775849643398,10.50625,132.59375,0.99889375,
shuffled,0.525,900,joint_basin,0.39459392354631956,4.675,44.54375,0.99889375,
shuffled,0.525,1500,basin_transition_profile,0.3851195961128364,14.275,67.19375,0.99889375,
shuffled,0.525,1500,boundary_v2_regime_sequence,0.098862017664085,4.0,39.21875,0.99889375,
shuffled,0.525,1500,center_of_mass,0.3495460436274822,10.5,136.5,0.99889375,
shuffled,0.525,1500,joint_basin,0.3851195961128364,4.66875,38.2375,0.99889375,
shuffled,0.525,2400,basin_transition_profile,0.35008256919222497,13.6375,57.5625,0.99889375,
shuffled,0.525,2400,boundary_v2_regime_sequence,0.08764367021660856,4.0,34.0625,0.99889375,
shuffled,0.525,2400,center_of_mass,0.38574473436726275,10.49375,134.1,0.99889375,
shuffled,0.525,2400,joint_basin,0.35008256919222497,4.65,33.39375,0.99889375,
