condition,alpha,T,kappa,segment_depth,seed,certified_path_mass_survival,component_A_preservation,component_B_preservation
coupled,0.45,2400,joint_basin,4,79.5,0.9914161959977911,1.0,0.9258208725903199
coupled,0.45,2400,joint_basin,5,79.5,0.9910895893114706,1.0,0.9258208725903199
coupled,0.45,2400,joint_basin,6,79.5,0.9907880046482157,1.0,0.9258208725903199
coupled,0.5,900,basin_transition_profile,1,79.5,0.9916061560918212,1.0,1.0
coupled,0.5,900,basin_transition_profile,2,79.5,0.9878650963985385,1.0,1.0
coupled,0.5,900,basin_transition_profile,3,79.5,0.984220341964195,1.0,1.0
coupled,0.5,900,basin_transition_profile,4,79.5,0.9742622232291083,1.0,1.0
coupled,0.5,900,basin_transition_profile,5,79.5,0.9642214930385554,1.0,1.0
coupled,0.5,900,basin_transition_profile,6,79.5,0.9592753161519537,1.0,1.0
coupled,0.5,900,boundary_v2_regime_sequence,1,79.5,0.9957220379015655,1.0,1.0
coupled,0.5,900,boundary_v2_regime_sequence,2,79.5,0.9954479881634912,1.0,1.0
coupled,0.5,900,boundary_v2_regime_sequence,3,79.5,0.9933418561843468,1.0,1.0
coupled,0.5,900,boundary_v2_regime_sequence,4,79.5,0.9932517528071687,1.0,1.0
coupled,0.5,900,boundary_v2_regime_sequence,5,79.5,0.9931779235258553,1.0,1.0
coupled,0.5,900,boundary_v2_regime_sequence,6,79.5,0.9931147314498021,1.0,1.0
coupled,0.5,900,center_of_mass,1,79.5,0.684783896317742,1.0,0.8251294132865779
coupled,0.5,900,center_of_mass,2,79.5,0.6663744347774561,1.0,0.8251294132865779
coupled,0.5,900,center_of_mass,3,79.5,0.6563975482505521,1.0,0.8251294132865779
coupled,0.5,900,center_of_mass,4,79.5,0.6502399858530588,1.0,0.8251294132865779
coupled,0.5,900,center_of_mass,5,79.5,0.6462486139833685,1.0,0.8251294132865779
coupled,0.5,900,center_of_mass,6,79.5,0.6435249154908027,1.0,0.8251294132865779
coupled,0.5,900,joint_basin,1,79.5,0.9947672202915043,1.0,1.0
coupled,0.5,900,joint_basin,2,79.5,0.9935245883823768,1.0,1.0
coupled,0.5,900,joint_basin,3,79.5,0.9902039627952547,1.0,1.0
coupled,0.5,900,joint_basin,4,79.5,0.988976325525082,1.0,1.0
coupled,0.5,900,joint_basin,5,79.5,0.9877380386036059,1.0,1.0
coupled,0.5,900,joint_basin,6,79.5,0.9873100613350448,1.0,1.0
coupled,0.5,1500,basin_transition_profile,1,79.5,0.9913058680837074,1.0,0.9757556822960691
coupled,0.5,1500,basin_transition_profile,2,79.5,0.9860943836267518,1.0,0.9757556822960691
coupled,0.5,1500,basin_transition_profile,3,79.5,0.9768615334519601,1.0,0.9757556822960691
coupled,0.5,1500,basin_transition_profile,4,79.5,0.9696208486057838,1.0,0.9757556822960691
coupled,0.5,1500,basin_transition_profile,5,79.5,0.9585584318321526,1.0,0.9757556822960691
coupled,0.5,1500,basin_transition_profile,6,79.5,0.9510512784057885,1.0,0.9757556822960691
coupled,0.5,1500,boundary_v2_regime_sequence,1,79.5,0.9957952548303606,1.0,1.0
coupled,0.5,1500,boundary_v2_regime_sequence,2,79.5,0.9951826921175236,1.0,1.0
coupled,0.5,1500,boundary_v2_regime_sequence,3,79.5,0.9950738220987017,1.0,1.0
coupled,0.5,1500,boundary_v2_regime_sequence,4,79.5,0.9949874756060613,1.0,1.0
coupled,0.5,1500,boundary_v2_regime_sequence,5,79.5,0.994909266006273,1.0,1.0
coupled,0.5,1500,boundary_v2_regime_sequence,6,79.5,0.9948341821532745,1.0,1.0
coupled,0.5,1500,center_of_mass,1,79.5,0.711735538066828,1.0,0.8054852993918689
coupled,0.5,1500,center_of_mass,2,79.5,0.6942126661255503,1.0,0.8054852993918689
coupled,0.5,1500,center_of_mass,3,79.5,0.6867592438767938,1.0,0.8054852993918689
coupled,0.5,1500,center_of_mass,4,79.5,0.6828986520307694,1.0,0.8054852993918689
coupled,0.5,1500,center_of_mass,5,79.5,0.6805941851790364,1.0,0.8054852993918689
coupled,0.5,1500,center_of_mass,6,79.5,0.679031805098627,1.0,0.8054852993918689
coupled,0.5,1500,joint_basin,1,79.5,0.9943254906692562,1.0,0.9757556822960691
coupled,0.5,1500,joint_basin,2,79.5,0.9898686097578159,1.0,0.9757556822960691
coupled,0.5,1500,joint_basin,3,79.5,0.9892429040800034,1.0,0.9757556822960691
coupled,0.5,1500,joint_basin,4,79.5,0.9887717529438083,1.0,0.9757556822960691
coupled,0.5,1500,joint_basin,5,79.5,0.9883950823099283,1.0,0.9757556822960691
coupled,0.5,1500,joint_basin,6,79.5,0.9880096529822777,1.0,0.9757556822960691
coupled,0.5,2400,basin_transition_profile,1,79.5,0.9901245005058346,1.0,0.9485451973930275
coupled,0.5,2400,basin_transition_profile,2,79.5,0.982591602508411,1.0,0.9485451973930275
coupled,0.5,2400,basin_transition_profile,3,79.5,0.9728149172257551,1.0,0.9485451973930275
coupled,0.5,2400,basin_transition_profile,4,79.5,0.9657826991179069,1.0,0.9485451973930275
coupled,0.5,2400,basin_transition_profile,5,79.5,0.9592102046400022,1.0,0.9485451973930275
coupled,0.5,2400,basin_transition_profile,6,79.5,0.9500730582531576,1.0,0.9485451973930275
coupled,0.5,2400,boundary_v2_regime_sequence,1,79.5,0.9965629833569369,1.0,1.0
coupled,0.5,2400,boundary_v2_regime_sequence,2,79.5,0.9964065573311321,1.0,1.0
coupled,0.5,2400,boundary_v2_regime_sequence,3,79.5,0.9962901801798774,1.0,1.0
coupled,0.5,2400,boundary_v2_regime_sequence,4,79.5,0.9961969539978334,1.0,1.0
coupled,0.5,2400,boundary_v2_regime_sequence,5,79.5,0.9961037244335376,1.0,1.0
coupled,0.5,2400,boundary_v2_regime_sequence,6,79.5,0.9960230112664616,1.0,1.0
coupled,0.5,2400,center_of_mass,1,79.5,0.7601919483899378,1.0,0.7445873777000023
coupled,0.5,2400,center_of_mass,2,79.5,0.7467467834296889,1.0,0.7445873777000023
coupled,0.5,2400,center_of_mass,3,79.5,0.7420508794407059,1.0,0.7445873777000023
coupled,0.5,2400,center_of_mass,4,79.5,0.7398384011853513,1.0,0.7445873777000023
coupled,0.5,2400,center_of_mass,5,79.5,0.7382709965632159,1.0,0.7445873777000023
coupled,0.5,2400,center_of_mass,6,79.5,0.7369695355314129,1.0,0.7445873777000023
coupled,0.5,2400,joint_basin,1,79.5,0.9928644363302924,1.0,0.9485451973930275
coupled,0.5,2400,joint_basin,2,79.5,0.9921442505925253,1.0,0.9485451973930275
coupled,0.5,2400,joint_basin,3,79.5,0.9915654860082734,1.0,0.9485451973930275
coupled,0.5,2400,joint_basin,4,79.5,0.9911037097373949,1.0,0.9485451973930275
coupled,0.5,2400,joint_basin,5,79.5,0.9905962632885348,1.0,0.9485451973930275
coupled,0.5,2400,joint_basin,6,79.5,0.9899918281385917,1.0,0.9485451973930275
coupled,0.525,900,basin_transition_profile,1,79.5,0.9918054407725758,1.0,1.0
coupled,0.525,900,basin_transition_profile,2,79.5,0.9865578362956334,1.0,1.0
coupled,0.525,900,basin_transition_profile,3,79.5,0.9818871216605167,1.0,1.0
coupled,0.525,900,basin_transition_profile,4,79.5,0.9718630089792653,1.0,1.0
coupled,0.525,900,basin_transition_profile,5,79.5,0.9651313507211985,1.0,1.0
coupled,0.525,900,basin_transition_profile,6,79.5,0.9576237737748124,1.0,1.0
coupled,0.525,900,boundary_v2_regime_sequence,1,79.5,0.9956796154479883,1.0,1.0
coupled,0.525,900,boundary_v2_regime_sequence,2,79.5,0.9954725144927927,1.0,1.0
coupled,0.525,900,boundary_v2_regime_sequence,3,79.5,0.9944376467525997,1.0,1.0
coupled,0.525,900,boundary_v2_regime_sequence,4,79.5,0.9943218948514563,1.0,1.0
coupled,0.525,900,boundary_v2_regime_sequence,5,79.5,0.9942480646327013,1.0,1.0
coupled,0.525,900,boundary_v2_regime_sequence,6,79.5,0.994186746738413,1.0,1.0
coupled,0.525,900,center_of_mass,1,79.5,0.6846254909320811,1.0,0.8370685035228009
coupled,0.525,900,center_of_mass,2,79.5,0.6665576642933086,1.0,0.8370685035228009
coupled,0.525,900,center_of_mass,3,79.5,0.6569427858807777,1.0,0.8370685035228009
coupled,0.525,900,center_of_mass,4,79.5,0.6510933377769431,1.0,0.8370685035228009
coupled,0.525,900,center_of_mass,5,79.5,0.6474024431577456,1.0,0.8370685035228009
coupled,0.525,900,center_of_mass,6,79.5,0.6449472901801144,1.0,0.8370685035228009
coupled,0.525,900,joint_basin,1,79.5,0.9945371574456227,1.0,1.0
coupled,0.525,900,joint_basin,2,79.5,0.9930999786874175,1.0,1.0
coupled,0.525,900,joint_basin,3,79.5,0.9888722527853663,1.0,1.0
coupled,0.525,900,joint_basin,4,79.5,0.9879575010978909,1.0,1.0
coupled,0.525,900,joint_basin,5,79.5,0.9867612097135717,1.0,1.0
coupled,0.525,900,joint_basin,6,79.5,0.9863870507318054,1.0,1.0
coupled,0.525,1500,basin_transition_profile,1,79.5,0.9917979198457724,1.0,0.970781036169708
coupled,0.525,1500,basin_transition_profile,2,79.5,0.9844799824333096,1.0,0.970781036169708
coupled,0.525,1500,basin_transition_profile,3,79.5,0.9769216445959714,1.0,0.970781036169708
coupled,0.525,1500,basin_transition_profile,4,79.5,0.9683116735654309,1.0,0.970781036169708
coupled,0.525,1500,basin_transition_profile,5,79.5,0.9580210337003449,1.0,0.970781036169708
coupled,0.525,1500,basin_transition_profile,6,79.5,0.952067539970391,1.0,0.970781036169708
coupled,0.525,1500,boundary_v2_regime_sequence,1,79.5,0.9955713555919145,1.0,1.0
coupled,0.525,1500,boundary_v2_regime_sequence,2,79.5,0.9952153478963963,1.0,1.0
coupled,0.525,1500,boundary_v2_regime_sequence,3,79.5,0.9950952189344928,1.0,1.0
coupled,0.525,1500,boundary_v2_regime_sequence,4,79.5,0.9949944834298948,1.0,1.0
coupled,0.525,1500,boundary_v2_regime_sequence,5,79.5,0.9949031343139246,1.0,1.0
coupled,0.525,1500,boundary_v2_regime_sequence,6,79.5,0.9948261730843635,1.0,1.0
coupled,0.525,1500,center_of_mass,1,79.5,0.7120196684959037,1.0,0.819743421262707
coupled,0.525,1500,center_of_mass,2,79.5,0.6952826435869099,1.0,0.819743421262707
coupled,0.525,1500,center_of_mass,3,79.5,0.6883400744616328,1.0,0.819743421262707
coupled,0.525,1500,center_of_mass,4,79.5,0.6847574461077628,1.0,0.819743421262707
coupled,0.525,1500,center_of_mass,5,79.5,0.6827264662682879,1.0,0.819743421262707
coupled,0.525,1500,center_of_mass,6,79.5,0.6814325547817076,1.0,0.819743421262707
coupled,0.525,1500,joint_basin,1,79.5,0.9941029370751535,1.0,0.970781036169708
coupled,0.525,1500,joint_basin,2,79.5,0.9920957948993578,1.0,0.970781036169708
coupled,0.525,1500,joint_basin,3,79.5,0.9909107548736674,1.0,0.970781036169708
coupled,0.525,1500,joint_basin,4,79.5,0.990438357874396,1.0,0.970781036169708
coupled,0.525,1500,joint_basin,5,79.5,0.9900197767096465,1.0,0.970781036169708
coupled,0.525,1500,joint_basin,6,79.5,0.9895811671906369,1.0,0.970781036169708
coupled,0.525,2400,basin_transition_profile,1,79.5,0.9899759389000435,1.0,0.9638512792440256
