space,rule_id,stratum,q,radius,ic_family,T,ring_size,motif_type,confirmed,active_fraction_mean,active_fraction_final,symbol_entropy_mean,extinction_rate,all_zero_attractor_rate,all_one_attractor_rate,global_fixed_point_rate,global_periodic_rate,localized_component_lifetime_mean,localized_component_lifetime_max,component_size_median,component_size_entropy,persistent_component_count,recurrence_up_to_shift,motif_survival_depth,motif_material_turnover,translation_velocity_estimate,period_estimate,pattern_background_contrast,local_entropy_inside_pattern,local_entropy_outside_pattern,signal_to_background_ratio,exact_static_fraction,global_period_fraction,low_turnover_persistence_fraction,frozen_order_index,activity_entropy,damage_spreading_rate,compressibility_proxy,component_fragmentation_rate,chaos_index,confirmed_fraction
q2_radius2,q2r2_s1_0017,S1_random_unbiased,2,2,short_random_block,512,256,emitter,False,0.2789931269417032,0.35546875,0.8540752453271355,0.0,0.0,0.0,0.0,0.0,79.6875,116.0,2.0,0.13926048204626398,1.0,0.6572265625,0.2265625,0.4986572265625,-0.00164794921875,0.0,1.0,0.2789931269417032,0.7210068730582968,20.14906929847006,0.0,0.0,0.0,0.0,0.8540752453271355,0.354736328125,0.645263671875,0.4985995619094582,0.30297151646980663,0.0
q2_radius2,q2r2_s1_0017,S1_random_unbiased,2,2,periodic_perturbation,512,256,emitter,False,0.4157804076434576,0.41290283203125,0.9794362111749257,0.0,0.0,0.0,0.0,0.0,336.5625,516.0,1.0,0.6545886715950311,1.0,0.84423828125,1.0078125,0.1876220703125,0.007080078125,0.0,1.0,0.4157804076434576,0.5842195923565424,11.638884095579897,0.0,0.0,0.546875,0.19140625,0.9794362111749257,0.6842041015625,0.3157958984375,0.8055002785454698,0.670134272904719,0.0
q2_radius2,q2r2_s7_0005,S7_symmetric_control,2,2,bernoulli_050,512,256,emitter,False,0.3765170746147052,0.37109375,0.9555449550383428,0.0,0.0,0.0,0.0,0.0,49.125,92.0,2.0,2.638580673700505,0.921875,0.59307861328125,0.1796875,0.46075439453125,-0.00238037109375,0.0,1.0,0.3765170746147052,0.6234829253852948,16.56416477010214,0.0,0.0,0.0,0.0,0.9555449550383428,0.1859130859375,0.8140869140625,0.2664606697082012,0.177648311343188,0.0
q2_radius2,q2r2_s7_0005,S7_symmetric_control,2,2,short_random_block,512,256,emitter,False,0.308700948198404,0.2987060546875,0.8916682309539404,0.03125,0.03125,0.0,0.03125,0.03125,136.3125,516.0,2.0,2.3402569045852966,1.0,0.6405029296875,1.0078125,0.4091796875,-0.0069580078125,0.0,0.96875,0.308700948198404,0.691299051801596,8.48664074686711,0.03125,0.03125,0.03125,0.03125,0.8916682309539404,0.1513671875,0.8486328125,0.2711970777318289,0.1349693123025984,0.0
q2_radius2,q2r2_s7_0005,S7_symmetric_control,2,2,single_seed,512,256,emitter,False,0.31156341374269003,0.3125,0.894969915540774,0.0,0.0,0.0,0.0,0.0,452.0,452.0,2.0,2.1389280419158303,1.0,0.609375,0.8828125,0.453125,-0.03125,0.0,1.0,0.31156341374269003,0.68843658625731,14.369989203412958,0.0,0.0,0.0,0.0,0.894969915540774,0.171875,0.828125,0.2858770452679354,0.15382295423357054,0.0
q2_radius2,q2r2_s7_0005,S7_symmetric_control,2,2,periodic_perturbation,512,256,emitter,False,0.23617726227461014,0.2259521484375,0.7886251962866513,0.0,0.0,0.0,0.0,0.0,170.4375,516.0,6.0,2.152270278266719,1.0,0.468505859375,1.0078125,0.553466796875,-0.0257568359375,0.0,1.0,0.23617726227461014,0.7638227377253899,6.732631204538933,0.0,0.0,0.0,0.0,0.7886251962866513,0.102783203125,0.897216796875,0.2274683966070431,0.08105742373942387,0.0
q2_radius2,q2r2_s7_0005,S7_symmetric_control,2,2,bernoulli_025,512,256,emitter,False,0.37266698171753165,0.3692626953125,0.9526978826306852,0.0,0.0,0.0,0.0,0.0,44.6875,88.0,2.0,2.5942041673467418,0.953125,0.59197998046875,0.171875,0.47003173828125,0.00030517578125,0.0,1.0,0.37266698171753165,0.6273330182824683,17.056631019685028,0.0,0.0,0.0,0.0,0.9526978826306852,0.1844482421875,0.8155517578125,0.2670348795159736,0.17572344978698307,0.0
q2_radius2,q2r2_s2_0046,S2_quiescent_preserving,2,2,single_seed,512,256,emitter,False,0.005855567738791423,0.00390625,0.05184776208699419,0.0,0.0,0.0,0.0,0.0,128.0,128.0,1.0,-0.0,1.0,1.0,0.25,0.0,0.0,0.0,1.0,0.005855567738791423,0.9941444322612085,511.99973785613423,0.0,0.0,1.0,0.35,0.05184776208699419,0.0078125,0.9921875,1.0,0.0004050606413046421,0.16666666666666666
q2_radius2,q2r2_s2_0046,S2_quiescent_preserving,2,2,short_random_block,512,256,emitter,False,0.304496185124269,0.3851318359375,0.8867177575133777,0.0,0.0,0.0,0.0,0.0,109.5,280.0,2.0,2.21496117937956,1.0,0.6412353515625,0.546875,0.4107666015625,-0.0003662109375,0.0,1.0,0.304496185124269,0.695503814875731,5.555243559743859,0.0,0.0,0.1875,0.06562499999999999,0.8867177575133777,0.3470458984375,0.6529541015625,0.5165693666913902,0.30773176081671544,0.16666666666666666
q2_radius2,q2r2_s2_0046,S2_quiescent_preserving,2,2,two_cell_seed,512,256,emitter,False,0.38889650341130605,0.5078125,0.9640837298848648,0.0,0.0,0.0,0.0,0.0,184.0,184.0,2.0,2.218776516381954,1.0,0.55078125,0.359375,0.50390625,-0.01953125,0.0,1.0,0.38889650341130605,0.6111034965886939,27.779268287315595,0.0,0.0,0.0,0.0,0.9640837298848648,0.4140625,0.5859375,0.43774734986706915,0.3991909194054518,0.16666666666666666
