space,rule_id,stratum,original_survival_score,center_only_projection_score,left_neighbor_removed_score,right_neighbor_removed_score,left_right_symmetrized_rule_score,relation_dependence_delta,asymmetry_dependence_delta,relation_dependence_positive,asymmetry_dependence_positive,active_symbol_permutation_control_score,background_symbol_swap_control_score,inner_neighbors_only_score,outer_neighbors_removed_score
ECA_anchor,ECA_73,ECA_anchor,0.26054584980010986,0.0,0.06263107061386108,0.06152771478518843,0.2579721212387085,0.19791477918624878,0.002573728561401367,True,False,,,,
ECA_anchor,ECA_109,ECA_anchor,0.25946371257305145,0.0,0.054557204246520996,0.05774153536185622,0.2694129943847656,0.20172217721119523,-0.009949281811714172,True,False,,,,
q3_radius1,q3r1_s3_0020,S3_sparse_active_preserving,0.21213993430137634,0.0,0.0,0.21934843063354492,0.0,-0.007208496332168579,0.21213993430137634,False,True,0.13533443212509155,0.003236514329910279,,
q3_radius1,q3r1_s4_0014,S4_neighbor_dependent,0.17720147967338562,0.0,0.0,0.08615938499569892,0.0,0.0910420946776867,0.17720147967338562,True,True,0.32189756631851196,0.16950714588165283,,
q3_radius1,q3r1_s2_0046,S2_quiescent_preserving,0.29745781421661377,0.0,0.0,0.2501915395259857,0.0,0.04726627469062805,0.29745781421661377,True,True,0.23074295190162955,0.2652361989021301,,
q2_radius2,q2r2_s1_0004,S1_random_unbiased,0.2598794985562563,0.0,0.0,0.0,0.28182135075330733,0.2598794985562563,-0.021941852197051026,True,False,,,0.03280727863311767,0.03126988783478737
q2_radius2,q2r2_s1_0043,S1_random_unbiased,0.25994472205638885,0.0,0.0,0.24341033399105072,0.2658042907714844,0.016534388065338135,-0.00585956871509552,False,False,,,0.025359708350151777,0.02147343009710312
q3_radius1,q3r1_s1_0002,S1_random_unbiased,0.2645929157733917,0.0,0.0881195068359375,0.2354167401790619,0.08362093595787883,0.029176175594329834,0.18097197981551288,True,True,0.2107158601284027,0.08582907915115356,,
q3_radius1,q3r1_s7_0002,S7_symmetric_control,0.12289178967475892,0.0,0.249506413936615,0.24723194539546967,0.1555777162313461,-0.12661462426185607,-0.0326859265565872,False,False,2.287141978740692e-05,0.26561139523983,,
q3_radius1,q3r1_s5_0016,S5_asymmetric_neighbor_dependent,0.2522379159927368,0.0,0.12606024742126465,0.22463124990463257,0.17376847565174103,0.027606666088104248,0.07846944034099579,True,True,0.06307679414749146,0.26144661009311676,,
q2_radius2,q2r2_s2_0007,S2_quiescent_preserving,0.3206847459077835,0.0,0.28192852437496185,0.04245924949645996,0.00069342739880085,0.038756221532821655,0.31999131850898266,True,True,,,0.23122221564408393,0.20717246923595667
