space,rule_id,composition_positive_count,stable_product_rate,phase_sensitive_outcome_rate,future_distinct_interaction_products,interaction_outcome_diversity,dominant_interaction_outcome
q3_radius1,q3r1_s1_0002,9,1.0,0.0,1.0,-0.0,new_motif
q3_radius1,q3r1_s4_0014,0,0.0,0.0,1.0,-0.0,chaotic_explosion
q3_radius1,q3r1_s5_0016,9,0.0,0.0,1.0,-0.0,emission
q3_radius1,q3r1_s3_0020,9,0.0,0.0,1.0,-0.0,emission
q3_radius1,q3r1_s7_0002,0,0.0,0.0,1.0,-0.0,chaotic_explosion
q3_radius1,q3r1_s2_0046,9,0.0,0.0,1.0,-0.0,emission
q2_radius2,q2r2_s1_0004,0,0.0,0.0,1.0,-0.0,chaotic_explosion
q2_radius2,q2r2_s2_0007,9,0.0,0.0,1.0,-0.0,emission
q2_radius2,q2r2_s1_0043,9,0.0,0.0,1.0,-0.0,emission
