witness_id,signature_kind,declared_d_panel_signature,declared_n_panel_signature,matched
same_coarse_bisimulation_different_consequence_profile_v0,allowed_pair_signature,"00,01;10,11","00,10;01,11",0
same_coarse_bisimulation_different_consequence_profile_v0,blocked_pair_signature,"00,10;00,11;01,10;01,11","00,01;00,11;01,10;10,11",0
