witness_id,metric,correlated_value,independent_value,expected_relation,relation_holds
same_marginal_success_different_joint_success_v0,source_count,4,4,matched,1
same_marginal_success_different_joint_success_v0,edge_count,16,16,matched,1
same_marginal_success_different_joint_success_v0,per_source_support_count_signature,00:4;01:4;10:4;11:4,00:4;01:4;10:4;11:4,matched,1
same_marginal_success_different_joint_success_v0,per_source_weight_total_signature,00:4;01:4;10:4;11:4,00:4;01:4;10:4;11:4,matched,1
same_marginal_success_different_joint_success_v0,per_source_entropy_bits_signature,00:2.000000;01:2.000000;10:2.000000;11:2.000000,00:2.000000;01:2.000000;10:2.000000;11:2.000000,matched,1
same_marginal_success_different_joint_success_v0,marginal_success_vector,D_A:3/4;D_B:3/4,D_A:3/4;D_B:3/4,matched,1
same_marginal_success_different_joint_success_v0,joint_bayes_success_fraction,5/8,9/16,different,1
