witness_id,carrier_id,channel_id,marginal_distinctions,D_A_bayes_success_fraction,D_B_bayes_success_fraction,marginal_success_vector
same_marginal_success_different_joint_success_v0,X2_ab,correlated_both_or_none,D_A;D_B,3/4,3/4,D_A:3/4;D_B:3/4
same_marginal_success_different_joint_success_v0,X2_ab,independent_bit_masks,D_A;D_B,3/4,3/4,D_A:3/4;D_B:3/4
