witness_id,carrier_id,channel_id,source_count,edge_count,per_source_support_count_signature,per_source_weight_total_signature,per_source_entropy_bits_signature,min_per_source_entropy_bits,max_per_source_entropy_bits
same_marginal_success_different_joint_success_v0,X2_ab,correlated_both_or_none,4,16,00:4;01:4;10:4;11:4,00:4;01:4;10:4;11:4,00:2.000000;01:2.000000;10:2.000000;11:2.000000,2.000000,2.000000
same_marginal_success_different_joint_success_v0,X2_ab,independent_bit_masks,4,16,00:4;01:4;10:4;11:4,00:4;01:4;10:4;11:4,00:2.000000;01:2.000000;10:2.000000;11:2.000000,2.000000,2.000000
