witness_id,carrier_id,channel_id,joint_distinction,joint_bayes_success_fraction,joint_bayes_success_float
same_marginal_success_different_joint_success_v0,X2_ab,correlated_both_or_none,D_joint,5/8,0.625000
same_marginal_success_different_joint_success_v0,X2_ab,independent_bit_masks,D_joint,9/16,0.562500
