kappa,num_label_penalty,singleton_fraction,small_fiber_fraction,label_imbalance,COM_association,mean_future_viable_by_label_std,mean_future_depth_by_label_std
transition_balanced_k8,9.259259259259259e-06,0.0,0.0,0.25758606740442536,0.37856294967869397,0.33071891388307384,0.33071891388307384
transition_balanced_k13,1.5046296296296297e-05,0.0,0.0,0.17127746284903034,0.45750521787161846,0.26646935501059654,0.26646935501059654
transition_balanced_k21,2.4305555555555554e-05,0.0,0.0,0.1512486914129928,0.4434616568776684,0.29354352395090366,0.29354352395090366
center_of_mass,,0.4710210159573094,0.779824035651553,,,,0.08494846742207994
predictive_kmeans_k21,,0.7397432892462416,0.9500073371656425,,,,-0.0022795533461152915
predictive_kmeans_k8,,0.4963242862928465,0.7927901497603558,,,,-0.05299509429722472
