world,family
W0_null_flat,null
W1_distinction_only,distinction_only
W2_local_memory_only,local_memory_only
W3_generic_coupling,generic_coupling
W4_random_relation,random_relation
W5_global_commutative_map,global_commutative_map
W6_symmetric_invertible_map,symmetric_invertible_map
W7_lossy_lock_in,lossy_lock_in
W8_full_branching_connection_graph,full_connection
W9_noise_rich,noise_rich
