world,T,branch_probability,raw_branch_count,future_distinct_transport_branch_count,future_distinct_transport_ratio,branch_merge_rate,branch_extinction_rate
W0_null_flat,50,0.1,0.0,0.0,0.0,0.0,1.0
W0_null_flat,50,0.25,0.0,0.0,0.0,0.0,1.0
W0_null_flat,100,0.1,0.0,0.0,0.0,0.0,1.0
W0_null_flat,100,0.25,0.0,0.0,0.0,0.0,1.0
W1_distinction_only,50,0.1,4.60048,1963.24,0.392648,0.9968,0.0
W1_distinction_only,50,0.25,4.999408,1971.36,0.394272,0.9968,0.0
W1_distinction_only,100,0.1,4.989928,1966.04,0.393208,0.9968,0.0
W1_distinction_only,100,0.25,5.0,1967.28,0.393456,0.9968,0.0
W2_local_memory_only,50,0.1,4.597748,1964.74,0.392948,0.9968,0.0
W2_local_memory_only,50,0.25,4.999376,1968.2,0.39364,0.9968,0.0
W2_local_memory_only,100,0.1,4.989796,1969.64,0.393928,0.9968,0.0
W2_local_memory_only,100,0.25,5.0,1969.72,0.39394399999999996,0.9968,0.0
W3_generic_coupling,50,0.1,1.654136,1.58,0.82,0.13055999999999998,0.999684
W3_generic_coupling,50,0.25,2.473756,1.54,0.72,0.13121192,0.999692
W3_generic_coupling,100,0.1,1.657772,0.0,0.0,0.06553384000000001,1.0
W3_generic_coupling,100,0.25,2.466212,0.0,0.0,0.06518728,1.0
W4_random_relation,50,0.1,4.597303999999999,1968.82,0.39376399999999995,0.9968,0.0
W4_random_relation,50,0.25,4.999403999999999,1971.1,0.39421999999999996,0.9968,0.0
W4_random_relation,100,0.1,4.98916,1969.12,0.39382399999999995,0.9968,0.0
W4_random_relation,100,0.25,5.0,1966.56,0.39331200000000005,0.9968,0.0
W5_global_commutative_map,50,0.1,4.599628,1971.8,0.39436,0.9968,0.0
W5_global_commutative_map,50,0.25,4.9994,1968.18,0.393636,0.9968,0.0
W5_global_commutative_map,100,0.1,4.990168,1970.38,0.39407600000000004,0.9968,0.0
W5_global_commutative_map,100,0.25,5.0,1965.86,0.393172,0.9968,0.0
W6_symmetric_invertible_map,50,0.1,4.598776,1968.26,0.393652,0.9968,0.0
W6_symmetric_invertible_map,50,0.25,4.9994,1966.32,0.393264,0.9968,0.0
W6_symmetric_invertible_map,100,0.1,4.98964,1970.5,0.39409999999999995,0.9968,0.0
W6_symmetric_invertible_map,100,0.25,5.0,1969.88,0.393976,0.9968,0.0
W7_lossy_lock_in,50,0.1,4.596784,1963.0,0.3926,0.9968,0.0
W7_lossy_lock_in,50,0.25,4.99944,1969.74,0.393948,0.9968,0.0
W7_lossy_lock_in,100,0.1,4.989808,1965.64,0.39312800000000003,0.9968,0.0
W7_lossy_lock_in,100,0.25,5.0,1962.42,0.39248400000000006,0.9968,0.0
W8_full_branching_connection_graph,50,0.1,2.6820839999999997,430.02,0.8876365768407303,0.38670208,0.897644
W8_full_branching_connection_graph,50,0.25,3.726868,461.32,0.881995574175524,0.3938496,0.88762
W8_full_branching_connection_graph,100,0.1,2.71996,94.18,0.959097542536306,0.22041328,0.9794320000000001
W8_full_branching_connection_graph,100,0.25,3.76132,78.3,0.98077846867959,0.22434436000000002,0.983724
W9_noise_rich,50,0.1,1.182492,0.0,0.0,0.03581576,1.0
W9_noise_rich,50,0.25,1.454048,0.0,0.0,0.03586448,1.0
W9_noise_rich,100,0.1,1.182148,0.0,0.0,0.017907759999999998,1.0
W9_noise_rich,100,0.25,1.453048,0.0,0.0,0.01792036,1.0
