kappa,split,mean_COM_labels_per_learned_fiber,learned_fiber_COM_mixing_entropy,fraction_learned_fibers_mixing_gt3_COM_labels
predictive_kmeans_k5,train,7.4,2.8517132067779865,1.0
predictive_kmeans_k8,train,5.75,2.49288302602025,1.0
predictive_kmeans_k13,train,4.461538461538462,2.084730274674345,0.7692307692307693
predictive_kmeans_k21,train,3.5238095238095237,1.740589280287612,0.42857142857142855
predictive_kmeans_no_COM_k8,train,6.375,2.6295217015691854,1.0
predictive_kmeans_no_COM_k13,train,4.6923076923076925,2.1423042156746552,0.7692307692307693
predictive_kmeans_k5,validation,7.2,2.8213125880889764,1.0
predictive_kmeans_k8,validation,5.625,2.4526420141593297,1.0
predictive_kmeans_k13,validation,4.384615384615385,2.059966575067625,0.7692307692307693
predictive_kmeans_k21,validation,3.4761904761904763,1.7083001419489148,0.38095238095238093
predictive_kmeans_no_COM_k8,validation,6.125,2.581360432083587,1.0
predictive_kmeans_no_COM_k13,validation,4.538461538461538,2.0973071002345662,0.7692307692307693
predictive_kmeans_k5,test,7.2,2.8108191041101493,1.0
predictive_kmeans_k8,test,5.625,2.43220467262397,1.0
predictive_kmeans_k13,test,4.461538461538462,2.0801999909009936,0.8461538461538461
predictive_kmeans_k21,test,3.4285714285714284,1.7051896677482956,0.42857142857142855
predictive_kmeans_no_COM_k8,test,6.125,2.553561379416531,1.0
predictive_kmeans_no_COM_k13,test,4.615384615384615,2.1004334067343624,0.7692307692307693
