condition,kappa,alpha,T,seed,component_threshold,p_viable,node_count,node_entropy,node_singleton_fraction,macro_path_entropy,fiber_entropy,singleton_fraction,small_fiber_fraction,certified_node_fraction,certified_edge_count,certified_edge_fraction,transport_survival_mean,certified_path_count,certified_path_mass_survival_to_final_segment,multi_step_transport_depth,mean_certified_path_length,max_certified_path_length,component_A_preservation,component_B_preservation,component_balance,lower_rank_erasure_score,edge_component_balance_mean,nonfragmentation,viable_propagation_index,delta_vs_product,delta_vs_shuffled,delta_vs_time_shuffled,component_necessity_A,component_necessity_B,component_necessity_min,ordered_edge_predictivity,edge_order_delta_vs_time_shuffled,edge_order_delta_vs_endpoint_fakeout,local_edge_survival_min,edge_transition_consistency,within_fiber_A_diversity,within_fiber_B_diversity,within_fiber_component_balance,within_fiber_effective_radius,rigid_collapse_diversity_delta,early_edge_survival,middle_edge_survival,late_edge_survival,late_to_early_transport_ratio,final_segment_certified_mass,delayed_trap_late_delta,base_signal_positive
component_swap_fakeout,basin_transition_profile,0.5,900,3.5,0.6,0.99875,120.375,3.717752596533098,0.3848062286571625,3.717752596533098,3.717752596533098,0.19266332561610647,0.3854037392835479,0.6151937713428375,179.25,0.6774350698494574,0.9821246326814094,953.875,0.9550701072991528,0.9649987755950111,5.825910568870413,6.0,0.7107137756085242,0.7737737691940015,0.7107137756085242,0.28928622439147583,0.3978373115876908,0.8073366743838936,0.5380935213712862,,,,,,,,,,,,,,,,,,,,,,,1.0
component_swap_fakeout,boundary_v2_regime_sequence,0.5,900,3.5,0.6,0.99875,17.625,1.0639145061999773,0.16157120743034054,1.0639145061999773,1.0639145061999773,0.0,0.1,0.8384287925696594,24.25,0.7822585106446259,0.9982479742143452,992.375,0.9936182342040957,0.994428562926749,5.9674650396164814,6.0,1.0,1.0,1.0,0.0,0.35183084749842725,1.0,0.9918783579145166,,,,,,,,,,,,,,,,,,,,,,,1.0
component_swap_fakeout,center_of_mass,0.5,900,3.5,0.6,0.99875,54.375,2.6608035427089756,0.13762135619446936,2.6608035427089756,2.6608035427089756,0.037087912087912074,0.10370879120879117,0.8623786438055305,41.875,0.1810610230501243,0.04050415781805013,0.25,0.00025025025025025,0.001519480082871875,0.0211475594374102,3.5,0.992627449347585,1.0,0.992627449347585,0.007372550652414988,0.44577029603872886,0.962912087912088,1.0245899116857802e-05,,,,,,,,,,,,,,,,,,,,,,,0.125
component_swap_fakeout,component_A_only,0.5,900,3.5,0.6,0.99875,77.375,2.9465800634693124,0.15389509713060268,2.9465800634693124,2.9465800634693124,0.05052728328173374,0.09479005417956655,0.8461049028693972,45.375,0.2479363591074349,0.09490974373601772,48.375,0.048433273335991386,0.05231259476725905,0.32739137850637656,6.0,0.8966162035912701,0.9761619993044938,0.8966162035912701,0.10338379640872986,0.2405513033537327,0.9494727167182663,0.0039640718155395,,,,,,,,,,,,,,,,,,,,,,,1.0
component_swap_fakeout,component_B_only,0.5,900,3.5,0.6,0.99875,69.125,3.18384741562244,0.1783032680974625,3.18384741562244,3.18384741562244,0.04057017543859646,0.07610939112487097,0.8216967319025374,100.75,0.2592542681775724,0.09538918125536339,0.0,0.0,0.0035099266736788376,0.06807869986992084,2.5,0.829803912139599,0.9034208838516523,0.829803912139599,0.17019608786040094,0.44256465601406236,0.9594298245614035,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
component_swap_fakeout,hash_high_cardinality,0.5,900,3.5,0.6,0.99875,4699.75,10.86687610464301,0.9850145486293675,10.86687610464301,10.86687610464301,0.4997501147031366,0.8464309172847624,0.014985451370632412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24311719216446676,0.26468586236825803,0.24311719216446676,0.7568828078355332,0.335715130216064,0.5002498852968633,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
component_swap_fakeout,joint_basin,0.5,900,3.5,0.6,0.99875,43.25,2.26323417361409,0.39138799848966865,2.26323417361409,2.26323417361409,0.027777777777777776,0.1388888888888889,0.6086120015103313,83.625,0.7201469822843427,0.9928049808572083,979.375,0.9806040714580384,0.9846375449140126,5.919782635618693,6.0,1.0,1.0,1.0,0.0,0.3779753073644032,0.9722222222222222,0.9462403440100916,,,,,,,,,,,,,,,,,,,,,,,1.0
component_swap_fakeout,random_balanced_k_COM_cardinality,0.5,900,3.5,0.6,0.99875,53.375,2.926994127003896,0.0,2.926994127003896,2.926994127003896,0.0,0.0,1.0,350.25,1.0,1.0,998.75,1.0,1.0,6.0,6.0,0.9036197586309029,0.9732138077304151,0.9036197586309029,0.09638024136909697,0.5089455855288276,1.0,0.9036197586309029,,,,,,,,,,,,,,,,,,,,,,,1.0
component_swap_fakeout,time_shuffled_COM,0.5,900,3.5,0.6,0.99875,54.375,2.6608035427089756,0.13762135619446936,2.6608035427089756,2.6608035427089756,0.037087912087912074,0.10370879120879117,0.8623786438055305,57.5,0.25766233098208313,0.14419338099014417,0.5,0.00050025025025025,0.013991360822493937,0.24065475635412797,4.5,0.992627449347585,1.0,0.992627449347585,0.007372550652414988,0.4155211292866204,0.962912087912088,7.059853529521251e-05,,,,,,,,,,,,,,,,,,,,,,,0.375
coupled,basin_transition_profile,0.5,900,3.5,0.6,0.99875,80.5,2.4803633441550743,0.40562415740415514,2.4803633441550743,2.4803633441550743,0.05508893280632408,0.2220849802371541,0.5943758425958449,86.25,0.5956795570385247,0.9857742881915001,963.5,0.9647082690472301,0.9752669499926413,5.880346845710911,6.0,1.0,0.6064097196050131,0.6064097196050131,0.3935902803949869,0.23164880019605322,0.9449110671936759,0.5449230218750051,,,,,,,,,,,,,,,,,,,,,,,1.0
coupled,boundary_v2_regime_sequence,0.5,900,3.5,0.6,0.99875,17.375,0.6340411392231102,0.3267221362229102,0.6340411392231102,0.6340411392231102,0.0,0.0,0.6732778637770898,13.0,0.5771350569720135,0.9976224727093271,993.0,0.9942436083226912,0.9946428952428814,5.970842665482804,6.0,1.0,1.0,1.0,0.0,0.21177808795121775,1.0,0.9918806695066108,,,,,,,,,,,,,,,,,,,,,,,1.0
coupled,center_of_mass,0.5,900,3.5,0.6,0.99875,50.875,2.115654913506859,0.1573969902646373,2.115654913506859,2.115654913506859,0.02525252525252525,0.08964646464646464,0.8426030097353627,66.75,0.6243117245874591,0.8087748330070862,643.75,0.6445434230467519,0.6530364450458102,3.9608809753961656,6.0,1.0,0.7109665901919002,0.7109665901919002,0.2890334098080998,0.19239429099941457,0.9747474747474747,0.3612181480891838,0.1535683424390258,0.14712539733857988,0.022097328162034212,-0.40395539144095133,0.35896098751560357,-0.40395539144095133,0.736914939142156,0.06825291246433433,0.06661440284263266,0.6909778270344855,0.736914939142156,0.3416343312710523,0.7915852032601833,0.3416343312710523,0.9250993207097054,-0.6493531074374914,0.708437257705831,0.8088779161371575,0.90900932517827,1.2834214898179888,0.9291606481714108,-0.09099067482172997,1.0
coupled,component_A_only,0.5,900,3.5,0.6,0.99875,77.375,2.9465800634693124,0.15389509713060268,2.9465800634693124,2.9465800634693124,0.05052728328173374,0.09479005417956655,0.8461049028693972,45.375,0.2479363591074349,0.09490974373601772,48.375,0.048433273335991386,0.05231259476725905,0.32739137850637656,6.0,0.8966162035912701,0.5104526915686339,0.5104526915686339,0.48954730843136607,0.1856274379434924,0.9494727167182663,0.0022571605735801376,,,,,,,,,,,,,,,,,,,,,,,1.0
coupled,component_B_only,0.5,900,3.5,0.6,0.99875,35.25,1.9404210971520082,0.13004023886376825,1.9404210971520082,1.9404210971520082,0.0,0.0,0.8699597611362317,72.875,0.8769733287312885,0.9968913006494676,989.0,0.9902368405147306,0.9923289791583175,5.960698868079998,6.0,1.0,0.775131593151077,0.775131593151077,0.22486840684892292,0.13818583728243872,1.0,0.7651735395301352,,,,,,,,,,,,,,,,,,,,,,,1.0
coupled,hash_high_cardinality,0.5,900,3.5,0.6,0.99875,3293.625,9.873477810751623,0.9074820124665884,9.873477810751623,9.873477810751623,0.35088121383592913,0.7048458781032532,0.09251798753341156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.267578188316836,0.1523351807837968,0.1523351807837968,0.8476648192162032,0.14249522071474305,0.6491187861640708,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
coupled,joint_basin,0.5,900,3.5,0.6,0.99875,31.875,1.3837523954926298,0.25790894895348165,1.3837523954926298,1.3837523954926298,0.0,0.0,0.7420910510465183,61.625,0.803214385232022,0.9961623221322142,990.375,0.9916143472890763,0.9925380939448895,5.959696982671519,6.0,1.0,1.0,1.0,0.0,0.2531558681888226,1.0,0.9878110425206049,,,,,,,,,,,,,,,,,,,,,,,1.0
coupled,random_balanced_k_COM_cardinality,0.5,900,3.5,0.6,0.99875,52.5,2.9029817603783554,0.0,2.9029817603783554,2.9029817603783554,0.0,0.0,1.0,339.0,1.0,1.0,998.75,1.0,1.0,6.0,6.0,0.9110687021493094,0.5186944756873975,0.5186944756873975,0.48130552431260254,0.263470006612999,1.0,0.5186944756873975,,,,,,,,,,,,,,,,,,,,,,,1.0
coupled,time_shuffled_COM,0.5,900,3.5,0.6,0.99875,50.875,2.115654913506859,0.1573969902646373,2.115654913506859,2.115654913506859,0.02525252525252525,0.08964646464646464,0.8426030097353627,78.875,0.635542826747243,0.788912971079767,610.875,0.6116266948552724,0.6546451339556898,4.10132575142204,6.0,1.0,0.7109665901919002,0.7109665901919002,0.2890334098080998,0.19680122127908412,0.9747474747474747,0.33419266573367956,,,,,,,,,,,,,,,,,,,,,,,1.0
delayed_trap,basin_transition_profile,0.5,900,3.5,0.6,0.99875,43.375,2.2122558361664035,0.39387629911235666,2.2122558361664035,2.2122558361664035,0.11822755417956654,0.3554136566907465,0.6061237008876433,38.625,0.5777368185402285,0.9924696420063133,981.875,0.9831040724640665,0.9846948010279685,5.917391338966148,6.0,1.0,0.5132911577485126,0.5132911577485126,0.4867088422514874,0.21122078508840955,0.8817724458204335,0.4417781555629148,,,,,,,,,,,,,,,,,,,,,,,1.0
