system_id,seed,regime,control_type,is_control,num_states,num_transitions,constraint_params_json,transform_params_json,transform_names_json,job_elapsed_seconds,K0_size,viab_K0_H4,viab_K0_H8,viab_K0_H16,K1_size,viab_K1_H4,viab_K1_H8,viab_K1_H16,K2_size,viab_K2_H4,viab_K2_H8,viab_K2_H16,K3_size,viab_K3_H4,viab_K3_H8,viab_K3_H16,K4_size,viab_K4_H4,viab_K4_H8,viab_K4_H16,K_strict_size,viab_K_strict_H4,viab_K_strict_H8,viab_K_strict_H16,strict_kernel_fraction_H4,strict_given_loose_fraction_H4,strict_kernel_fraction_H8,strict_given_loose_fraction_H8,strict_kernel_fraction_H16,strict_given_loose_fraction_H16,capture_K_strict_Hr2,strict_capture_fraction_Hr2,capture_K_strict_Hr4,strict_capture_fraction_Hr4,capture_K_strict_Hr8,strict_capture_fraction_Hr8,recovery_rate_K_strict_capacity_loss,recovery_rate_K0_capacity_loss,mean_recovery_horizon_K_strict_capacity_loss,failed_recovery_count_K_strict_capacity_loss,recovery_rate_K_strict_integrity_damage,recovery_rate_K0_integrity_damage,mean_recovery_horizon_K_strict_integrity_damage,failed_recovery_count_K_strict_integrity_damage,recovery_rate_K_strict_option_loss,recovery_rate_K0_option_loss,mean_recovery_horizon_K_strict_option_loss,failed_recovery_count_K_strict_option_loss,recovery_rate_K_strict_repair_loss,recovery_rate_K0_repair_loss,mean_recovery_horizon_K_strict_repair_loss,failed_recovery_count_K_strict_repair_loss,strict_preserving_transition_count,mean_contraction_ratio_H4,contraction_event_rate_H4,expansion_event_rate_H4,mean_contraction_ratio_H8,contraction_event_rate_H8,expansion_event_rate_H8,mean_contraction_ratio_H16,contraction_event_rate_H16,expansion_event_rate_H16,filter_collapse_stage,strict_object_class,batch_read
shuffled_admissibility_control_permissive_9191202,9191202,permissive,shuffled_admissibility_control,1,2250,12543,"{""min_capacity_strict"": 1, ""min_integrity_strict"": 1, ""min_option_strict"": 1, ""min_reach_h4"": 8, ""min_repair_strict"": 1, ""regime"": ""permissive""}","{""commit_load"": 1, ""consume_bias"": 0, ""decay_load"": 0, ""regime"": ""permissive"", ""repair_bonus"": 0}","[""expand"", ""maintain"", ""repair"", ""harvest"", ""reroute"", ""decay_integrity"", ""decay_option"", ""commit_0""]",0.32615420000001905,2250,2250,2250,2250,2250,2250,2250,2250,2250,2250,2250,2250,1500,1500,1500,1500,384,384,384,384,384,384,384,384,0.17066666666666666,0.17066666666666666,0.17066666666666666,0.17066666666666666,0.17066666666666666,0.17066666666666666,1931,0.8582222222222222,2250,1.0,2250,1.0,1.0,1.0,1.75,0,1.0,1.0,0.7760416666666666,0,1.0,1.0,0.4010416666666667,0,1.0,1.0,0.3411458333333333,0,936,0.8790586995994764,0.2638888888888889,0.05555555555555555,0.8516964561084115,0.2799145299145299,0.002136752136752137,0.847090502733373,0.30128205128205127,0.0,none,strict_large_or_trivial,possibly_too_permissive
shuffled_admissibility_control_harsh_7011700,7011700,harsh,shuffled_admissibility_control,1,2250,14388,"{""min_capacity_strict"": 2, ""min_integrity_strict"": 3, ""min_option_strict"": 1, ""min_reach_h4"": 3, ""min_repair_strict"": 1, ""regime"": ""harsh""}","{""commit_load"": 1, ""consume_bias"": 2, ""decay_load"": 2, ""regime"": ""harsh"", ""repair_bonus"": 0}","[""expand"", ""maintain"", ""repair"", ""harvest"", ""reroute"", ""decay_integrity"", ""decay_option"", ""commit_0""]",0.3994245999983832,2250,2250,2250,2250,2250,2250,2250,2250,2250,2250,2250,2250,1500,1500,1500,1500,144,121,121,121,144,121,121,121,0.05377777777777778,0.05377777777777778,0.05377777777777778,0.05377777777777778,0.05377777777777778,0.05377777777777778,444,0.19733333333333333,634,0.2817777777777778,780,0.3466666666666667,0.4791666666666667,0.059555555555555556,3.5217391304347827,75,0.5138888888888888,0.06666666666666667,2.891891891891892,70,1.0,0.24444444444444444,1.0277777777777777,0,1.0,0.256,0.8472222222222222,0,194,0.7356560718433403,0.5,0.06701030927835051,0.7737085797412327,0.3711340206185567,0.0,0.7780468313113376,0.36597938144329895,0.0,none,strict_moderate,strict_object_without_contraction_resolution
shuffled_admissibility_control_permissive_9191200,9191200,permissive,shuffled_admissibility_control,1,2250,12579,"{""min_capacity_strict"": 1, ""min_integrity_strict"": 1, ""min_option_strict"": 1, ""min_reach_h4"": 8, ""min_repair_strict"": 1, ""regime"": ""permissive""}","{""commit_load"": 1, ""consume_bias"": 0, ""decay_load"": 0, ""regime"": ""permissive"", ""repair_bonus"": 0}","[""expand"", ""maintain"", ""repair"", ""harvest"", ""reroute"", ""decay_integrity"", ""decay_option"", ""commit_0""]",0.3153679999995802,2250,2250,2250,2250,2250,2250,2250,2250,2250,2250,2250,2250,1500,1500,1500,1500,384,384,384,384,384,384,384,384,0.17066666666666666,0.17066666666666666,0.17066666666666666,0.17066666666666666,0.17066666666666666,0.17066666666666666,1727,0.7675555555555555,2250,1.0,2250,1.0,1.0,1.0,2.1380208333333335,0,1.0,1.0,0.9036458333333334,0,1.0,1.0,0.3802083333333333,0,1.0,1.0,0.3385416666666667,0,1023,0.9175766643069982,0.20039100684261973,0.10752688172043011,0.9175036417992392,0.12609970674486803,0.01270772238514174,0.9111010109437461,0.14271749755620725,0.0,none,strict_large_or_trivial,possibly_too_permissive
shuffled_admissibility_control_balanced_8070800,8070800,balanced,shuffled_admissibility_control,1,2250,14667,"{""min_capacity_strict"": 1, ""min_integrity_strict"": 2, ""min_option_strict"": 1, ""min_reach_h4"": 5, ""min_repair_strict"": 1, ""regime"": ""balanced""}","{""commit_load"": 1, ""consume_bias"": 1, ""decay_load"": 1, ""regime"": ""balanced"", ""repair_bonus"": 0}","[""expand"", ""maintain"", ""repair"", ""harvest"", ""reroute"", ""decay_integrity"", ""decay_option"", ""commit_0""]",0.40437720000045374,2250,2250,2250,2250,2250,2250,2250,2250,2250,2250,2250,2250,1500,1500,1500,1500,288,288,288,288,288,288,288,288,0.128,0.128,0.128,0.128,0.128,0.128,897,0.39866666666666667,1700,0.7555555555555555,2250,1.0,1.0,0.9635555555555556,0.0,0,1.0,0.9391111111111111,0.0,0,1.0,0.7897777777777778,0.0,0,1.0,0.8217777777777778,0.0,0,954,1.0347416348201492,0.03563941299790356,0.319706498951782,0.9785872278803366,0.03773584905660377,0.014675052410901468,0.9673017479078666,0.04612159329140461,0.0,none,strict_large_or_trivial,possibly_too_permissive
shuffled_admissibility_control_permissive_9191201,9191201,permissive,shuffled_admissibility_control,1,2250,12579,"{""min_capacity_strict"": 1, ""min_integrity_strict"": 1, ""min_option_strict"": 1, ""min_reach_h4"": 8, ""min_repair_strict"": 1, ""regime"": ""permissive""}","{""commit_load"": 1, ""consume_bias"": 0, ""decay_load"": 0, ""regime"": ""permissive"", ""repair_bonus"": 0}","[""expand"", ""maintain"", ""repair"", ""harvest"", ""reroute"", ""decay_integrity"", ""decay_option"", ""commit_0""]",0.33267809999961173,2250,2250,2250,2250,2250,2250,2250,2250,2250,2250,2250,2250,1500,1500,1500,1500,384,384,384,384,384,384,384,384,0.17066666666666666,0.17066666666666666,0.17066666666666666,0.17066666666666666,0.17066666666666666,0.17066666666666666,1744,0.7751111111111111,2250,1.0,2250,1.0,1.0,1.0,2.1223958333333335,0,1.0,1.0,0.8854166666666666,0,1.0,1.0,0.3723958333333333,0,1.0,1.0,0.3359375,0,1010,0.9118808964765543,0.2,0.10198019801980197,0.9148029760074541,0.1297029702970297,0.013861386138613862,0.909057622027166,0.1405940594059406,0.0,none,strict_large_or_trivial,possibly_too_permissive
shuffled_admissibility_control_repair_rich_9480800,9480800,repair_rich,shuffled_admissibility_control,1,2250,14631,"{""min_capacity_strict"": 1, ""min_integrity_strict"": 2, ""min_option_strict"": 1, ""min_reach_h4"": 5, ""min_repair_strict"": 1, ""regime"": ""repair_rich""}","{""commit_load"": 1, ""consume_bias"": 1, ""decay_load"": 1, ""regime"": ""repair_rich"", ""repair_bonus"": 2}","[""expand"", ""maintain"", ""repair"", ""harvest"", ""reroute"", ""decay_integrity"", ""decay_option"", ""commit_0""]",0.38301899999896705,2250,2250,2250,2250,2250,2250,2250,2250,2250,2250,2250,2250,1500,1500,1500,1500,288,288,288,288,288,288,288,288,0.128,0.128,0.128,0.128,0.128,0.128,897,0.39866666666666667,1700,0.7555555555555555,2250,1.0,1.0,0.9635555555555556,0.0,0,1.0,0.9391111111111111,0.0,0,1.0,0.7897777777777778,0.0,0,1.0,0.8217777777777778,0.0,0,962,1.0095986805800952,0.057172557172557176,0.25467775467775466,0.9643797159341886,0.07484407484407485,0.0,0.960135671903345,0.07484407484407485,0.0,none,strict_large_or_trivial,possibly_too_permissive
shuffled_admissibility_control_harsh_7011701,7011701,harsh,shuffled_admissibility_control,1,2250,14397,"{""min_capacity_strict"": 2, ""min_integrity_strict"": 3, ""min_option_strict"": 1, ""min_reach_h4"": 3, ""min_repair_strict"": 1, ""regime"": ""harsh""}","{""commit_load"": 1, ""consume_bias"": 2, ""decay_load"": 2, ""regime"": ""harsh"", ""repair_bonus"": 0}","[""expand"", ""maintain"", ""repair"", ""harvest"", ""reroute"", ""decay_integrity"", ""decay_option"", ""commit_0""]",0.41119350000008126,2250,2250,2250,2250,2250,2250,2250,2250,2250,2250,2250,2250,1500,1500,1500,1500,144,140,140,140,144,140,140,140,0.06222222222222222,0.06222222222222222,0.06222222222222222,0.06222222222222222,0.06222222222222222,0.06222222222222222,908,0.40355555555555556,1798,0.7991111111111111,2250,1.0,1.0,0.6551111111111111,2.1527777777777777,0,1.0,0.5644444444444444,1.8611111111111112,0,1.0,0.7724444444444445,0.7430555555555556,0,1.0,0.7244444444444444,0.6944444444444444,0,228,0.9400732468466514,0.16228070175438597,0.15350877192982457,0.9229167391134794,0.11842105263157894,0.0043859649122807015,0.9204488789100195,0.11842105263157894,0.0,none,strict_moderate,strict_object_without_contraction_resolution
shuffled_admissibility_control_harsh_7011702,7011702,harsh,shuffled_admissibility_control,1,2250,14397,"{""min_capacity_strict"": 2, ""min_integrity_strict"": 3, ""min_option_strict"": 1, ""min_reach_h4"": 3, ""min_repair_strict"": 1, ""regime"": ""harsh""}","{""commit_load"": 1, ""consume_bias"": 2, ""decay_load"": 2, ""regime"": ""harsh"", ""repair_bonus"": 0}","[""expand"", ""maintain"", ""repair"", ""harvest"", ""reroute"", ""decay_integrity"", ""decay_option"", ""commit_0""]",0.41276809999908437,2250,2250,2250,2250,2250,2250,2250,2250,2250,2250,2250,2250,1500,1500,1500,1500,144,140,140,140,144,140,140,140,0.06222222222222222,0.06222222222222222,0.06222222222222222,0.06222222222222222,0.06222222222222222,0.06222222222222222,924,0.4106666666666667,1806,0.8026666666666666,2250,1.0,1.0,0.6568888888888889,2.1458333333333335,0,1.0,0.5768888888888889,1.8194444444444444,0,1.0,0.7831111111111111,0.7430555555555556,0,1.0,0.7244444444444444,0.75,0,221,0.9549247616506081,0.09502262443438914,0.18099547511312217,0.9289494768802437,0.12217194570135746,0.004524886877828055,0.9261844599637662,0.12217194570135746,0.0,none,strict_moderate,strict_object_without_contraction_resolution
shuffled_admissibility_control_repair_rich_9480801,9480801,repair_rich,shuffled_admissibility_control,1,2250,14631,"{""min_capacity_strict"": 1, ""min_integrity_strict"": 2, ""min_option_strict"": 1, ""min_reach_h4"": 5, ""min_repair_strict"": 1, ""regime"": ""repair_rich""}","{""commit_load"": 1, ""consume_bias"": 1, ""decay_load"": 1, ""regime"": ""repair_rich"", ""repair_bonus"": 2}","[""expand"", ""maintain"", ""repair"", ""harvest"", ""reroute"", ""decay_integrity"", ""decay_option"", ""commit_0""]",0.3762587999990501,2250,2250,2250,2250,2250,2250,2250,2250,2250,2250,2250,2250,1500,1500,1500,1500,288,288,288,288,288,288,288,288,0.128,0.128,0.128,0.128,0.128,0.128,897,0.39866666666666667,1700,0.7555555555555555,2250,1.0,1.0,0.9635555555555556,0.0,0,1.0,0.9391111111111111,0.0,0,1.0,0.7897777777777778,0.0,0,1.0,0.8217777777777778,0.0,0,962,1.0095986805800952,0.057172557172557176,0.25467775467775466,0.9643797159341886,0.07484407484407485,0.0,0.960135671903345,0.07484407484407485,0.0,none,strict_large_or_trivial,possibly_too_permissive
shuffled_admissibility_control_repair_rich_9480802,9480802,repair_rich,shuffled_admissibility_control,1,2250,14667,"{""min_capacity_strict"": 1, ""min_integrity_strict"": 2, ""min_option_strict"": 1, ""min_reach_h4"": 5, ""min_repair_strict"": 1, ""regime"": ""repair_rich""}","{""commit_load"": 1, ""consume_bias"": 1, ""decay_load"": 1, ""regime"": ""repair_rich"", ""repair_bonus"": 2}","[""expand"", ""maintain"", ""repair"", ""harvest"", ""reroute"", ""decay_integrity"", ""decay_option"", ""commit_0""]",0.3935266999997111,2250,2250,2250,2250,2250,2250,2250,2250,2250,2250,2250,2250,1500,1500,1500,1500,288,288,288,288,288,288,288,288,0.128,0.128,0.128,0.128,0.128,0.128,897,0.39866666666666667,1700,0.7555555555555555,2250,1.0,1.0,0.9635555555555556,0.0,0,1.0,0.9391111111111111,0.0,0,1.0,0.7897777777777778,0.0,0,1.0,0.8217777777777778,0.0,0,932,1.024327165547718,0.055793991416309016,0.28969957081545067,0.9729290903449899,0.0611587982832618,0.0,0.9673930697863802,0.0611587982832618,0.0,none,strict_large_or_trivial,possibly_too_permissive
