strict_object_class,n,mean_K0_size,mean_K_strict_size,mean_viab_K0_H16,mean_viab_K_strict_H16,mean_strict_kernel_fraction_H16,mean_strict_given_loose_fraction_H16,mean_capture_K_strict_Hr4,mean_strict_capture_fraction_Hr4,mean_recovery_rate_K_strict_capacity_loss,mean_recovery_rate_K_strict_integrity_damage,mean_recovery_rate_K_strict_option_loss,mean_recovery_rate_K_strict_repair_loss,mean_mean_contraction_ratio_H16,mean_contraction_event_rate_H16,mean_expansion_event_rate_H16,mean_strict_preserving_transition_count
strict_large_or_trivial,36,2250.0,634.0,2250.0,634.0,0.2817777777777778,0.2817777777777778,1355.0,0.6022222222222222,1.0,1.0,1.0,1.0,0.8876077368586005,0.20819708364628606,0.0,4240.055555555556
strict_moderate,38,2250.0,308.8421052631579,2250.0,56.21052631578947,0.024982456140350877,0.024982456140350877,1508.657894736842,0.670514619883041,0.887609649122807,0.9378654970760234,0.9802631578947368,0.9975328947368421,0.6715967155264884,0.4936145296761407,0.0,91.57894736842105
strict_sparse_nonzero,3,2250.0,168.0,2250.0,4.333333333333333,0.001925925925925926,0.001925925925925926,2250.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,4.333333333333333
strict_zero,31,2250.0,154.4516129032258,2250.0,0.0,0.0,0.0,339.6774193548387,0.15096774193548387,0.4265232974910394,0.2956989247311828,0.586021505376344,0.7063172043010753,0.0,0.0,0.0,0.0
