batch_read,n,mean_K0_size,mean_K_strict_size,mean_viab_K0_H16,mean_viab_K_strict_H16,mean_strict_kernel_fraction_H16,mean_strict_given_loose_fraction_H16,mean_capture_K_strict_Hr4,mean_strict_capture_fraction_Hr4,mean_recovery_rate_K_strict_capacity_loss,mean_recovery_rate_K_strict_integrity_damage,mean_recovery_rate_K_strict_option_loss,mean_recovery_rate_K_strict_repair_loss,mean_mean_contraction_ratio_H16,mean_contraction_event_rate_H16,mean_expansion_event_rate_H16,mean_strict_preserving_transition_count
overfiltered_or_dead,31,2250.0,154.4516129032258,2250.0,0.0,0.0,0.0,339.6774193548387,0.15096774193548387,0.4265232974910394,0.2956989247311828,0.586021505376344,0.7063172043010753,0.0,0.0,0.0,0.0
possibly_too_permissive,36,2250.0,634.0,2250.0,634.0,0.2817777777777778,0.2817777777777778,1355.0,0.6022222222222222,1.0,1.0,1.0,1.0,0.8876077368586005,0.20819708364628606,0.0,4240.055555555556
strict_object_without_contraction_resolution,41,2250.0,298.5365853658537,2250.0,52.41463414634146,0.02329539295392954,0.02329539295392954,1562.9024390243903,0.6946233062330623,0.8958333333333334,0.9424119241192412,0.9817073170731707,0.9977134146341463,0.6956262241465014,0.45749639335837433,0.0,85.1951219512195
