control_type,n,mean_K0_size,mean_K_strict_size,mean_viab_K0_H16,mean_viab_K_strict_H16,mean_strict_kernel_fraction_H16,mean_strict_given_loose_fraction_H16,mean_capture_K_strict_Hr4,mean_strict_capture_fraction_Hr4,mean_recovery_rate_K_strict_capacity_loss,mean_recovery_rate_K_strict_integrity_damage,mean_recovery_rate_K_strict_option_loss,mean_recovery_rate_K_strict_repair_loss,mean_mean_contraction_ratio_H16,mean_contraction_event_rate_H16,mean_expansion_event_rate_H16,mean_strict_preserving_transition_count
dead_control,18,2250.0,108.0,2250.0,0.0,0.0,0.0,108.0,0.048,0.3333333333333333,0.0,0.3333333333333333,0.5,0.0,0.0,0.0,0.0
dense_permissive_control,18,2250.0,900.0,2250.0,900.0,0.4,0.4,1125.0,0.5,1.0,1.0,1.0,1.0,0.8582846917435123,0.26954818855784024,0.0,7149.0
no_perturbation_control,18,2250.0,402.0,2250.0,109.5,0.04866666666666667,0.04866666666666667,801.5,0.3562222222222222,0.7345679012345678,0.8414351851851852,0.9560185185185185,1.0,0.3110617895459343,0.5419248244527055,0.0,412.5
random_edge_control,18,2250.0,268.0,2250.0,38.611111111111114,0.017160493827160495,0.017160493827160495,2250.0,1.0,1.0,1.0,1.0,1.0,0.9439762272557705,0.0,0.0,41.77777777777778
shuffled_admissibility_control,18,2250.0,268.0,2250.0,266.27777777777777,0.11834567901234568,0.11834567901234568,1785.4444444444443,0.7935308641975308,0.9710648148148148,0.9729938271604939,1.0,1.0,0.9360718909319546,0.10578086935845175,0.0,787.8888888888889
structured,18,2250.0,268.0,2250.0,73.0,0.03244444444444444,0.03244444444444444,785.0,0.3488888888888889,0.736111111111111,0.8414351851851852,0.9560185185185185,0.9890046296296297,0.3103028292403936,0.5412154031287605,0.0,283.0
