space,rule_id,relation_load_bearing_adjusted,reclassification
q3_radius1,q3r1_s1_0002,0.07552455791097587,control_adjusted_positive
q3_radius1,q3r1_s2_0046,0.0793272059700158,emission_only
q3_radius1,q3r1_s3_0020,0.06830633759529166,generic_persistence
q3_radius1,q3r1_s3_0047,0.08401100555449421,generic_persistence
q3_radius1,q3r1_s4_0014,0.0667148695683811,generic_persistence
q3_radius1,q3r1_s5_0012,0.004624607752847634,output_distribution_fakeout
q3_radius1,q3r1_s5_0016,0.14751845515947992,emission_only
q3_radius1,q3r1_s7_0000,0.008009712269340887,output_distribution_fakeout
q3_radius1,q3r1_s7_0001,0.00010764713897783279,symmetric_fakeout
q3_radius1,q3r1_s7_0002,0.021593300111949508,symmetric_fakeout
q3_radius1,q3r1_s7_0003,-0.0026584108033354797,output_distribution_fakeout
q3_radius1,q3r1_s7_0004,0.0,symmetric_fakeout
q3_radius1,q3r1_s7_0005,0.03877590076675905,symmetric_fakeout
q3_radius1,q3r1_s7_0008,0.1583377375452863,symmetric_fakeout
q3_radius1,q3r1_s7_0011,0.18294581962490525,symmetric_fakeout
q3_radius1,q3r1_s7_0012,0.0866685594455865,symmetric_fakeout
q3_radius1,q3r1_s7_0013,0.008889646792773376,symmetric_fakeout
q3_radius1,q3r1_s7_0014,-0.11688792200146841,output_distribution_fakeout
q3_radius1,q3r1_s7_0016,0.01523229793817975,symmetric_fakeout
q3_radius1,q3r1_s7_0017,0.06491528740106264,symmetric_fakeout
q3_radius1,q3r1_s7_0018,0.11259329747989294,symmetric_fakeout
q3_radius1,q3r1_s7_0021,0.0,symmetric_fakeout
q3_radius1,q3r1_s7_0022,-0.06865484886990322,symmetric_fakeout
q3_radius1,q3r1_s7_0023,0.08767765366430713,symmetric_fakeout
q3_radius1,q3r1_s7_0024,-0.04814904233420258,symmetric_fakeout
q2_radius2,q2r2_s1_0004,0.21077826815126546,control_adjusted_positive
q2_radius2,q2r2_s1_0043,-0.0702571962070803,symmetric_fakeout
q2_radius2,q2r2_s2_0007,0.061383090846323485,emission_only
q2_radius2,q2r2_s4_0030,0.18749824479182586,emission_only
q2_radius2,q2r2_s7_0002,0.10234314653116515,symmetric_fakeout
q2_radius2,q2r2_s7_0005,0.18594195803211044,symmetric_fakeout
q2_radius2,q2r2_s7_0006,0.016421378505849515,symmetric_fakeout
q2_radius2,q2r2_s7_0007,0.019694893455508695,symmetric_fakeout
q2_radius2,q2r2_s7_0009,0.010669959315450927,generic_persistence
q2_radius2,q2r2_s7_0010,0.014779783776025679,output_distribution_fakeout
q2_radius2,q2r2_s7_0011,0.016633180330033737,symmetric_fakeout
q2_radius2,q2r2_s7_0012,0.12349932013748079,symmetric_fakeout
q2_radius2,q2r2_s7_0014,0.04114915964071252,generic_persistence
q2_radius2,q2r2_s7_0016,0.10723584255105799,symmetric_fakeout
q2_radius2,q2r2_s7_0017,0.08845663993768471,output_distribution_fakeout
q2_radius2,q2r2_s7_0019,0.08957229333017286,symmetric_fakeout
q2_radius2,q2r2_s7_0021,0.035625581734037313,output_distribution_fakeout
q2_radius2,q2r2_s7_0023,0.05556270681138665,symmetric_fakeout
q2_radius2,q2r2_s7_0024,0.11795562494815821,symmetric_fakeout
q2_radius2,q2r2_s8_0007,0.0,self_persistence_fakeout
ECA_anchor,ECA_169,0.0890414986503021,control_adjusted_positive
ECA_anchor,ECA_225,0.0887183689656834,output_distribution_fakeout
ECA_anchor,ECA_73,0.1089050924541557,control_adjusted_positive
ECA_anchor,ECA_109,0.12036875368385756,control_adjusted_positive
ECA_anchor,ECA_54,0.10366666658441463,control_adjusted_positive
