space,rule_id,local_phase_fakeout_rejected,symbol_phase_only_score,reclassification
q3_radius1,q3r1_s1_0002,True,0.0,control_adjusted_positive
q3_radius1,q3r1_s2_0046,True,0.0,emission_only
q3_radius1,q3r1_s3_0020,True,0.0,generic_persistence
q3_radius1,q3r1_s3_0047,True,0.0,generic_persistence
q3_radius1,q3r1_s4_0014,True,0.0,generic_persistence
q3_radius1,q3r1_s5_0012,True,0.0,output_distribution_fakeout
q3_radius1,q3r1_s5_0016,True,0.0,emission_only
q3_radius1,q3r1_s7_0000,True,0.0,output_distribution_fakeout
q3_radius1,q3r1_s7_0001,True,0.0,symmetric_fakeout
q3_radius1,q3r1_s7_0002,False,0.0,symmetric_fakeout
q3_radius1,q3r1_s7_0003,True,0.0,output_distribution_fakeout
q3_radius1,q3r1_s7_0004,False,0.0,symmetric_fakeout
q3_radius1,q3r1_s7_0005,False,0.0,symmetric_fakeout
q3_radius1,q3r1_s7_0008,True,0.0,symmetric_fakeout
q3_radius1,q3r1_s7_0011,True,0.0,symmetric_fakeout
q3_radius1,q3r1_s7_0012,True,0.0,symmetric_fakeout
q3_radius1,q3r1_s7_0013,True,0.0,symmetric_fakeout
q3_radius1,q3r1_s7_0014,False,0.0,output_distribution_fakeout
q3_radius1,q3r1_s7_0016,True,0.0,symmetric_fakeout
q3_radius1,q3r1_s7_0017,True,0.0,symmetric_fakeout
q3_radius1,q3r1_s7_0018,False,0.0,symmetric_fakeout
q3_radius1,q3r1_s7_0021,False,0.0,symmetric_fakeout
q3_radius1,q3r1_s7_0022,False,0.0,symmetric_fakeout
q3_radius1,q3r1_s7_0023,False,0.0,symmetric_fakeout
q3_radius1,q3r1_s7_0024,False,0.0,symmetric_fakeout
q2_radius2,q2r2_s1_0004,True,0.0,control_adjusted_positive
q2_radius2,q2r2_s1_0043,True,0.0,symmetric_fakeout
q2_radius2,q2r2_s2_0007,True,0.0,emission_only
q2_radius2,q2r2_s4_0030,True,0.0,emission_only
q2_radius2,q2r2_s7_0002,True,0.0,symmetric_fakeout
q2_radius2,q2r2_s7_0005,True,0.0,symmetric_fakeout
q2_radius2,q2r2_s7_0006,True,0.0,symmetric_fakeout
q2_radius2,q2r2_s7_0007,True,0.0,symmetric_fakeout
q2_radius2,q2r2_s7_0009,True,0.0,generic_persistence
q2_radius2,q2r2_s7_0010,True,0.0,output_distribution_fakeout
q2_radius2,q2r2_s7_0011,True,0.0,symmetric_fakeout
q2_radius2,q2r2_s7_0012,True,0.0,symmetric_fakeout
q2_radius2,q2r2_s7_0014,True,0.0,generic_persistence
q2_radius2,q2r2_s7_0016,True,0.0,symmetric_fakeout
q2_radius2,q2r2_s7_0017,True,0.0,output_distribution_fakeout
q2_radius2,q2r2_s7_0019,True,0.0,symmetric_fakeout
q2_radius2,q2r2_s7_0021,True,0.0,output_distribution_fakeout
q2_radius2,q2r2_s7_0023,True,0.0,symmetric_fakeout
q2_radius2,q2r2_s7_0024,True,0.0,symmetric_fakeout
q2_radius2,q2r2_s8_0007,False,0.0,self_persistence_fakeout
ECA_anchor,ECA_169,True,0.0,control_adjusted_positive
ECA_anchor,ECA_225,True,0.0,output_distribution_fakeout
ECA_anchor,ECA_73,True,0.0,control_adjusted_positive
ECA_anchor,ECA_109,True,0.0,control_adjusted_positive
ECA_anchor,ECA_54,True,0.0,control_adjusted_positive
