space,parent_rule_id,rule_id,control_type,dominant_active_neighborhood,dominant_active_neighborhood_count,mechanism_label,symbol_turnover_by_phase_proxy,phase_sequence_length
q3_radius1,q3r1_s3_0047,q3r1_s3_0003,stratum_null_q3r1_s3_0003,"(1, 2, 1)",185,travelling,0.6011962890625,17
q3_radius1,q3r1_s4_0014,q3r1_s4_0014_left_neighbor_removed,left_neighbor_removed,"(2, 2, 2)",205,emitter-like,0.0,4
q3_radius1,q3r1_s3_0047,q3r1_s3_0024,stratum_null_q3r1_s3_0024,"(0, 1, 0)",263,travelling,0.1654052734375,17
q3_radius1,q3r1_s4_0014,q3r1_s4_0014_output_histogram_random,output_distribution_matched_random,"(2, 2, 2)",1028,local-phase-clock-like,0.0107421875,6
q3_radius1,q3r1_s5_0012,q3r1_s5_0012_left_neighbor_removed,left_neighbor_removed,"(0, 1, 1)",7,local-phase-clock-like,0.0,2
q3_radius1,q3r1_s3_0047,q3r1_s3_0023,stratum_null_q3r1_s3_0023,"(0, 2, 2)",339,emitter-like,0.5357666015625,17
q3_radius1,q3r1_s5_0012,q3r1_s5_0012_symbol_phase_only,symbol_phase_only,"(0, 2, 0)",8,local-phase-clock-like,0.0,2
q3_radius1,q3r1_s4_0014,q3r1_s4_0032,stratum_null_q3r1_s4_0032,"(1, 1, 1)",1027,travelling,0.0355224609375,7
q3_radius1,q3r1_s4_0014,q3r1_s4_0030,stratum_null_q3r1_s4_0030,"(2, 2, 2)",952,travelling,0.0390625,3
q3_radius1,q3r1_s4_0014,q3r1_s4_0006,stratum_null_q3r1_s4_0006,"(2, 2, 2)",942,domain-wall-like,0.4625244140625,17
q3_radius1,q3r1_s4_0014,q3r1_s4_0031,stratum_null_q3r1_s4_0031,"(1, 1, 1)",900,travelling,0.2100830078125,17
q3_radius1,q3r1_s4_0014,q3r1_s4_0029,stratum_null_q3r1_s4_0029,"(1, 1, 1)",891,domain-wall-like,0.6837158203125,17
q3_radius1,q3r1_s4_0014,q3r1_s4_0001,stratum_null_q3r1_s4_0001,"(1, 1, 1)",1026,travelling,0.3719482421875,17
q3_radius1,q3r1_s5_0012,q3r1_s5_0020,stratum_null_q3r1_s5_0020,"(0, 1, 0)",198,domain-wall-like,0.806396484375,17
q3_radius1,q3r1_s4_0014,q3r1_s4_0013,stratum_null_q3r1_s4_0013,"(2, 1, 0)",134,travelling,0.049072265625,2
q3_radius1,q3r1_s5_0012,q3r1_s5_0012_center_only_projection,center_only_projection,"(0, 2, 2)",306,local-phase-clock-like,0.0,2
q3_radius1,q3r1_s5_0012,q3r1_s5_0012_left_right_symmetrized_rule,left_right_symmetrized_rule,"(0, 2, 1)",175,travelling,0.0115966796875,5
q3_radius1,q3r1_s4_0014,q3r1_s4_0040,stratum_null_q3r1_s4_0040,"(2, 2, 2)",888,emitter-like,0.579345703125,17
q3_radius1,q3r1_s5_0012,q3r1_s5_0012_right_neighbor_removed,right_neighbor_removed,"(2, 2, 2)",749,domain-wall-like,0.285888671875,17
q3_radius1,q3r1_s5_0012,q3r1_s5_0012,raw,"(0, 2, 1)",351,travelling,0.1883544921875,17
q3_radius1,q3r1_s4_0014,q3r1_s4_0037,stratum_null_q3r1_s4_0037,"(1, 1, 1)",898,domain-wall-like,0.5458984375,17
q3_radius1,q3r1_s4_0014,q3r1_s4_0015,stratum_null_q3r1_s4_0015,"(2, 2, 2)",880,travelling,0.6685791015625,17
q3_radius1,q3r1_s5_0012,q3r1_s5_0012_output_histogram_random,output_distribution_matched_random,"(1, 2, 1)",115,travelling,0.2579345703125,17
q3_radius1,q3r1_s5_0016,q3r1_s5_0016_symbol_phase_only,symbol_phase_only,"(1, 1, 1)",6,local-phase-clock-like,0.0,2
q3_radius1,q3r1_s5_0012,q3r1_s5_0004,stratum_null_q3r1_s5_0004,"(2, 2, 0)",142,travelling,0.3824462890625,17
q3_radius1,q3r1_s5_0012,q3r1_s5_0041,stratum_null_q3r1_s5_0041,"(1, 1, 1)",255,travelling,0.6690673828125,17
q3_radius1,q3r1_s5_0012,q3r1_s5_0031,stratum_null_q3r1_s5_0031,"(0, 1, 0)",184,travelling,0.76171875,17
q3_radius1,q3r1_s5_0012,q3r1_s5_0027,stratum_null_q3r1_s5_0027,"(0, 2, 1)",126,travelling,0.2838134765625,17
q3_radius1,q3r1_s5_0012,q3r1_s5_0001,stratum_null_q3r1_s5_0001,"(2, 2, 2)",590,travelling,0.388916015625,17
q3_radius1,q3r1_s5_0016,q3r1_s5_0016_right_neighbor_removed,right_neighbor_removed,"(1, 1, 1)",431,travelling,0.3797607421875,17
q3_radius1,q3r1_s5_0012,q3r1_s5_0011,stratum_null_q3r1_s5_0011,"(0, 1, 0)",539,travelling,0.059326171875,17
q3_radius1,q3r1_s5_0016,q3r1_s5_0016_center_only_projection,center_only_projection,"(0, 2, 0)",170,emitter-like,0.0,1
q3_radius1,q3r1_s5_0012,q3r1_s5_0019,stratum_null_q3r1_s5_0019,"(0, 1, 2)",298,travelling,0.5035400390625,17
q3_radius1,q3r1_s5_0016,q3r1_s5_0016,raw,"(0, 1, 2)",182,travelling,0.6444091796875,17
q3_radius1,q3r1_s5_0016,q3r1_s5_0016_left_neighbor_removed,left_neighbor_removed,"(0, 1, 2)",505,travelling,0.13330078125,7
q3_radius1,q3r1_s5_0012,q3r1_s5_0035,stratum_null_q3r1_s5_0035,"(0, 2, 2)",175,travelling,0.44775390625,17
q3_radius1,q3r1_s5_0012,q3r1_s5_0040,stratum_null_q3r1_s5_0040,"(0, 2, 2)",126,travelling,0.6585693359375,17
q3_radius1,q3r1_s5_0016,q3r1_s5_0016_left_right_symmetrized_rule,left_right_symmetrized_rule,"(0, 1, 0)",426,travelling,0.1484375,17
q3_radius1,q3r1_s5_0016,q3r1_s5_0021,stratum_null_q3r1_s5_0021,"(1, 2, 1)",352,travelling,0.1732177734375,17
q3_radius1,q3r1_s5_0016,q3r1_s5_0016_output_histogram_random,output_distribution_matched_random,"(1, 1, 1)",346,travelling,0.7054443359375,17
q3_radius1,q3r1_s5_0016,q3r1_s5_0000,stratum_null_q3r1_s5_0000,"(0, 2, 0)",509,travelling,0.4661865234375,17
q3_radius1,q3r1_s5_0016,q3r1_s5_0014,stratum_null_q3r1_s5_0014,"(2, 2, 2)",625,travelling,0.430419921875,17
q3_radius1,q3r1_s5_0016,q3r1_s5_0036,stratum_null_q3r1_s5_0036,"(0, 1, 0)",149,travelling,0.6278076171875,17
q3_radius1,q3r1_s7_0000,q3r1_s7_0014,stratum_null_q3r1_s7_0014,"(1, 2, 1)",269,travelling,0.338623046875,17
q3_radius1,q3r1_s7_0000,q3r1_s7_0000_center_only_projection,center_only_projection,"(2, 1, 1)",153,local-phase-clock-like,0.0,1
q3_radius1,q3r1_s5_0016,q3r1_s5_0015,stratum_null_q3r1_s5_0015,"(0, 1, 1)",227,emitter-like,0.523193359375,17
q3_radius1,q3r1_s5_0016,q3r1_s5_0034,stratum_null_q3r1_s5_0034,"(0, 1, 1)",236,travelling,0.4241943359375,17
q3_radius1,q3r1_s5_0016,q3r1_s5_0008,stratum_null_q3r1_s5_0008,"(0, 1, 0)",196,travelling,0.4920654296875,17
q3_radius1,q3r1_s7_0000,q3r1_s7_0000_symbol_phase_only,symbol_phase_only,"(0, 2, 0)",376,local-phase-clock-like,0.0,2
q3_radius1,q3r1_s5_0016,q3r1_s5_0025,stratum_null_q3r1_s5_0025,"(0, 1, 0)",531,emitter-like,0.477783203125,17
q3_radius1,q3r1_s5_0016,q3r1_s5_0022,stratum_null_q3r1_s5_0022,"(0, 2, 1)",141,travelling,0.6649169921875,17
q3_radius1,q3r1_s7_0000,q3r1_s7_0013,stratum_null_q3r1_s7_0013,"(0, 2, 0)",486,emitter-like,0.1966552734375,17
q3_radius1,q3r1_s5_0016,q3r1_s5_0033,stratum_null_q3r1_s5_0033,"(0, 1, 2)",196,travelling,0.6666259765625,17
q3_radius1,q3r1_s7_0000,q3r1_s7_0000_left_neighbor_removed,left_neighbor_removed,"(0, 1, 0)",191,travelling,0.074951171875,3
q3_radius1,q3r1_s7_0000,q3r1_s7_0000,raw,"(0, 2, 1)",182,emitter-like,0.3460693359375,17
q3_radius1,q3r1_s7_0000,q3r1_s7_0000_right_neighbor_removed,right_neighbor_removed,"(0, 1, 0)",178,travelling,0.071533203125,2
q3_radius1,q3r1_s7_0000,q3r1_s7_0023,stratum_null_q3r1_s7_0023,"(2, 2, 2)",258,emitter-like,0.5931396484375,17
q3_radius1,q3r1_s7_0000,q3r1_s7_0000_left_right_symmetrized_rule,left_right_symmetrized_rule,"(0, 2, 1)",192,emitter-like,0.3612060546875,17
q3_radius1,q3r1_s7_0000,q3r1_s7_0000_output_histogram_random,output_distribution_matched_random,"(1, 1, 1)",907,travelling,0.649169921875,17
q3_radius1,q3r1_s7_0000,q3r1_s7_0003,stratum_null_q3r1_s7_0003,"(1, 2, 2)",139,domain-wall-like,0.6373291015625,17
q3_radius1,q3r1_s7_0000,q3r1_s7_0006,stratum_null_q3r1_s7_0006,"(1, 1, 1)",137,local-phase-clock-like,0.001220703125,11
q3_radius1,q3r1_s7_0001,q3r1_s7_0009,stratum_null_q3r1_s7_0009,"(1, 1, 1)",9,local-phase-clock-like,0.0,2
q3_radius1,q3r1_s7_0000,q3r1_s7_0015,stratum_null_q3r1_s7_0015,"(0, 2, 0)",467,travelling,0.2877197265625,17
