space,rule_id,stratum,target_role,raw_persistence_score,adjusted_persistence,center_only_score,left_removed_score,right_removed_score,symmetrized_rule_score,symbol_phase_only_score,output_distribution_matched_score,stratum_null_persistence_q90,relation_load_bearing_adjusted,asymmetry_load_bearing_adjusted,local_phase_fakeout_rejected,future_distinct_descendant_count_raw,future_distinct_descendant_count_symbol_phase,composition_adjusted_delta,composition_emission_only_flag,interaction_outcome_diversity,matched_control_interaction_diversity,dominant_interaction_outcome,reclassification
q3_radius1,q3r1_s7_0013,S7_symmetric_control,leaked_control,0.08781815673906654,-0.04732215654626687,0.0,0.0783731135829116,0.07892850994629316,0.09063505485191636,0.0,0.026233582277825532,0.1351403132853334,0.008889646792773376,-0.002816898112849825,True,64.0,63.0,0.0,True,-0.0,-0.0,emission,symmetric_fakeout
q3_radius1,q3r1_s7_0014,S7_symmetric_control,leaked_control,9.479818293464171e-05,-0.13504551510239876,0.0,0.11073409305261392,0.11698272018440306,5.598420190754628e-05,0.0,0.07898285347363238,0.1351403132853334,-0.11688792200146841,3.881398102709543e-05,False,64.0,64.0,-0.5,False,-0.0,1.0,chaotic_explosion,output_distribution_fakeout
q3_radius1,q3r1_s7_0016,S7_symmetric_control,leaked_control,0.01523229793817975,-0.11259254408126228,0.0,0.0,0.0,0.015465668339345578,0.0,0.11246704312136133,0.12782484201944203,0.01523229793817975,-0.0002333704011658281,True,64.0,61.0,0.0,True,-0.0,-0.0,emission,symmetric_fakeout
q3_radius1,q3r1_s7_0017,S7_symmetric_control,leaked_control,0.06491528740106264,-0.10456621273367314,0.0,0.0,0.0,0.06486484918353146,0.0,0.1199324039917774,0.16948150013473579,0.06491528740106264,5.043821753118738e-05,True,64.0,1.0,0.0,False,0.9182958340544896,0.9182958340544896,chaotic_explosion,symmetric_fakeout
q3_radius1,q3r1_s7_0018,S7_symmetric_control,leaked_control,0.11259329747989294,-0.022547015805440468,0.0,0.0,0.0,0.11119937545724415,0.0,0.13263129600646184,0.1351403132853334,0.11259329747989294,0.0013939220226487914,False,64.0,64.0,0.0,True,-0.0,-0.0,emission,symmetric_fakeout
q3_radius1,q3r1_s7_0021,S7_symmetric_control,leaked_control,0.0,-0.08978034799890965,0.0,0.0,0.0,0.0,0.0,0.00835027356923823,0.08978034799890965,0.0,0.0,False,63.0,55.0,0.0,False,1.0,1.0,pass_through,symmetric_fakeout
q3_radius1,q3r1_s7_0022,S7_symmetric_control,leaked_control,0.00790865708428224,-0.16157284305045355,0.0,0.07479579000420139,0.07656350595418547,0.007869867697661036,0.0,0.12044014789304322,0.16948150013473579,-0.06865484886990322,3.878938662120468e-05,False,64.0,64.0,0.0,True,-0.0,-0.0,emission,symmetric_fakeout
q3_radius1,q3r1_s7_0023,S7_symmetric_control,leaked_control,0.08872914030527479,-0.04641117298005862,0.0,0.0010514866409676565,1.8597827786163415e-05,0.08993438610565525,0.0,0.09409347417566788,0.1351403132853334,0.08767765366430713,-0.001205245800380464,False,64.0,64.0,-0.5,True,-0.0,1.0,emission,symmetric_fakeout
q3_radius1,q3r1_s7_0024,S7_symmetric_control,leaked_control,0.0,-0.16948150013473579,0.0,0.04814904233420258,0.047570519736208926,0.0,0.0,0.0,0.16948150013473579,-0.04814904233420258,0.0,False,64.0,64.0,-0.5,False,-0.0,1.0,chaotic_explosion,symmetric_fakeout
q2_radius2,q2r2_s1_0004,S1_random_unbiased,candidate,0.21077826815126546,0.035942789251753204,0.0,0.0,0.0,0.12606002270557115,0.0,0.03819396642193991,0.17483547889951226,0.21077826815126546,0.08471824544569431,True,64.0,,0.0,False,-0.0,-0.0,chaotic_explosion,control_adjusted_positive
