space,parent_rule_id,rule_id,control_type,ic_family,raw_persistence_score
q3_radius1,q3r1_s1_0002,q3r1_s1_0048,stratum_null_q3r1_s1_0048,random_uniform,0.0
q3_radius1,q3r1_s1_0002,q3r1_s1_0048,stratum_null_q3r1_s1_0048,sparse_active_010,0.0
q3_radius1,q3r1_s1_0002,q3r1_s1_0048,stratum_null_q3r1_s1_0048,sparse_active_025,0.0
q3_radius1,q3r1_s1_0002,q3r1_s1_0048,stratum_null_q3r1_s1_0048,single_active_1,0.0
q3_radius1,q3r1_s1_0002,q3r1_s1_0048,stratum_null_q3r1_s1_0048,single_active_2,0.0
q3_radius1,q3r1_s1_0002,q3r1_s1_0048,stratum_null_q3r1_s1_0048,two_cell_active,0.0
q3_radius1,q3r1_s1_0002,q3r1_s1_0048,stratum_null_q3r1_s1_0048,short_random_active_block,0.00012662621450931582
q3_radius1,q3r1_s1_0002,q3r1_s1_0048,stratum_null_q3r1_s1_0048,periodic_background_perturbation,0.0001988081058671514
q3_radius1,q3r1_s1_0002,q3r1_s1_0002_left_right_symmetrized_rule,left_right_symmetrized_rule,random_uniform,0.002510439815451026
q3_radius1,q3r1_s1_0002,q3r1_s1_0002_left_right_symmetrized_rule,left_right_symmetrized_rule,sparse_active_010,0.0
q3_radius1,q3r1_s1_0002,q3r1_s1_0002_left_right_symmetrized_rule,left_right_symmetrized_rule,sparse_active_025,0.0
q3_radius1,q3r1_s1_0002,q3r1_s1_0002_left_right_symmetrized_rule,left_right_symmetrized_rule,single_active_1,0.0
q3_radius1,q3r1_s1_0002,q3r1_s1_0002_left_right_symmetrized_rule,left_right_symmetrized_rule,single_active_2,0.0
q3_radius1,q3r1_s1_0002,q3r1_s1_0002_left_right_symmetrized_rule,left_right_symmetrized_rule,two_cell_active,0.0
q3_radius1,q3r1_s1_0002,q3r1_s1_0002_left_right_symmetrized_rule,left_right_symmetrized_rule,short_random_active_block,0.004482252483757327
q3_radius1,q3r1_s1_0002,q3r1_s1_0002_left_right_symmetrized_rule,left_right_symmetrized_rule,periodic_background_perturbation,0.0001740453466623696
q3_radius1,q3r1_s1_0002,q3r1_s1_0002_left_neighbor_removed,left_neighbor_removed,random_uniform,0.0
q3_radius1,q3r1_s1_0002,q3r1_s1_0002_left_neighbor_removed,left_neighbor_removed,sparse_active_010,0.0
q3_radius1,q3r1_s1_0002,q3r1_s1_0002_left_neighbor_removed,left_neighbor_removed,sparse_active_025,0.0
