control_name,control_quality,rows,weak_control_flag
start_shuffled_control,computed,360960,0
horizon_order_shuffled_control,computed,347844,0
probe_marginal_window_control,placeholder,35840,1
constraint_shuffled_transform_control,not_available,193,1
neutral_generated_window_control,computed,252672,0
frontier_size_matched_window_control,computed,252672,0
asymmetry_shuffled_transform_control,not_available,1,1
roughness_resampled_transform_control,not_available,1,1
